Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],LITH 2 color,LITH 2 lithification,LITH 2 ave. grain size class,LITH 2 ave. grain size rank [read only],LITH 2 max. grain size class,LITH 2 max. grain size rank [read only],LITH 2 grain sorting,LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Clast comment,File Data,Exp,Site,Hole,Core,Type,Section,A/W
368-U1502A-2R-1-A,0,16,375,375.16,,clay [Leg339],with silt [2014],clay,clay with silt,,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,very well [BP01],,,,gradational,horizontal,,,heavy [DB86],3,,,,,,clay rich,silt [Leg339],,clay rich silt,clay rich silt,3,GLEY 1 3/5GY (very dark greenish gray),very slightly consolidated [B84],silt [W22_1],2,fine sand [W22_2],4,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,1,A
368-U1502A-2R-1-A,16,21,375.16,375.21,clay rich,silt [Leg339],,clay rich silt,clay rich silt,,GLEY 1 3/10GY (very dark greenish gray),slightly consolidated [B84],silt [W22_1],2,fine sand [W22_2],4,well [2014],,,,planar,horizontal,,fining upward,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,1,A
368-U1502A-2R-1-A,21,29,375.21,375.29,,clay [Leg339],with silt [2014],clay,clay with silt,,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,very well [BP01],,,,gradational,horizontal,,,heavy [DB86],3,,,,,,clay rich,silt [Leg339],,clay rich silt,clay rich silt,8,GLEY 1 3/5GY (very dark greenish gray),very slightly consolidated [B84],silt [W22_1],2,fine sand [W22_2],4,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,1,A
368-U1502A-2R-1-A,29,31,375.29,375.31,clay rich,silt [Leg339],,clay rich silt,clay rich silt,,GLEY 1 4/10GY (dark greenish gray),slightly consolidated [B84],silt [W22_1],2,fine sand [W22_2],4,well [2014],,,,planar,horizontal,,fining upward,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,1,A
368-U1502A-2R-1-A,31,42,375.31,375.42,,clay [Leg339],with silt [2014],clay,clay with silt,,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,very well [BP01],,,,gradational,horizontal,,,heavy [DB86],3,,,,,,clay rich,silt [Leg339],,clay rich silt,clay rich silt,5,GLEY 1 3/5GY (very dark greenish gray),very slightly consolidated [B84],silt [W22_1],2,fine sand [W22_2],4,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,1,A
368-U1502A-2R-1-A,42,44,375.42,375.44,,silty clay [MMK88],,silty clay,silty clay,,GLEY 1 4/10GY (dark greenish gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,planar,horizontal,,fining upward,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,1,A
368-U1502A-2R-1-A,44,70,375.44,375.7,,clay [Leg339],with silt [2014],clay,clay with silt,,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,very well [BP01],,,,gradational,horizontal,,,heavy [DB86],3,,,,,,clay rich,silt [Leg339],,clay rich silt,clay rich silt,5,GLEY 1 3/5GY (very dark greenish gray),very slightly consolidated [B84],silt [W22_1],2,fine sand [W22_2],4,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,1,A
368-U1502A-2R-1-A,70,93,375.7,375.93,,clay [Leg339],with silt [2014],clay,clay with silt,,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,very well [BP01],,,,gradational,horizontal,,,heavy [DB86],3,,,,,,clay rich,silt [Leg339],,clay rich silt,clay rich silt,3,GLEY 1 3/5GY (very dark greenish gray),very slightly consolidated [B84],silt [W22_1],2,fine sand [W22_2],4,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,1,A
368-U1502A-2R-1-A,93,100,375.93,376,,clay [Leg339],with silt [2014],clay,clay with silt,,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,very well [BP01],,,,gradational,horizontal,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,1,A
368-U1502A-2R-1-A,100,104,376,376.04,,silty clay [MMK88],,silty clay,silty clay,,GLEY 1 4/10GY (dark greenish gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,planar,horizontal,,fining upward,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,A,2,R,1,A
