Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1370F-1H-1-A,329,U1370,F,1,1-1,H,1,A,0,90,0,0.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,0
329-U1370F-1H-1-A,329,U1370,F,1,1-1,H,1,A,140,150,1.4,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,1
329-U1370F-1H-2-A,329,U1370,F,1,1-2,H,2,A,140,150,2.9,3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,2
329-U1370F-1H-3-A,329,U1370,F,1,1-3,H,3,A,10,20,3.1,3.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,3
329-U1370F-1H-3-A,329,U1370,F,1,1-3,H,3,A,100,150,4,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,4
329-U1370F-1H-4-A,329,U1370,F,1,1-4,H,4,A,50,150,5,6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,5
329-U1370F-1H-5-A,329,U1370,F,1,1-5,H,5,A,0,59,6,6.59,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,6
329-U1370F-1H-CC-A,329,U1370,F,1,1-CC,H,CC,A,0,14,6.59,6.73,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,7
329-U1370F-2H-1-A,329,U1370,F,2,2-1,H,1,A,0,60,6.7,7.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,8
329-U1370F-2H-1-A,329,U1370,F,2,2-1,H,1,A,110,150,7.8,8.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,9
