Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOXCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
323-U1345D-1H-1-A,323,U1345,D,1,1-1,H,1,A,0,40,0,0.4,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,5Y 3/2,,,,,,,,,,,,,,,,
323-U1345D-1H-1-A,323,U1345,D,1,1-1,H,1,A,40,150,0.4,1.5,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-1H-2-A,323,U1345,D,1,1-2,H,2,A,0,150,1.5,3,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-1H-3-A,323,U1345,D,1,1-3,H,3,A,0,150,3,4.5,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-1H-4-A,323,U1345,D,1,1-4,H,4,A,0,75,4.5,5.25,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-1H-4-A,323,U1345,D,1,1-4,H,4,A,75,150,5.25,6,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-1H-5-A,323,U1345,D,1,1-5,H,5,A,0,150,6,7.5,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-1H-6-A,323,U1345,D,1,1-6,H,6,A,0,150,7.5,9,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-1H-7-A,323,U1345,D,1,1-7,H,7,A,0,47,9,9.47,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-1H-CC-A,323,U1345,D,1,1-CC,H,CC,A,0,24,9.47,9.71,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-1-A,323,U1345,D,2,2-1,H,1,A,0,150,9.5,11,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-2-A,323,U1345,D,2,2-2,H,2,A,0,150,11,12.5,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-3-A,323,U1345,D,2,2-3,H,3,A,0,150,12.5,14,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-4-A,323,U1345,D,2,2-4,H,4,A,0,88,14,14.88,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-4-A,323,U1345,D,2,2-4,H,4,A,88,109,14.88,15.09,sandy silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing sandy silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-4-A,323,U1345,D,2,2-4,H,4,A,109,150,15.09,15.5,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-5-A,323,U1345,D,2,2-5,H,5,A,0,150,15.5,17,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-6-A,323,U1345,D,2,2-6,H,6,A,0,14,17,17.14,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-6-A,323,U1345,D,2,2-6,H,6,A,14,41,17.14,17.41,diatom ooze,Leg 323,,diatom ooze,40,soft,10Y 4/1,,,,,diatom ooze laminations almost appear golden due to high pyrite content; lamination is full of diatom girdle bands,,,,,,,,,,,
323-U1345D-2H-6-A,323,U1345,D,2,2-6,H,6,A,14,41,17.14,17.41,silt [S54],,diatom-bearing,diatom-bearing silt,60,soft,10Y 3/1,,,,,foraminifera seen throughout laminated interval,,,,,,,,,,,
323-U1345D-2H-6-A,323,U1345,D,2,2-6,H,6,A,41,150,17.41,18.5,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-7-A,323,U1345,D,2,2-7,H,7,A,0,53,18.5,19.03,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-2H-CC-A,323,U1345,D,2,2-CC,H,CC,A,0,20,19.03,19.23,silt [S54],,diatom-bearing,diatom-bearing silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-3H-1-A,323,U1345,D,3,3-1,H,1,A,0,123,19,20.23,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-3H-1-A,323,U1345,D,3,3-1,H,1,A,123,150,20.23,20.5,silt [S54],,foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich silt,100,soft,10Y 4/1,,,,,laminated with 5Y 3/2,,,,,,,,,,,
323-U1345D-3H-2-A,323,U1345,D,3,3-2,H,2,A,0,6,20.5,20.56,silt [S54],,foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich silt,100,soft,10Y 4/1,,,,,laminated with 5Y 3/2,,,,,,,,,,,
323-U1345D-3H-2-A,323,U1345,D,3,3-2,H,2,A,6,150,20.56,22,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-3H-3-A,323,U1345,D,3,3-3,H,3,A,0,125,22,23.25,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-3H-3-A,323,U1345,D,3,3-3,H,3,A,125,138,23.25,23.38,silty sand [S54],"Shepard, 1954",diatom-rich,diatom-rich silty sand,100,soft,5Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-3H-3-A,323,U1345,D,3,3-3,H,3,A,138,150,23.38,23.5,silt [S54],,foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich silt,100,soft,10Y 4/1,,,,,laminated with 5Y 4/2 and 5Y 3/2,,,,,,,,,,,
323-U1345D-3H-4-A,323,U1345,D,3,3-4,H,4,A,0,40,23.5,23.9,silt [S54],,foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich silt,100,soft,10Y 4/1,,,,,laminated with 5Y 4/2 and 5Y 3/2,,,,,,,,,,,
323-U1345D-3H-4-A,323,U1345,D,3,3-4,H,4,A,40,150,23.9,25,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-3H-5-A,323,U1345,D,3,3-5,H,5,A,0,148,25,26.48,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-3H-5-A,323,U1345,D,3,3-5,H,5,A,148,150,26.48,26.5,silty sand [S54],"Shepard, 1954",,silty sand,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-3H-6-A,323,U1345,D,3,3-6,H,6,A,0,5,26.5,26.55,silty sand [S54],"Shepard, 1954",,silty sand,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-3H-6-A,323,U1345,D,3,3-6,H,6,A,5,150,26.55,28,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-3H-7-A,323,U1345,D,3,3-7,H,7,A,0,20,28,28.2,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-3H-7-A,323,U1345,D,3,3-7,H,7,A,20,85,28.2,28.85,silt [S54],,foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-3H-CC-A,323,U1345,D,3,3-CC,H,CC,A,0,10,28.85,28.95,silt [S54],,foraminifer-bearing diatom-rich,foraminifer-bearing diatom-rich silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-3H-CC-A,323,U1345,D,3,3-CC,H,CC,A,10,25,28.95,29.1,silt [S54],,,silt,100,soft,5GY 4/1,,,,,laminated with 5Y 4/3; 5Y 4/2; and 5Y 3/2,,,,,,,,,,,
323-U1345D-4H-1-A,323,U1345,D,4,4-1,H,1,A,0,150,28.5,30,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-2-A,323,U1345,D,4,4-2,H,2,A,0,30,30,30.3,silt [S54],,,silt,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-2-A,323,U1345,D,4,4-2,H,2,A,30,119,30.3,31.19,sand [S54],,,sand,100,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-2-A,323,U1345,D,4,4-2,H,2,A,119,140,31.19,31.4,clayey silt [S54],"Shepard, 1954",foraminifera- and diatom-bearing,foraminifera- and diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-2-A,323,U1345,D,4,4-2,H,2,A,140,150,31.4,31.5,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-3-A,323,U1345,D,4,4-3,H,3,A,0,48,31.5,31.98,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-3-A,323,U1345,D,4,4-3,H,3,A,48,70,31.98,32.2,clayey silt [S54],"Shepard, 1954",foraminifera- and diatom-bearing,foraminifera- and diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-3-A,323,U1345,D,4,4-3,H,3,A,70,100,32.2,32.5,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-3-A,323,U1345,D,4,4-3,H,3,A,100,150,32.5,33,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-4-A,323,U1345,D,4,4-4,H,4,A,0,133,33,34.33,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-4-A,323,U1345,D,4,4-4,H,4,A,133,136,34.33,34.36,silt [S54],,,silt,70,soft,5GY 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-4-A,323,U1345,D,4,4-4,H,4,A,133,136,34.33,34.36,silty clay [S54],"Shepard, 1954",authigenic carbonate- bearing diatom-rich,authigenic carbonate- bearing diatom-rich silty clay,30,soft,4/N,,,,,forams visible along laminations,,,,,,,,,,,
323-U1345D-4H-4-A,323,U1345,D,4,4-4,H,4,A,136,150,34.36,34.5,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-5-A,323,U1345,D,4,4-5,H,5,A,0,87,34.5,35.37,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-5-A,323,U1345,D,4,4-5,H,5,A,87,92,35.37,35.42,silty clay [S54],"Shepard, 1954",authigenic carbonate diatom-rich,authigenic carbonate diatom-rich silty clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-4H-5-A,323,U1345,D,4,4-5,H,5,A,92,137,35.42,35.87,silty clay [S54],"Shepard, 1954",diatom-bearing,diatom-bearing silty clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,
323-U1345D-4H-5-A,323,U1345,D,4,4-5,H,5,A,137,139,35.87,35.89,silty clay [S54],"Shepard, 1954",authigenic carbonate diatom-rich,authigenic carbonate diatom-rich silty clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,
