dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
,344-U1381C-1H-1-A,344,U1381,C,1,1-1,H,1,A,0,50,0,0.5,soupy,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,medium silt [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,,,,
,344-U1381C-1H-1-A,344,U1381,C,1,1-1,H,1,A,50,140,0.5,1.4,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,medium silt [W22_2],4,,,,,,,,,,,,,common [B06],4,,,,,,,
,344-U1381C-1H-1-A,344,U1381,C,1,1-1,H,1,A,140,150,1.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,
,344-U1381C-1H-2-A,344,U1381,C,1,1-2,H,2,A,0,150,1.5,3,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,medium silt [W22_2],4,,,,,,,,,,,,,moderate [B06],3,,,,,,,
,344-U1381C-1H-3-A,344,U1381,C,1,1-3,H,3,A,0,103,3,4.03,,minimal [drilling disturbance],1,clayey,silt [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),clayey  silt ,clayey silt  with biogenic components ,medium silt [W22_2],4,very fine sand [W22_2],3,,,,,,,,,,,,,moderate [B06],3,,,,,,,
,344-U1381C-1H-3-A,344,U1381,C,1,1-3,H,3,A,0,150,3,4.5,,minimal [drilling disturbance],1,,clay [USGS],,10Y 4/1 (dark greenish gray),clay ,clay ,clay [W22_2],1,clay [W22_2],1,one cm-sized tuff clast at 56 to 57 cm. Pyrite noodles commonly distributed all over and some shell fragments distributed all over the core,tuff [F&S84],pebble [W22_2],nuggets,,N 3 (very dark gray),rounded,5,,very well [BP01],matrix supported / mud supported,,slight [B06],2,,,,,,,
,344-U1381C-1H-3-A,344,U1381,C,1,1-3,H,3,A,103,150,4.03,4.5,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,,,,moderate [B06],3,sand lense at 121,,,,,,
,344-U1381C-1H-3-A,344,U1381,C,1,1-3,H,3,A,140,150,4.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,
,344-U1381C-1H-4-A,344,U1381,C,1,1-4,H,4,A,0,90,4.5,5.4,,minimal [drilling disturbance],1,clayey,silt [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),clayey  silt ,clayey silt  with biogenic components ,medium silt [W22_2],4,very fine sand [W22_2],3,,,,,,,,,,,,,common [B06],4,,,,,,,
,344-U1381C-1H-4-A,344,U1381,C,1,1-4,H,4,A,90,150,5.4,6,,minimal [drilling disturbance],1,silty,clay [USGS],with biogenic components [Leg339],10Y 3/2 (very dark grayish green),silty  clay ,silty clay  with biogenic components ,clay [W22_2],1,clay [W22_2],1,,,,,,,,,,,,,common [B06],4,,,,,,,
