Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
353-U1446A-1H-1-A,0,150,0,1.5,,,clay,with silt,clay,clay with silt,clay with silt,,brown,5Y 4/2 (olive gray),,,,,,,,,,,,,Oxidized sediments. Gradational color change from brownish (5Y 4/2) to greenish (5Y 5/2) olive gray (started from bottom of the section).,,,,353,U1446,A,1,H,1,A,,,,0
353-U1446A-1H-2-A,0,150,1.5,3,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,brown,5Y 4/2 (olive gray),,,,,,,,,,,,,Gradational color change from brownish (5Y 4/2) to greenish (5Y 5/2) olive gray.,,,,353,U1446,A,1,H,2,A,,,,1
353-U1446A-1H-3-A,0,121,3,4.21,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1446,A,1,H,3,A,,,,2
353-U1446A-1H-CC-A,0,14,4.21,4.35,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1446,A,1,H,CC,A,,,,3
353-U1446A-2H-1-A,0,150,4.3,5.8,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,,,,,,,,,353,U1446,A,2,H,1,A,,,,4
353-U1446A-2H-2-A,0,80,5.8,6.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,2,H,2,A,,,,5
353-U1446A-2H-2-A,80,150,6.6,7.3,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,brown,2.5Y 5/2 (grayish brown),,,,,,,,,mottling,,,,,,,,353,U1446,A,2,H,2,A,,,,6
353-U1446A-2H-3-A,0,150,7.3,8.8,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,3,A,,,,7
353-U1446A-2H-4-A,0,150,8.8,10.3,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Foram-rich sand blebs between 18 and 19 and between 104.5 and 105.5 cm. Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,4,A,,,,8
353-U1446A-2H-5-A,0,150,10.3,11.8,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,5,A,,,,9
353-U1446A-2H-6-A,0,130,11.8,13.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Foram-rich sand blebs between 74 and 75 cm. Two nodules at 91-92 and 93-94 cm. Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,6,A,,,,10
353-U1446A-2H-7-A,0,53,13.1,13.63,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,7,A,,,,11
353-U1446A-2H-CC-A,0,21,13.63,13.84,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,CC,A,,,,12
353-U1446A-3H-1-A,0,113.5,13.8,14.935,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),bioturbated,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,1,A,,,,13
353-U1446A-3H-1-A,113.5,121,14.935,15.01,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,light gray,2.5Y 7/2 (light gray),erosive,sharp,horizontal,,,vitric,,,,,,,Toba ash ???,,,,353,U1446,A,3,H,1,A,,,,14
353-U1446A-3H-1-A,121,150,15.01,15.3,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,1,A,,,,15
353-U1446A-3H-2-A,0,150,15.3,16.8,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,2,A,,,,16
353-U1446A-3H-3-A,0,150,16.8,18.3,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Long thin pyritized burrow from 39 to 63 cm. Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,3,A,,,,17
353-U1446A-3H-4-A,0,42,18.3,18.72,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),gradational,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,4,A,,,,18
353-U1446A-3H-4-A,42,43,18.72,18.73,,clayey,silt,,clayey silt,clayey silt,silt,,gray,GLEY 1 4/10Y (dark greenish gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,With black color sediment (sulphide?),,,,353,U1446,A,3,H,4,A,,,,19
353-U1446A-3H-4-A,43,150,18.73,19.8,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Some nodules along the interval. Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,4,A,,,,20
353-U1446A-3H-5-A,0,150,19.8,21.3,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Some nodules along the section. Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,5,A,,,,21
353-U1446A-3H-6-A,0,150,21.3,22.8,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Some nodules along the section. Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,6,A,,,,22
353-U1446A-3H-7-A,0,53,22.8,23.33,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,7,A,,,,23
353-U1446A-3H-CC-A,0,24,23.33,23.57,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,CC,A,,,,24
353-U1446A-4H-1-A,0,150,23.3,24.8,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,,353,U1446,A,4,H,1,A,,,,25
353-U1446A-4H-2-A,0,150,24.8,26.3,,,clay,with silt,clay,clay with silt,clay with silt,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Shell fragment at 73.5 cm. Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,4,H,2,A,,,,26
353-U1446A-4H-3-A,0,150,26.3,27.8,,,clay,with silt,clay,clay with silt,clay with silt,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Some small nodules along the section. Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,4,H,3,A,,,,27
353-U1446A-4H-4-A,0,150,27.8,29.3,,,clay,with silt,clay,clay with silt,clay with silt,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Some small nodules along the section. Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,4,H,4,A,,,,28
353-U1446A-4H-5-A,0,150,29.3,30.8,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,green,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,,,353,U1446,A,4,H,5,A,,,,29
353-U1446A-4H-6-A,0,51,30.8,31.31,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),gradational,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,4,H,6,A,,,,30
353-U1446A-4H-6-A,51,78,31.31,31.58,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,gray,5Y 5/2 (olive gray),,,,,,,,,,,,,"One nodule at 65-66 cm,",,,,353,U1446,A,4,H,6,A,,,,31
353-U1446A-4H-CC-A,0,40,31.58,31.98,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,gray,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1446,A,4,H,CC,A,,,,32
353-U1446A-5H-1-A,0,100,32.8,33.8,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,"Light gray pyrite, foraminifer and shell fragments rich sandy bleb between 59-61 cm.",,,,353,U1446,A,5,H,1,A,,,,33
353-U1446A-5H-1-A,100,151,33.8,34.31,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,gray,5Y 5/2 (olive gray),,,,,,,,,mottling,,,,"Light gray pyrite, foraminifer and shell fragments rich sandy bleb between 114.5-116.5 cm.",,,,353,U1446,A,5,H,1,A,,,,34
353-U1446A-5H-2-A,0,4,34.31,34.35,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,gray,5Y 5/2 (olive gray),gradational,,,,,,,,mottling,,,,,,,,353,U1446,A,5,H,2,A,,,,35
353-U1446A-5H-2-A,4,142,34.35,35.73,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,,,,,,,,,353,U1446,A,5,H,2,A,,,,36
353-U1446A-5H-3-A,0,147,35.73,37.2,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) with mottling.,,,,353,U1446,A,5,H,3,A,,,,37
353-U1446A-5H-4-A,0,143,37.17,38.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) with mottling.,,,,353,U1446,A,5,H,4,A,,,,38
353-U1446A-5H-5-A,0,150,38.6,40.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,green,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Black (sulphide ?) silty bleb at 67.5-68.5 cm. Faint color variations from dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) with mottling.,,,,353,U1446,A,5,H,5,A,,,,39
353-U1446A-5H-6-A,0,147,40.1,41.57,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) with mottling.,,,,353,U1446,A,5,H,6,A,,,,40
353-U1446A-5H-7-A,0,107,41.57,42.64,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 3/10Y (very dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 3/10Y) to greenish gray (GLEY 1 5/10Y) with mottling.,,,,353,U1446,A,5,H,7,A,,,,41
