Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1369C-1H-1-A,329,U1369,C,1,1-1,H,1,A,0,5,0,0.05,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,0
329-U1369C-1H-1-A,329,U1369,C,1,1-1,H,1,A,15,40,0.15,0.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,1
329-U1369C-1H-1-A,329,U1369,C,1,1-1,H,1,A,50,60,0.5,0.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,2
329-U1369C-1H-1-A,329,U1369,C,1,1-1,H,1,A,100,110,1,1.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,3
329-U1369C-1H-1-A,329,U1369,C,1,1-1,H,1,A,130,140,1.3,1.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,4
329-U1369C-1H-2-A,329,U1369,C,1,1-2,H,2,A,0,40,1.5,1.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,5
329-U1369C-1H-2-A,329,U1369,C,1,1-2,H,2,A,50,60,2,2.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,6
329-U1369C-1H-2-A,329,U1369,C,1,1-2,H,2,A,75,90,2.25,2.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,7
329-U1369C-1H-2-A,329,U1369,C,1,1-2,H,2,A,100,110,2.5,2.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,8
329-U1369C-1H-2-A,329,U1369,C,1,1-2,H,2,A,130,140,2.8,2.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,9
