Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
356-U1460B-1F-1-A,0,140,0,1.4,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,greenish gray,bivalve,,,,absent [B06],0,,,fine-sand sized greenish gray packstone,,,,356,U1460,B,1,F,1,A,,,,0
356-U1460B-1F-1-A,140,150,1.4,1.5,,,,,,,,,,,,,,,,,void,,,,356,U1460,B,1,F,1,A,,,,1
356-U1460B-1F-2-A,0,103,1.5,2.53,partially lithified,skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,bivalve,,,,absent [B06],0,,,"coarse-sand sized beige packstone, calcareous tube like structure likely outlining bioturbation.",,,,356,U1460,B,1,F,2,A,,,,2
356-U1460B-1F-2-A,0,103,1.5,2.53,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1460,B,1,F,2,A,,,,3
356-U1460B-1F-CC-A,5,10,2.58,2.63,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,Sponge spicules N/A,,,,absent [B06],0,,,,,,,356,U1460,B,1,F,CC,A,,,,4
356-U1460B-2F-1-A,0,10,2.6,2.7,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,gastropod,,,,absent [B06],0,,,very coarse grained sand to small pebble sized packstone,,,,356,U1460,B,2,F,1,A,,,,5
356-U1460B-2F-1-A,0,10,2.6,2.7,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1460,B,2,F,1,A,,,,6
356-U1460B-2F-1-A,10,17,2.7,2.77,lithified [B84],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,bivalve,,,,absent [B06],0,,,,,,,356,U1460,B,2,F,1,A,,,,7
356-U1460B-2F-1-A,17,75,2.77,3.35,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,bryozoa,,,,absent [B06],0,,,medium-coarse sand sized packstone with very coarse sand sized interlayers.,,,,356,U1460,B,2,F,1,A,,,,8
356-U1460B-2F-1-A,75,79,3.35,3.39,lithified [B84],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,foraminifera (large benthic),,,,absent [B06],0,,,,,,,356,U1460,B,2,F,1,A,,,,9
356-U1460B-2F-1-A,79,150,3.39,4.1,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,bryozoa,,,,absent [B06],0,,,,,,,356,U1460,B,2,F,1,A,,,,10
356-U1460B-2F-2-A,0,150,4.1,5.6,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,gastropod,,,,absent [B06],0,,,,,,,356,U1460,B,2,F,2,A,,,,11
356-U1460B-2F-3-A,0,84,5.6,6.44,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,gastropod,,,,absent [B06],0,,,,,,,356,U1460,B,2,F,3,A,,,,12
356-U1460B-2F-3-A,84,100,6.44,6.6,partially lithified,skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,gray,,,concretion [BJ80],,absent [B06],0,,,Lithification is strongest at top of the interval and decreases downwards,,,,356,U1460,B,2,F,3,A,,,,13
356-U1460B-2F-3-A,100,123,6.6,6.83,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,bivalve,,,,absent [B06],0,,,,,,,356,U1460,B,2,F,3,A,,,,14
356-U1460B-3F-1-A,0,12,7.3,7.42,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,bivalve,,,,absent [B06],0,,,"coarse sand to pebble sized, unlithified Packstone to Floatstone. possible in-fall",,,,356,U1460,B,3,F,1,A,,,,15
356-U1460B-3F-1-A,12,19,7.42,7.49,lithified [B84],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,gray,,,,,absent [B06],0,,,,,,,356,U1460,B,3,F,1,A,,,,16
356-U1460B-3F-1-A,19,150,7.49,8.8,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,,,,,absent [B06],0,,,abundant black particles interpreted as quartz,,,,356,U1460,B,3,F,1,A,,,,17
356-U1460B-3F-2-A,0,108,8.8,9.88,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,,,,,absent [B06],0,,,,,,,356,U1460,B,3,F,2,A,,,,18
356-U1460B-3F-2-A,108,116,9.88,9.96,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,slight [B06],2,,,,,,,356,U1460,B,3,F,2,A,,,,19
356-U1460B-3F-2-A,116,150,9.96,10.3,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,absent [B06],0,,,,,,,356,U1460,B,3,F,2,A,,,,20
356-U1460B-3F-3-A,0,83,10.3,11.13,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,,,,,356,U1460,B,3,F,3,A,,,,21
356-U1460B-3F-3-A,83,101,11.13,11.31,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,,,,,absent [B06],0,,,,,,,356,U1460,B,3,F,3,A,,,,22
356-U1460B-3F-4-A,0,55,11.31,11.86,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,,grading (normal),,,slight [B06],2,,,,,,,356,U1460,B,3,F,4,A,,,,23
356-U1460B-3F-CC-A,0,20,11.86,12.06,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,,,,,absent [B06],0,,,very coarse sand sized to pebble sized grains in packstone,,,,356,U1460,B,3,F,CC,A,,,,24
356-U1460B-4F-1-A,0,42,12,12.42,partially lithified,,packstone [E&K72; D62],3,,packstone,neritic,gray,,,,,absent [B06],0,,,,,,,356,U1460,B,4,F,1,A,,,,25
356-U1460B-4F-1-A,42,56,12.42,12.56,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,gray,,,,,absent [B06],0,,,,,,,356,U1460,B,4,F,1,A,,,,26
356-U1460B-4F-2-A,0,40,12.56,12.96,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,gray,,grading (normal),,,absent [B06],0,,,,,,,356,U1460,B,4,F,2,A,,,,27
356-U1460B-4F-2-A,40,106,12.96,13.62,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,gray,,,,,absent [B06],0,erosive,inclined,,,,,356,U1460,B,4,F,2,A,,,,28
356-U1460B-4F-2-A,106,110,13.62,13.66,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,,,,,356,U1460,B,4,F,2,A,,,,29
356-U1460B-4F-3-A,0,63,13.66,14.29,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,greenish gray,,,,,absent [B06],0,,,,,,,356,U1460,B,4,F,3,A,,,,30
356-U1460B-4F-3-A,63,122,14.29,14.88,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,light grayish green,,,,,absent [B06],0,,,,,,,356,U1460,B,4,F,3,A,,,,31
356-U1460B-4F-CC-A,0,7,14.88,14.95,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,light grayish green,,,,,absent [B06],0,,,,,,,356,U1460,B,4,F,CC,A,,,,32
356-U1460B-5F-1-A,0,150,16.7,18.2,unlithified [Leg194],skeletal,floatstone [E&K72; D62],5,,skeletal floatstone,neritic,beige,,,,,absent [B06],0,,,bioclastic gravel is fall-in,,,,356,U1460,B,5,F,1,A,,,,33
356-U1460B-5F-2-A,0,19,18.2,18.39,unlithified [Leg194],skeletal,floatstone [E&K72; D62],5,,skeletal floatstone,neritic,beige,,,,,absent [B06],0,,,bioclastic gravel is fall-in,,,,356,U1460,B,5,F,2,A,,,,34
356-U1460B-5F-2-A,19,145,18.39,19.65,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,beige,,,,,absent [B06],0,,,interval below 100 cm shows some cm-scale interval with slight cementation,,,,356,U1460,B,5,F,2,A,,,,35
356-U1460B-5F-CC-A,0,11,19.65,19.76,partially lithified,,wackestone [E&K72; D62],2,,wackestone,neritic,beige,,,,,absent [B06],0,,,,,,,356,U1460,B,5,F,CC,A,,,,36
356-U1460B-6F-1-A,0,55,19.2,19.75,unlithified [Leg194],skeletal,floatstone [E&K72; D62],5,,skeletal floatstone,neritic,beige,,,,,absent [B06],0,,,,,,,356,U1460,B,6,F,1,A,,,,37
356-U1460B-6F-1-A,55,96,19.75,20.16,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,grayish green,,,,,absent [B06],0,gradational,horizontal,,,,,356,U1460,B,6,F,1,A,,,,38
356-U1460B-6F-1-A,96,150,20.16,20.7,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,greenish gray,,,,,slight [B06],2,,,,,,,356,U1460,B,6,F,1,A,,,,39
356-U1460B-6F-2-A,0,150,20.7,22.2,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,greenish gray,,,,,slight [B06],2,,,,,,,356,U1460,B,6,F,2,A,,,,40
356-U1460B-6F-3-A,0,120,22.2,23.4,unlithified [Leg194],skeletal,wackestone [E&K72; D62],2,,skeletal wackestone,neritic,beige,,,,,slight [B06],2,,,,,,,356,U1460,B,6,F,3,A,,,,41
356-U1460B-7F-1-A,0,50,23.9,24.4,unlithified [Leg194],,floatstone [E&K72; D62],5,,floatstone,neritic,beige,,,,,absent [B06],0,,,,,,,356,U1460,B,7,F,1,A,,,,42
356-U1460B-7F-1-A,50,150,24.4,25.4,partially lithified,,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1460,B,7,F,1,A,,,,43
