Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
353-U1443C-1F,0,37,0.0,0.37,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,brown,10YR 6/4 (light yellowish brown),gradational,,,,,,,,mottling,,,,,,,,353,U1443,C,1,F,,,,,
353-U1443C-1F,37,120,0.37,1.2,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,brown,10YR 5/2 (grayish brown),,,,,,,,,mottling,,,,Mottling is with paler colored sediment. Distinct green band at 100 cm,,,,353,U1443,C,1,F,,,,,
353-U1443C-1F,120,144,1.2,1.44,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Mottling is with paler colored sediment,,,,353,U1443,C,1,F,,,,,
353-U1443C-2F-1-A,0,150,1.4,2.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,mottling,,,,Alternating paler gray (GLEY 1 7/10Y) to darker gray (GLEY 1 5/10Y) color gradation over this section. Green band at 140 cm.,,,,353,U1443,C,2,F,1,A,,,
353-U1443C-2F-2-A,0,150,2.9,4.4,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,mottling,,,,"Alternating paler gray (GLEY 1 7/10Y) to darker gray (GLEY 1 5/10Y) color gradation over this section. Green bands visible at 82, 105, and 107 cm.",,,,353,U1443,C,2,F,2,A,,,
353-U1443C-2F-3-A,0,150,4.4,5.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,mottling,,,,Alternating paler gray (GLEY 1 7/10Y) to darker gray (GLEY 1 5/10Y) color gradation over this section. Darker gray bands visible at 118 cm and 134 cm,,,,353,U1443,C,2,F,3,A,,,
353-U1443C-2F-CC-A,0,20,5.9,6.1,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,mottling,,,,Alternating paler gray (GLEY 1 7/10Y) to darker gray (GLEY 1 5/10Y) color gradation over this section.,,,,353,U1443,C,2,F,CC,A,,,
353-U1443C-3H-1-A,0,149,6.2,7.69,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,Alternating gray (10YR 6/1) to paler gray (10YR 7/1) color gradation over this section. Green bands at 117-122 cm.,,,,353,U1443,C,3,H,1,A,,,
353-U1443C-3H-1-A,149,150,7.69,7.7,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),,,,,,,,,mottling,,,,,,,,353,U1443,C,3,H,1,A,,,
353-U1443C-3H-2-A,0,9,7.7,7.79,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),irregular,bioturbated,,,,,,,mottling,,,,,,,,353,U1443,C,3,H,2,A,,,
