Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
369-U1516C-2R-CC-A,0,4,196,196.04,,,,,,,,,,,,,,,,,,,,,,,No recovery.,,,,,,,,,,,,,,,369,U1516,C,2,R,CC,A,,,,0
369-U1516C-3R-1-A,0,144,205.6,207.04,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,3,R,1,A,,,,1
369-U1516C-3R-2-A,0,93,207.1,208.03,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,Black monosulfides distributed throughout the section.,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,3,R,2,A,,,,2
369-U1516C-4R-1-A,0,99,215.2,216.19,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,4,R,1,A,,,,3
369-U1516C-4R-2-A,0,72,216.19,216.91,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,4,R,2,A,,,,4
369-U1516C-4R-CC-A,0,9,216.91,217,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1,mineral,glauconite,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,4,R,CC,A,,,,5
369-U1516C-5R-1-A,0,97,224.8,225.77,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,5,R,1,A,,,,6
369-U1516C-5R-CC-A,0,12,225.77,225.89,,,,,,calcareous ooze,with sponge spicules,calcareous ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,5,R,CC,A,,,,7
369-U1516C-7R-1-A,0,149,244,245.49,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,7,R,1,A,,,,8
369-U1516C-7R-2-A,0,86,245.49,246.35,,,,,,nannofossil ooze,with sponge spicules,nannofossil ooze with sponge spicules,,,GLEY 1 8/N (white),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,calcareous ooze,calcareous ooze with sponge spicules,,,,369,U1516,C,7,R,2,A,,,,9
