Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,row_index
346-U1429B-1H-1-A,0,150,0,1.5,nannofossil rich,clay ,with biogenic components ,nannofossil rich clay  with biogenic components ,vitric,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,10Y 4/1 (dark greenish gray),heavy ,,,,,,,,,,,nannofossil rich  clay ,clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,1,H,1,A,0
346-U1429B-1H-2-A,0,62,1.5,2.12,nannofossil rich,clay ,with biogenic components ,nannofossil rich clay  with biogenic components ,vitric,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,1,H,2,A,1
346-U1429B-1H-2-A,62,124,2.12,2.74,,tephra ,,tephra ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,1,H,2,A,2
346-U1429B-1H-CC-A,0,10,2.74,2.84,,tephra ,,tephra ,,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,1,H,CC,A,3
346-U1429B-1H-CC-A,10,19,2.84,2.93,nannofossil rich,clay ,with biogenic components ,nannofossil rich clay  with biogenic components ,vitric,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil rich  clay ,clay   with biogenic components ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,1,H,CC,A,4
346-U1429B-2H-1-A,0,150,2.9,4.4,diatom bearing,nannofossil ooze ,with foraminifers ,diatom bearing nannofossil ooze  with foraminifers ,,trace amount,1,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,2,H,1,A,5
346-U1429B-2H-2-A,0,111,4.4,5.51,diatom bearing,nannofossil ooze ,with foraminifers ,diatom bearing nannofossil ooze  with foraminifers ,,trace amount,1,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,2,H,2,A,6
346-U1429B-2H-2-A,111,118,5.51,5.58,,tephra ,,tephra ,,,,patch or bleb,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,2,H,2,A,7
346-U1429B-2H-2-A,118,140,5.58,5.8,diatom bearing,nannofossil ooze ,with foraminifers ,diatom bearing nannofossil ooze  with foraminifers ,,trace amount,1,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,2,H,2,A,8
346-U1429B-2H-2-A,140,143,5.8,5.83,,tephra ,,tephra ,,,,patch or bleb,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,2,H,2,A,9
346-U1429B-2H-2-A,143,150,5.83,5.9,diatom bearing,nannofossil ooze ,with foraminifers ,diatom bearing nannofossil ooze  with foraminifers ,,trace amount,1,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,B,2,H,2,A,10
