Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Lithology Prefix
340-U1394B-1H-1-A,340,U1394,B,1,1-1,H,1,A,0.0,15.0,0.0,0.15,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],60,fine sand [T07],4,volcaniclastic-mud [BGS-S81],40,silt-fine mud [T07],2,100,"Alternation of sand and mud, having normal grading from sand to mud.",0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1394B-1H-1-A,340,U1394,B,1,1-1,H,1,A,15.0,44.0,0.15,0.44,moderate [drilling disturbance],4,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1394B-1H-1-A,340,U1394,B,1,1-1,H,1,A,44.0,47.0,0.44,0.47,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,fine sand [T07],4,,,,,100,The boundary of this volcanic sand and upper carbonate ooze seems gradual.,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1394B-1H-1-A,340,U1394,B,1,1-1,H,1,A,47.0,103.0,0.47,1.03,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,There are some borrows by bioturbation. Some vague greenish layers are observed in the lower part between 85 to 97 cm.,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1394B-1H-1-A,340,U1394,B,1,1-1,H,1,A,103.0,107.0,1.03,1.07,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,fine sand [T07],4,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1394B-1H-1-A,340,U1394,B,1,1-1,H,1,A,107.0,118.0,1.07,1.18,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1394B-1H-1-A,340,U1394,B,1,1-1,H,1,A,124.0,141.0,1.24,1.41,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1394B-1H-1-A,340,U1394,B,1,1-1,H,1,A,141.0,150.0,1.41,1.5,minimal [drilling disturbance],1,calcareous sand [Leg210],100,fine sand [T07],4,,,,,100,This fine sand seems to change gradually into upper silt-fine mud sized calcareous ooze.,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0,,,,,,,,,,,,,
340-U1394B-1H-2-A,340,U1394,B,1,1-2,H,2,A,0.0,17.0,1.5,1.67,minimal [drilling disturbance],1,calcareous sand [Leg210],80,fine medium sand [T07],5,volcaniclastic-sand [BGS-S81],20,fine medium sand [T07],5,100,,1,0,,0,,0,,0,,0,,0,,100,,,,angular,,,,,,,,,,,,poor [BP01],rare [alteration],2,,,,,,,,,,,,,
340-U1394B-1H-2-A,340,U1394,B,1,1-2,H,2,A,17.0,19.0,1.67,1.69,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,well [BP01],rare [alteration],2,,,,,,,,,,,,,
