Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
355-U1456D-2R-1-A,0,43,458.8,459.23,,nannofossil rich,clay,,nannofossil rich clay,,parallel lamination,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),100,clay,1,silt,2,,,,,,,,,,,,,,,,100,gradational,gradational,horizontal,medium bedded,,,,thin silt layer laminated,,,,,,,,,355,U1456,D,2,R,1,A
355-U1456D-2R-1-A,43,56,459.23,459.36,,silty,sand,,silty sand,,,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),100,very fine sand,3,very fine sand,3,,,,,,,,,,,,,,,,100,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,D,2,R,1,A
355-U1456D-2R-1-A,56,98,459.36,459.78,,nannofossil rich,clay,,nannofossil rich clay,,,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),80,clay,1,clay,1,,,sand,,sand,sand,sand,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),20,fine sand,4,fine sand,4,,100,gradational,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,D,2,R,1,A
355-U1456D-2R-1-A,98,140,459.78,460.2,,silty,sand,,silty sand,,,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),95,fine sand,4,fine sand,4,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),5,clay,1,clay,1,,100,,,,,,,,,,,,,,,,,355,U1456,D,2,R,1,A
355-U1456D-2R-1-A,98,150,459.78,460.3,,,,,sand,,,,,,,,,,,,,,nannofossil rich clay,nannofossil rich clay,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,D,2,R,1,A
355-U1456D-2R-2-A,0,14,460.3,460.44,,nannofossil rich,clay,,nannofossil rich clay,,parallel lamination,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),100,clay,1,very fine sand,3,a very thin silty sand layer was included at 7 cm,,,,,,,,,,,,,,,100,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,D,2,R,2,A
355-U1456D-2R-2-A,14,30,460.44,460.6,,silty,sand,,silty sand,,,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),100,fine sand,4,fine sand,4,,,,,,,,,,,,,,,,100,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,D,2,R,2,A
355-U1456D-2R-2-A,30,58,460.6,460.88,,silty,sand,,silty sand,,,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),70,fine sand,4,fine sand,4,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),30,clay,1,clay,1,,100,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,D,2,R,2,A
355-U1456D-2R-2-A,58,81,460.88,461.11,,nannofossil rich,clay,,nannofossil rich clay,,,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),100,clay,1,clay,1,a very thin sily sand layer was interbedded at 65 cm.,,,,,,,,,,,,,,,100,gradational,gradational,horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,D,2,R,2,A
355-U1456D-2R-2-A,81,94,461.11,461.24,,silty,sand,,silty sand,,normal grading,dark greenish gray,GLEY 1 4/5GY (dark greenish gray),100,very fine sand,3,very fine sand,3,,,,,,,,,,,,,,,,100,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,D,2,R,2,A
