Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size max (mm),Lithification,Comment,File Data,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1370D-1H-1-A,329,U1370,D,1,1-1,H,1,A,0,150,0,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,0
329-U1370D-1H-2-A,329,U1370,D,1,1-2,H,2,A,0,150,1.5,3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,1
329-U1370D-1H-3-A,329,U1370,D,1,1-3,H,3,A,0,150,3,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,2
329-U1370D-1H-4-A,329,U1370,D,1,1-4,H,4,A,0,150,4.5,6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,3
329-U1370D-1H-5-A,329,U1370,D,1,1-5,H,5,A,0,150,6,7.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,4
329-U1370D-1H-6-A,329,U1370,D,1,1-6,H,6,A,0,106,7.5,8.56,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,5
329-U1370D-1H-CC-A,329,U1370,D,1,1-CC,H,CC,A,0,19,8.56,8.75,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,6
329-U1370D-2H-1-A,329,U1370,D,2,2-1,H,1,A,0,60,8.8,9.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,7
329-U1370D-2H-2-A,329,U1370,D,2,2-2,H,2,A,0,150,9.4,10.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,8
329-U1370D-2H-3-A,329,U1370,D,2,2-3,H,3,A,0,150,10.9,12.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,9
329-U1370D-2H-4-A,329,U1370,D,2,2-4,H,4,A,0,150,12.4,13.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,10
329-U1370D-2H-5-A,329,U1370,D,2,2-5,H,5,A,0,150,13.9,15.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,11
329-U1370D-2H-6-A,329,U1370,D,2,2-6,H,6,A,0,150,15.4,16.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,12
329-U1370D-2H-7-A,329,U1370,D,2,2-7,H,7,A,0,135,16.9,18.25,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,13
329-U1370D-2H-CC-A,329,U1370,D,2,2-CC,H,CC,A,0,18,18.25,18.43,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,14
329-U1370D-3H-1-A,329,U1370,D,3,3-1,H,1,A,0,137,18.3,19.67,,clay [S54] ,,clay,"Shepard, 1954",,,,,,,,,15
