Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
350-U1437E-4R-1-A,350,U1437,E,4,4-1,R,1,A,0,59,1104,1104.59,IV,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,dark gray,,silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,horizontal,,well [2014],,stratification,,0,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-4R-1-A,350,U1437,E,4,4-1,R,1,A,59,70,1104.59,1104.7,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-4R-1-A,350,U1437,E,4,4-1,R,1,A,70,72,1104.7,1104.72,IV,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,dark gray,,silt [W22_1],2,,4,,,bioturbated,,,well [2014],,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-4R-1-A,350,U1437,E,4,4-1,R,1,A,72,99,1104.72,1104.99,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-4R-1-A,350,U1437,E,4,4-1,R,1,A,99,114,1104.99,1105.14,IV,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,dark gray,,silt [W22_1],2,fine sand [W22_2],4,,irregular,sharp,,,well [2014],,stratification,,0,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-4R-1-A,350,U1437,E,4,4-1,R,1,A,114,119,1105.14,1105.19,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-4R-1-A,350,U1437,E,4,4-1,R,1,A,119,123,1105.19,1105.23,IV,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,dark gray,,silt [W22_1],2,,4,,planar,sharp,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437E-4R-1-A,350,U1437,E,4,4-1,R,1,A,123,142,1105.23,1105.42,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-4R-2-A,350,U1437,E,4,4-2,R,2,A,0,24,1105.42,1105.66,IV,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,dark gray,,silt [W22_1],2,fine sand [W22_2],4,,,bioturbated,,,,,stratification,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,"with feldspar, pyroxene and altered glass",vitric matrix [2014],crystal matrix [2014],,,"with feldspar, pyroxene and altered glass",,,,,
350-U1437E-4R-2-A,350,U1437,E,4,4-2,R,2,A,24,36,1105.66,1105.78,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,silt [W22_1],2,,,,,bioturbated,,,,,,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
