Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
363-U1489B-1H-1-A,0,32,0,0.32,foraminifer-bearing diatom-rich [X363],nannofossil clay [X363],foraminifer-bearing diatom-rich nannofossil clay,,7.5YR 5/3 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,1,A,,,,,0
363-U1489B-1H-1-A,32,64,0.32,0.64,foraminifer-bearing diatom-rich [X363],nannofossil clay [X363],foraminifer-bearing diatom-rich nannofossil clay,,2.5Y 5/3 (light olive brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,1,A,,,,,1
363-U1489B-1H-1-A,64,128,0.64,1.28,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,1,A,,,,,2
363-U1489B-1H-1-A,128,146,1.28,1.46,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,1,A,,,,,3
363-U1489B-1H-2-A,0,6,1.51,1.57,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,2,A,,,,,4
363-U1489B-1H-2-A,6,37,1.57,1.88,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,2,A,,,,,5
363-U1489B-1H-2-A,37,105,1.88,2.56,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,2,A,,,,,6
363-U1489B-1H-2-A,105,128,2.56,2.79,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,2,A,,,,,7
363-U1489B-1H-2-A,128,146,2.79,2.97,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,2,A,,,,,8
363-U1489B-1H-3-A,0,103,3.02,4.05,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,3,A,,,,,9
363-U1489B-1H-3-A,103,128,4.05,4.3,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,3,A,,,,,10
363-U1489B-1H-3-A,128,141,4.3,4.43,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 6/1 (greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,3,A,,,,,11
363-U1489B-1H-4-A,0,38,4.53,4.91,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 6/1 (greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,4,A,,,,,12
363-U1489B-1H-4-A,38,105,4.91,5.58,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,4,A,,,,,13
363-U1489B-1H-CC-A,0,13,5.58,5.71,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,CC,A,,,,,14
363-U1489B-2H-1-A,0,90,5.7,6.6,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,1,A,,,,,15
363-U1489B-2H-1-A,90,110,6.6,6.8,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,1,A,,,,,16
363-U1489B-2H-1-A,110,145,6.8,7.15,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,a greeen band at ~130 cm,,,,,,,,,,,,,363,U1489,B,2,H,1,A,,,,,17
363-U1489B-2H-2-A,0,96,7.2,8.16,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,2,A,,,,,18
363-U1489B-2H-2-A,96,145,8.16,8.65,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10Y 7/1 (light greenish gray),slight [DB86],,,,,,a greeen band at ~107 cm,,,,,,,,,,,,,363,U1489,B,2,H,2,A,,,,,19
363-U1489B-2H-3-A,0,47,8.7,9.17,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10Y 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,3,A,,,,,20
363-U1489B-2H-3-A,47,66,9.17,9.36,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,3,A,,,,,21
363-U1489B-2H-3-A,66,80,9.36,9.5,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 6/1 (greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,3,A,,,,,22
363-U1489B-2H-3-A,80,140,9.5,10.1,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 8/1 (light greenish gray),slight [DB86],,,,,,a green band at ~126 cm,,,,,,,,,,,,,363,U1489,B,2,H,3,A,,,,,23
363-U1489B-2H-4-A,0,65,10.2,10.85,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,4,A,,,,,24
363-U1489B-2H-4-A,65,80,10.85,11,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 6/1 (greenish gray),slight [DB86],,,,,,a pyrite patch at ~68 cm,,,,,,,,,,,,,363,U1489,B,2,H,4,A,,,,,25
363-U1489B-2H-4-A,80,100,11,11.2,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,4,A,,,,,26
363-U1489B-2H-4-A,100,115,11.2,11.35,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,5GY 7/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,4,A,,,,,27
363-U1489B-2H-4-A,115,133,11.35,11.53,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,5GY 8/1 (light greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,2,H,4,A,,,,,28
