Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,0,4.5,0,0.045,,ash(tuff) [MMK88m],,ash(tuff),ash,4,,5YR 5/3 (reddish brown),,,absent [A79],,,,,,,,,,fe oxide,,,,,,,,,,0
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,4.5,13,0.045,0.13,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,1
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,13,28,0.13,0.28,,mud [Leg210],,mud ,,,,10YR 4/2 (dark grayish brown),none [DB86],0,absent [A79],,,,,,,,,,fe oxide,,,,,,,,,,2
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,28,30,0.28,0.3,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10YR 2/2 (very dark brown),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,3
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,30,35,0.3,0.35,,mud [Leg210],,mud ,,,,10YR 4/2 (dark grayish brown),slight [DB86],1,absent [A79],,,,,,,,,,fe oxide,,,,,,,,,,4
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,35,63,0.35,0.63,,mud [Leg210],,mud ,,,,10YR 5/1 (gray),slight [DB86],1,absent [A79],,,,,,,,,,,,,,,,,,,,5
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,63,65,0.63,0.65,volcaniclastic rich,silt [Leg210],,volcaniclastic rich silt ,volcaniclastic-rich,3,,10YR 2/2 (very dark brown),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,6
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,65,73,0.65,0.73,,mud [Leg210],,mud ,,,,10YR 4/2 (dark grayish brown),slight [DB86],1,absent [A79],,,,,,,,,,fe oxide,,,,,,,,,,7
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,73,150,0.73,1.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,faint green bands,,,,,,,,,8
341-U1417D-1H-2-A,341,U1417,D,1,1-2,H,2,A,0,150,1.5,3,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"faint green bands, otherwise massive",,,,,,,,,9
