Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],LITH 2 color,LITH 2 lithification,LITH 2 ave. grain size class,LITH 2 ave. grain size rank [read only],LITH 2 max. grain size class,LITH 2 max. grain size rank [read only],LITH 2 grain sorting,LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Clast comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,row_index
367-U1499B-2R-1-A,0,13,655,655.13,,claystone [Leg339],,claystone,claystone,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,0
367-U1499B-2R-1-A,13,40,655.13,655.4,,silty claystone [S54],,silty claystone,silty claystone,,GLEY 1 5/10Y (greenish gray),lithified [B84],clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,erosive,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,1
367-U1499B-2R-1-A,40,50,655.4,655.5,,claystone [Leg339],,claystone,claystone,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,2
367-U1499B-2R-1-A,50,53,655.5,655.53,,silty claystone [S54],,silty claystone,silty claystone,,GLEY 1 5/10Y (greenish gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,erosive,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,3
367-U1499B-2R-1-A,53,64,655.53,655.64,,claystone [Leg339],,claystone,claystone,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,4
367-U1499B-2R-1-A,64,71,655.64,655.71,,silty claystone [S54],,silty claystone,silty claystone,,GLEY 1 5/10Y (greenish gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,erosive,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,5
367-U1499B-2R-1-A,71,78,655.71,655.78,,claystone [Leg339],,claystone,claystone,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,6
367-U1499B-2R-1-A,78,81,655.78,655.81,,silty claystone [S54],,silty claystone,silty claystone,,GLEY 1 5/10Y (greenish gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,erosive,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,7
367-U1499B-2R-1-A,81,86,655.81,655.86,,claystone [Leg339],,claystone,claystone,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,8
367-U1499B-2R-1-A,86,90,655.86,655.9,,silty claystone [S54],,silty claystone,silty claystone,,GLEY 1 5/10Y (greenish gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,erosive,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,9
367-U1499B-2R-1-A,90,104,655.9,656.04,,claystone [Leg339],,claystone,claystone,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,10
367-U1499B-2R-1-A,104,108,656.04,656.08,,silty claystone [S54],,silty claystone,silty claystone,,GLEY 1 5/10Y (greenish gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,erosive,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,11
367-U1499B-2R-1-A,108,116,656.08,656.16,,claystone [Leg339],,claystone,claystone,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,12
367-U1499B-2R-1-A,116,118,656.16,656.18,,silty claystone [S54],,silty claystone,silty claystone,,GLEY 1 5/10Y (greenish gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,erosive,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,13
367-U1499B-2R-1-A,118,124,656.18,656.24,,claystone [Leg339],,claystone,claystone,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,14
367-U1499B-2R-1-A,124,131,656.24,656.31,,silty claystone [S54],,silty claystone,silty claystone,,GLEY 1 5/10Y (greenish gray),lithified [B84],clay [W22_1],1,silt [W22_1],2,well [2014],,,,erosive,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,15
367-U1499B-2R-1-A,131,141,656.31,656.41,,claystone [Leg339],,claystone,claystone,,GLEY 1 3/10Y (very dark greenish gray),lithified [B84],clay [W22_1],1,very fine sand [W22_2],3,well [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,U1499,B,2,R,1,A,16
