Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
354-U1452C-1H-1-A,0,100,0,1,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,,,,,,,,burrows,,,,,,,,354,U1452,C,1,H,1,A,,,
354-U1452C-1H-2-A,0,72,1,1.72,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,sharp planar,horizontal,,,,,,burrows,,,,,,,,354,U1452,C,1,H,2,A,,,
354-U1452C-1H-2-A,72,88,1.72,1.88,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,light brown,sharp planar,horizontal,,,,,,normally graded,,,,,,,,354,U1452,C,1,H,2,A,,,
354-U1452C-1H-2-A,88,150,1.88,2.5,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,dark gray,,,,,,,,burrows,,,,,,,,354,U1452,C,1,H,2,A,,,
354-U1452C-1H-3-A,0,46,2.5,2.96,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,light gray,,,,,,,,burrows,,,,,,,,354,U1452,C,1,H,3,A,,,
354-U1452C-1H-3-A,46,150,2.96,4,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,dark gray,,,,,,,,,,,,,,,,354,U1452,C,1,H,3,A,,,
354-U1452C-1H-4-A,0,38,4,4.38,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,dark gray,gradational,,,,,,,burrows,,,,,,,,354,U1452,C,1,H,4,A,,,
354-U1452C-1H-4-A,38,150,4.38,5.5,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,gray,,,,,,,,mottling [BJ80],,,,89-95 cm volcanic ash blob probably caused by drilling disturbance.,,,,354,U1452,C,1,H,4,A,,,
354-U1452C-1H-5-A,0,50,5.5,6,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,gray,sharp planar,horizontal,medium bed [B01],sand [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,1,H,5,A,,,
354-U1452C-1H-5-A,50,108,6,6.58,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,1,H,5,A,,,
