Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1428B-1H-1-A,0.0,150.0,0.0,1.5,,nannofossil ooze ,,nannofossil ooze ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,1,H,1,A
346-U1428B-1H-1-A,98.0,99.0,0.98,0.99,,,,,,,,,,,,,,,,,,,,,,,,,shell fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,1,H,1,A
346-U1428B-1H-2-A,0.0,83.0,1.5,2.33,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,1,H,2,A
346-U1428B-1H-2-A,83.0,89.0,2.33,2.39,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,1,H,2,A
346-U1428B-2H-1-A,0.0,22.0,2.5,2.72,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,1,A
346-U1428B-2H-1-A,22.0,150.0,2.72,4.0,,nannofossil ooze ,with volcanic ash ,nannofossil ooze  with volcanic ash ,,,2,,10Y 4/1 (dark greenish gray),slight ,1,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,1,A
346-U1428B-2H-2-A,0.0,150.0,4.0,5.5,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,2,A
346-U1428B-2H-3-A,0.0,150.0,5.5,7.0,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,3,A
346-U1428B-2H-4-A,0.0,150.0,7.0,8.5,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,4,A
346-U1428B-2H-5-A,0.0,150.0,8.5,10.0,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,5,A
346-U1428B-2H-6-A,0.0,150.0,10.0,11.5,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,6,A
346-U1428B-2H-7-A,0.0,64.0,11.5,12.14,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,7,A
346-U1428B-2H-7-A,49.0,50.0,11.99,12.0,,,,,,,,,,,,,,,,,,,,,,,,,gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,7,A
346-U1428B-2H-CC-A,0.0,16.0,12.14,12.3,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,2,H,CC,A
346-U1428B-3H-1-A,0.0,150.0,12.0,13.5,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,3,H,1,A
346-U1428B-3H-2-A,0.0,150.0,13.5,15.0,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,3,H,2,A
346-U1428B-3H-3-A,0.0,28.0,15.0,15.28,diatom bearing,nannofossil ooze ,with volcanic ash ,diatom bearing nannofossil ooze  with volcanic ash ,,,,normal grading,N 4 (dark gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,3,H,3,A
346-U1428B-3H-3-A,28.0,54.0,15.28,15.54,,tephra ,,tephra ,,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,3,H,3,A
346-U1428B-3H-3-A,54.0,150.0,15.54,16.5,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,3,H,3,A
346-U1428B-3H-4-A,0.0,150.0,16.5,18.0,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,3,H,4,A
346-U1428B-3H-5-A,0.0,150.0,18.0,19.5,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,3,H,5,A
346-U1428B-3H-6-A,0.0,150.0,19.5,21.0,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,3,H,6,A
346-U1428B-3H-7-A,0.0,57.0,21.0,21.57,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,3,H,7,A
346-U1428B-3H-CC-A,0.0,16.0,21.57,21.73,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,3,H,CC,A
346-U1428B-4H,0.0,978.0,21.5,31.28,diatom bearing,nannofossil ooze ,,diatom bearing nannofossil ooze ,,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,4,H,,
346-U1428B-5H,0.0,968.0,31.0,40.68,volcanic glass bearing,nannofossil ooze ,with silt ,volcanic glass bearing nannofossil ooze  with silt ,,,,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze   with silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,5,H,,
346-U1428B-5H-4-A,34.0,35.0,35.84,35.85,,,,,,,,,,,,,,,,,,,,,,,,,echinoderm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,5,H,4,A
346-U1428B-5H-5-A,123.0,150.0,38.23,38.5,sandy ,tephra ,,sandy  tephra ,vitric,,,,N 4 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,5,H,5,A
346-U1428B-5H-6-A,0.0,3.0,38.5,38.53,sandy ,tephra ,,sandy  tephra ,vitric,,,,N 4 (dark gray),heavy ,3,,,,,,,,,,,,,,,sandy   tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,5,H,6,A
346-U1428B-5H-7-A,9.0,57.0,40.09,40.57,,tephra ,,tephra ,vitric,,,,N 7 (light gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1428,B,5,H,7,A
