Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,
342-U1403A-1H-1-A,342,U1403,A,1,1-1,H,1,A,28.0,150.0,0.0,1.5,,nannofossil ooze [Leg339],,nannofossil ooze ,,,,,heavy [DB91],5,,"A manganese nodule at 105 cm was dragged up through the core during splitting, causing significant disturbance, which was partially fixed by scraping the core before imaging/sensing. This section has several bands of 5YR 5/4 ranging from 2-10 cm thick within a more dominant 'background' of 10YR 6/2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1403A-1H-1-A,342,U1403,A,1,1-1,H,1,A,45.0,46.0,0.45,0.46,sandy [Leg339],mud [Leg339],,sandy  mud ,,,,,,,,foram sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   mud ,mud ,,,,medium sand [W22_2],5,,
342-U1403A-1H-1-A,342,U1403,A,1,1-1,H,1,A,105.0,108.0,1.05,1.08,,,,,,,nodule,manganese,,,,manganese nodule (need to enter into 'diagenetic constituent composition' list),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-1H-2-A,342,U1403,A,1,1-2,H,2,A,0.0,8.0,1.5,1.58,,,,,,,nodule,manganese,,,,manganese nodule (need to enter into 'diagenetic constituent composition' list),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-1H-2-A,342,U1403,A,1,1-2,H,2,A,0.0,150.0,1.5,3.0,,nannofossil ooze [Leg339],,nannofossil ooze ,10YR 5/3 (brown),,,,heavy [DB91],5,,A few faint bands of slightly redder color (5YR 5/4) within this section,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1403A-1H-2-A,342,U1403,A,1,1-2,H,2,A,70.0,150.0,2.2,3.0,,,,,,,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-1H-3-A,342,U1403,A,1,1-3,H,3,A,0.0,150.0,3.0,4.5,silty [Leg339],clay [Leg339],,silty  clay ,10YR 5/3 (brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-1H-3-A,342,U1403,A,1,1-3,H,3,A,39.0,41.0,3.39,3.41,,,,,,,nodule,manganese,,,,manganese nodule (need to enter into 'diagenetic constituent composition' list),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-1H-4-A,342,U1403,A,1,1-4,H,4,A,0.0,14.5,4.5,4.645,,,,,10YR 6/2 (light brownish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-1H-4-A,342,U1403,A,1,1-4,H,4,A,0.0,110.0,4.5,5.6,silty [Leg339],clay [Leg339],,silty  clay ,,,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-1H-4-A,342,U1403,A,1,1-4,H,4,A,14.5,41.0,4.645,4.91,,,,,10YR 7/2 (light gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-1H-4-A,342,U1403,A,1,1-4,H,4,A,41.0,100.0,4.91,5.5,,,,,10YR 6/2 (light brownish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-1H-CC-A,342,U1403,A,1,1-CC,H,CC,A,0.0,19.0,5.6,5.79,silty [Leg339],clay [Leg339],,silty  clay ,10YR 6/3 (pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-2H-1-A,342,U1403,A,2,2-1,H,1,A,0.0,150.0,5.8,7.3,,clay [Leg339],,clay ,10YR 5/3 (brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-2H-1-A,342,U1403,A,2,2-1,H,1,A,107.0,111.0,6.87,6.91,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-1-A,342,U1403,A,2,2-1,H,1,A,142.0,146.0,7.22,7.26,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-2-A,342,U1403,A,2,2-2,H,2,A,0.0,150.0,7.3,8.8,,clay [Leg339],,clay ,10YR 5/3 (brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-2H-2-A,342,U1403,A,2,2-2,H,2,A,36.0,41.0,7.66,7.71,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-2-A,342,U1403,A,2,2-2,H,2,A,46.0,51.0,7.76,7.81,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-2-A,342,U1403,A,2,2-2,H,2,A,86.0,86.5,8.16,8.165,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-3-A,342,U1403,A,2,2-3,H,3,A,0.0,150.0,8.8,10.3,,clay [Leg339],,clay ,10YR 7/3 (very pale brown),,,,heavy [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1403A-2H-3-A,342,U1403,A,2,2-3,H,3,A,125.0,128.0,10.05,10.08,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-3-A,342,U1403,A,2,2-3,H,3,A,130.0,130.5,10.1,10.105,,,,,,,nodule,manganese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-4-A,342,U1403,A,2,2-4,H,4,A,0.0,55.0,10.3,10.85,,,,,10YR 6/2 (light brownish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-4-A,342,U1403,A,2,2-4,H,4,A,0.0,150.0,10.3,11.8,silty [Leg339],clay [Leg339],,silty  clay ,,,,,moderate [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,
342-U1403A-2H-4-A,342,U1403,A,2,2-4,H,4,A,55.0,72.0,10.85,11.02,,,,,2.5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-4-A,342,U1403,A,2,2-4,H,4,A,72.0,98.0,11.02,11.28,,,,,10YR 6/2 (light brownish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1403A-2H-4-A,342,U1403,A,2,2-4,H,4,A,98.0,150.0,11.28,11.8,,,,,10YR 4/2 (dark grayish brown),,,,,,,"dark color not very consistent throughout, disrupted by burrowed/mottled texture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
