Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size maximum [mm],Lithification,Comment,File Data,,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1371D-1H-1-A,329,U1371,D,1,1-1,H,1,A,0,34,0,0.34,diatom-bearing,clay [S54] ,,diatom-bearing clay,"Shepard, 1954",,,,,,,,,,0
329-U1371D-1H-1-A,329,U1371,D,1,1-1,H,1,A,34,150,0.34,1.5,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,1
329-U1371D-1H-2-A,329,U1371,D,1,1-2,H,2,A,0,150,1.5,3,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,2
329-U1371D-1H-3-A,329,U1371,D,1,1-3,H,3,A,0,150,3,4.5,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,3
329-U1371D-1H-4-A,329,U1371,D,1,1-4,H,4,A,0,150,4.5,6,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,4
329-U1371D-1H-5-A,329,U1371,D,1,1-5,H,5,A,0,121,6,7.21,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,5
329-U1371D-1H-CC-A,329,U1371,D,1,1-CC,H,CC,A,0,20,7.21,7.41,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,6
329-U1371D-2H-1-A,329,U1371,D,2,2-1,H,1,A,0,150,7.4,8.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,7
329-U1371D-2H-2-A,329,U1371,D,2,2-2,H,2,A,0,150,8.9,10.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,8
329-U1371D-2H-3-A,329,U1371,D,2,2-3,H,3,A,0,150,10.4,11.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,9
329-U1371D-2H-4-A,329,U1371,D,2,2-4,H,4,A,0,150,11.9,13.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,10
329-U1371D-2H-5-A,329,U1371,D,2,2-5,H,5,A,0,150,13.4,14.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,11
329-U1371D-2H-5-A,329,U1371,D,2,2-5,H,5,A,20,22,13.6,13.62,,ash [F&S84],,ash,"Fisher and Schminke, 1984",,,,,,,,,,12
329-U1371D-2H-6-A,329,U1371,D,2,2-6,H,6,A,0,43,14.9,15.33,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,13
329-U1371D-3H-1-A,329,U1371,D,3,3-1,H,1,A,0,150,16.9,18.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,14
329-U1371D-3H-2-A,329,U1371,D,3,3-2,H,2,A,0,150,18.4,19.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,15
329-U1371D-3H-3-A,329,U1371,D,3,3-3,H,3,A,0,150,19.9,21.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,16
329-U1371D-3H-4-A,329,U1371,D,3,3-4,H,4,A,0,150,21.4,22.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,17
329-U1371D-3H-5-A,329,U1371,D,3,3-5,H,5,A,0,150,22.9,24.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,18
329-U1371D-3H-6-A,329,U1371,D,3,3-6,H,6,A,0,150,24.4,25.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,19
329-U1371D-3H-6-A,329,U1371,D,3,3-6,H,6,A,1,3,24.41,24.43,,ash [F&S84],,ash,"Fisher and Schminke, 1984",,,,,,,,,,20
329-U1371D-3H-6-A,329,U1371,D,3,3-6,H,6,A,61,64,25.01,25.04,,ash [F&S84],,ash,"Fisher and Schminke, 1984",,,,,,,,,,21
329-U1371D-3H-6-A,329,U1371,D,3,3-6,H,6,A,70,72,25.1,25.12,,ash [F&S84],,ash,"Fisher and Schminke, 1984",,,,,,,,,,22
329-U1371D-3H-7-A,329,U1371,D,3,3-7,H,7,A,0,63,25.9,26.53,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,23
329-U1371D-3H-CC-A,329,U1371,D,3,3-CC,H,CC,A,0,19,26.53,26.72,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,24
329-U1371D-4H-1-A,329,U1371,D,4,4-1,H,1,A,0,150,26.4,27.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,25
329-U1371D-4H-1-A,329,U1371,D,4,4-1,H,1,A,84,85,27.24,27.25,,ash [F&S84],,ash,"Fisher and Schminke, 1984",,,,,,,,,,26
329-U1371D-4H-1-A,329,U1371,D,4,4-1,H,1,A,104,106,27.44,27.46,,ash [F&S84],,ash,"Fisher and Schminke, 1984",,,,,,,,,,27
329-U1371D-4H-2-A,329,U1371,D,4,4-2,H,2,A,0,150,27.9,29.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,28
329-U1371D-4H-3-A,329,U1371,D,4,4-3,H,3,A,0,150,29.4,30.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,,29
329-U1371D-4H-3-A,329,U1371,D,4,4-3,H,3,A,66,68,30.06,30.08,,ash [F&S84],,ash,"Fisher and Schminke, 1984",,,,,,,,,,30
