Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,row_index
342-U1408A-1H-1-A,342,U1408,A,1,1-1,H,1,A,0,41,0,0.41,clayey [Leg339],silt [Leg339],,clayey  silt ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   silt ,silt ,,,,,,,0
342-U1408A-1H-1-A,342,U1408,A,1,1-1,H,1,A,41,150,0.41,1.5,clayey [Leg339],silt [Leg339],,clayey  silt ,2.5Y 5/1 (gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   silt ,silt ,,,,,,,1
342-U1408A-1H-2-A,342,U1408,A,1,1-2,H,2,A,0,90,1.5,2.4,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,7.5YR 6/3 (light brown),,,,heavy_339 [DB91],5,,Blebs of 5YR 5/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,,2
342-U1408A-1H-2-A,342,U1408,A,1,1-2,H,2,A,90,142,2.4,3,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,7.5YR 6/2 (pinkish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,,3
342-U1408A-1H-3-A,342,U1408,A,1,1-3,H,3,A,0,113,3,4.13,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,7.5YR 6/3 (light brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,,4
342-U1408A-1H-CC-A,342,U1408,A,1,1-CC,H,CC,A,0,19,4.13,4.32,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,7.5YR 6/3 (light brown),,,,heavy_339 [DB91],5,,3cm layer of 5YR 5/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,,5
342-U1408A-2H-1-A,342,U1408,A,2,2-1,H,1,A,0,150,4.3,5.8,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,Color alternates with 7.5YR 7/2 on decimeter scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,6
342-U1408A-2H-2-A,342,U1408,A,2,2-2,H,2,A,0,150,5.8,7.3,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,Color alternates with 7.5YR 7/2 on decimeter scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,7
342-U1408A-2H-3-A,342,U1408,A,2,2-3,H,3,A,0,150,7.3,8.8,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,Color alternates with 7.5YR 7/2 on decimeter scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,8
342-U1408A-2H-4-A,342,U1408,A,2,2-4,H,4,A,0,150,8.8,10.3,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,Color alternates with 7.5YR 7/2 on decimeter scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,9
342-U1408A-2H-5-A,342,U1408,A,2,2-5,H,5,A,0,150,10.3,11.8,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 6/3 (light brown),,,,heavy_339 [DB91],5,,"Large Mn nodules at 23, 75cm. Below 40cm, lots of black specks, presumably Mn oxides. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,10
342-U1408A-2H-6-A,342,U1408,A,2,2-6,H,6,A,0,42,11.8,12.22,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 6/3 (light brown),,,,heavy_339 [DB91],5,,"Abundant black flecks, presumably Mn oxides. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,11
342-U1408A-2H-6-A,342,U1408,A,2,2-6,H,6,A,42,59,12.22,12.39,clayey [Leg339],silt [Leg339],,clayey  silt ,2.5Y 6/6 (moderate gamboge),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   silt ,silt ,,,,,,,12
342-U1408A-2H-6-A,342,U1408,A,2,2-6,H,6,A,59,93,12.39,12.73,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 7/3 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,13
342-U1408A-2H-7-A,342,U1408,A,2,2-7,H,7,A,0,76,12.81,13.57,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 7/3 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,14
342-U1408A-2H-CC-A,342,U1408,A,2,2-CC,H,CC,A,0,25,13.57,13.82,silty [Leg339],clay [Leg339],,silty  clay ,2.5Y 7/3 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,15
342-U1408A-3H-1-A,342,U1408,A,3,3-1,H,1,A,0,150,13.8,15.3,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,2.5Y 7/2 (light gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,,16
342-U1408A-3H-2-A,342,U1408,A,3,3-2,H,2,A,0,150,15.3,16.8,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,2.5Y 7/2 (light gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,,17
342-U1408A-3H-3-A,342,U1408,A,3,3-3,H,3,A,0,150,16.8,18.3,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,2.5Y 6/2 (light brownish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,,18
342-U1408A-3H-4-A,342,U1408,A,3,3-4,H,4,A,0,150,18.3,19.8,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,10YR 5/3 (brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,,19
342-U1408A-3H-5-A,342,U1408,A,3,3-5,H,5,A,0,150,19.8,21.3,nannofossil [Leg339],clay [Leg339],with silt [Leg339],nannofossil  clay  with silt ,10YR 5/3 (brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with silt ,,,,,,,20
342-U1408A-3H-6-A,342,U1408,A,3,3-6,H,6,A,0,92,21.3,22.22,nannofossil [Leg339],clay [Leg339],with silt [Leg339],nannofossil  clay  with silt ,10YR 5/3 (brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with silt ,,,,,,,21
342-U1408A-3H-7-A,342,U1408,A,3,3-7,H,7,A,0,81,22.3,23.11,nannofossil [Leg339],clay [Leg339],with silt [Leg339],nannofossil  clay  with silt ,10Y 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with silt ,,,,,,,22
342-U1408A-3H-CC-A,342,U1408,A,3,3-CC,H,CC,A,0,20,23.11,23.31,nannofossil [Leg339],clay [Leg339],with silt [Leg339],nannofossil  clay  with silt ,10Y 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with silt ,,,,,,,23
342-U1408A-4H-1-A,342,U1408,A,4,4-1,H,1,A,78,150,24.08,24.8,nannofossil [Leg339],clay [Leg339],,nannofossil  clay ,5GY 5/1 (greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay ,,,,,,,24
