Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
353-U1448C-1H-1-A,0,3,0,0.03,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,5Y 6/3 (pale olive),gradational,,,,,,,,,,,,,,,,353,U1448,C,1,H,1,A,,,
353-U1448C-1H-1-A,3,150,0.03,1.5,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,353,U1448,C,1,H,1,A,,,
353-U1448C-1H-2-A,0,27,1.5,1.77,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),bioturbated,,,,,,,,,,,,,,,,353,U1448,C,1,H,2,A,,,
353-U1448C-1H-2-A,27,29.5,1.77,1.795,,bioclastic,sand,,bioclastic sand,bioclastic sand,sand,,light gray,5Y 6/3 (pale olive),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,,,,,353,U1448,C,1,H,2,A,,,
353-U1448C-1H-2-A,29.5,150,1.795,3,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,1,H,2,A,,,
353-U1448C-1H-3-A,0,150,3,4.5,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,1,H,3,A,,,
353-U1448C-1H-4-A,0,121,4.5,5.71,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),bioturbated,,,,,,,,mottling,,,,,,,,353,U1448,C,1,H,4,A,,,
353-U1448C-1H-4-A,121,133,5.71,5.83,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,light gray,2.5Y 7/1 (light gray),,,,,,vitric,abundant,5,,,,,,,,,353,U1448,C,1,H,4,A,,,
353-U1448C-2H-1-A,0,150,5.8,7.3,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,2,H,1,A,,,
353-U1448C-2H-2-A,0,150,7.3,8.8,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,"A lot of foraminifer rich sandy blebs between 3 and 17 cm, and between 97 and 113 cm.",,,,353,U1448,C,2,H,2,A,,,
353-U1448C-2H-3-A,0,150,8.8,10.3,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,2,H,3,A,,,
353-U1448C-2H-4-A,0,150,10.3,11.8,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,2,H,4,A,,,
353-U1448C-2H-5-A,0,150,11.8,13.3,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,2,H,5,A,,,
353-U1448C-2H-6-A,0,100,13.3,14.3,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,2,H,6,A,,,
353-U1448C-2H-7-A,0,81,14.3,15.11,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,A lot of foraminifer rich sandy blebs between 25 and 47 cm,,,,353,U1448,C,2,H,7,A,,,
353-U1448C-2H-CC-A,0,13,15.11,15.24,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,2,H,CC,A,,,
353-U1448C-3H-1-A,0,150,15.3,16.8,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,3,H,1,A,,,
353-U1448C-3H-2-A,0,150,16.8,18.3,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,3,H,2,A,,,
353-U1448C-3H-3-A,0,150,18.3,19.8,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,3,H,3,A,,,
353-U1448C-3H-4-A,0,150,19.8,21.3,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,A lot of foraminifer rich sandy blebs between 51 and 82 cm,,,,353,U1448,C,3,H,4,A,,,
353-U1448C-3H-5-A,0,150,21.3,22.8,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,3,H,5,A,,,
353-U1448C-3H-6-A,0,110,22.8,23.9,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,3,H,6,A,,,
353-U1448C-3H-7-A,0,84,23.9,24.74,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,3,H,7,A,,,
353-U1448C-3H-CC-A,0,15,24.74,24.89,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,3,H,CC,A,,,
353-U1448C-4H-1-A,0,150,24.8,26.3,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,4,H,1,A,,,
353-U1448C-4H-2-A,0,150,26.3,27.8,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,4,H,2,A,,,
353-U1448C-4H-3-A,0,150,27.8,29.3,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,4,H,3,A,,,
353-U1448C-4H-4-A,0,150,29.3,30.8,,foraminifer rich,clay,with nannofossils,foraminifer rich clay,foraminifer rich clay with nannofossils,clay with nannofossils,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,4,H,4,A,,,
353-U1448C-4H-5-A,0,150,30.8,32.3,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,4,H,5,A,,,
353-U1448C-4H-6-A,0,150,32.3,33.8,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,4,H,6,A,,,
353-U1448C-4H-7-A,0,74,33.8,34.54,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,4,H,7,A,,,
353-U1448C-4H-CC-A,0,17,34.54,34.71,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,light gray,GLEY 1 6/10Y (greenish gray),,,,,,,,,mottling,,,,,,,,353,U1448,C,4,H,CC,A,,,
