Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,row_index
346-U1424B-1H-1-A,0,47,0,0.47,,clay ,,clay ,,,,,5YR 4/6 (yellowish red),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,Mudline,,,,,,,,,,,,,,,,,,,346,U1424,B,1,H,1,A,0
346-U1424B-1H-1-A,47,144,0.47,1.44,,clay ,,clay ,,,,lamination,7.5YR 3/4 (dark brown),none ,0,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,B,1,H,1,A,1
346-U1424B-1H-1-A,144,146,1.44,1.46,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,B,1,H,1,A,2
346-U1424B-1H-1-A,146,150,1.46,1.5,,clay ,,clay ,,,,lamination,7.5YR 3/4 (dark brown),none ,0,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,B,1,H,1,A,3
346-U1424B-1H-2-A,0,92,1.5,2.42,,clay ,,clay ,,,,color banding,10YR 7/1 (light gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,B,1,H,2,A,4
346-U1424B-1H-2-A,92,98,2.42,2.48,,tephra ,,tephra ,vitric,,,,N 5 (gray),none ,0,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,B,1,H,2,A,5
346-U1424B-1H-2-A,98,104,2.48,2.54,,clay ,,clay ,,,,color banding,10YR 7/1 (light gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,B,1,H,2,A,6
346-U1424B-1H-CC-A,0,13,2.54,2.67,,clay ,,clay ,,,,,10G 6/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,B,1,H,CC,A,7
346-U1424B-2H-1-A,0,1.5,2.7,2.715,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,,346,U1424,B,2,H,1,A,8
346-U1424B-2H-1-A,1.5,1.9,2.715,2.719,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1424,B,2,H,1,A,9
