Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
371-U1509A-2R-1-A,0.0,35.0,0.1,0.45,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,10YR 7/3 (very pale brown),,,,,,silt [W22_1],2,,,,,,planar boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1509,A,2,R,1,A,,,
371-U1509A-2R-1-A,35.0,41.0,0.45,0.51,,,,,nannofossil-rich [2014b],foraminiferal ooze [Leg339],,nannofossil-rich foraminiferal ooze,,,10YR 7/2 (light gray),,,,,,fine sand [W22_2],4,,,,,,sharp inclined boundary or contact,planar,,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze,,,,371,U1509,A,2,R,1,A,,,
371-U1509A-2R-1-A,41.0,99.0,0.51,1.09,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,volcanic ash,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,"A few blebs of gray color (Gley 1 6/N), varying from few mm to few cm in thickness, occur sporadically.",,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1509,A,2,R,1,A,,,
371-U1509A-2R-CC-A,0.0,6.0,1.09,1.15,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],with volcanic ash [2014],foraminiferal nannofossil ooze with volcanic ash,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,"A very thin bed of gray color (Gley 1 6/N), occurs at 4-6 cm.",,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with volcanic ash,,,,371,U1509,A,2,R,CC,A,,,
371-U1509A-3R-1-A,0.0,10.0,9.8,9.9,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,,sharp inclined boundary or contact,planar,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1509,A,3,R,1,A,,,
371-U1509A-3R-1-A,10.0,50.0,9.9,10.3,,,,,sandy,nannofossil ooze [Leg339],with volcanic ash [2014],sandy nannofossil ooze with volcanic ash,,,GLEY 1 7/N (light gray),,,,,,fine sand [W22_2],4,,,,,,,,,,,,,,,sandy nannofossil ooze,nannofossil ooze with volcanic ash,,,,371,U1509,A,3,R,1,A,,,
371-U1509A-3R-CC-A,0.0,17.0,10.3,10.47,,,,,sandy,nannofossil ooze [Leg339],with volcanic ash [2014],sandy nannofossil ooze with volcanic ash,,,GLEY 1 7/N (light gray),,,,,,fine sand [W22_2],4,,,,,,,,,,,,,,,sandy nannofossil ooze,nannofossil ooze with volcanic ash,,,,371,U1509,A,3,R,CC,A,,,
371-U1509A-4R-1-A,0.0,141.0,19.4,20.81,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,foraminifers,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,Pyrite blebs occur sporadically.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1509,A,4,R,1,A,,,
371-U1509A-4R-2-A,0.0,146.0,20.9,22.36,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,foraminifers,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,Pyrite blebs occur sporadically.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1509,A,4,R,2,A,,,
371-U1509A-5R-1-A,0.0,150.0,29.1,30.6,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,Rare pyrite blebs occur through this core.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1509,A,5,R,1,A,,,
371-U1509A-5R-2-A,0.0,150.0,30.6,32.1,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,Rare pyrite blebs occur through this core.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1509,A,5,R,2,A,,,
371-U1509A-5R-3-A,0.0,110.0,32.1,33.2,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,Rare pyrite blebs occur through this core.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1509,A,5,R,3,A,,,
371-U1509A-5R-4-A,0.0,64.0,33.3,33.94,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,Rare pyrite blebs occur through this core.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1509,A,5,R,4,A,,,
371-U1509A-7R-1-A,0.0,117.0,48.4,49.57,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,,gradational boundary or contact,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1509,A,7,R,1,A,,,
371-U1509A-7R-1-A,117.0,141.0,49.57,49.81,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,,,GLEY 1 8/N (white gray),,,,,,silt [W22_1],2,,,,,,gradational boundary or contact,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1509,A,7,R,1,A,,,
371-U1509A-7R-1-A,141.0,144.0,49.81,49.84,,,,,,nannofossil ooze [Leg339],with clay [2014],nannofossil ooze with clay,,,GLEY 1 7/N (light gray),,,,,,clay [W22_1],1,,,,,,,,,,,,,,,nannofossil ooze,nannofossil ooze with clay,,,,371,U1509,A,7,R,1,A,,,
371-U1509A-7R-2-A,0.0,3.0,49.9,49.93,,,,,,nannofossil ooze [Leg339],with clay [2014],nannofossil ooze with clay,,,N 8.5 (white),,,,,,clay [W22_1],1,,,,,,,,,,,,,,,nannofossil ooze,nannofossil ooze with clay,,,,371,U1509,A,7,R,2,A,,,
371-U1509A-7R-2-A,3.0,130.0,49.93,51.2,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,,gradational boundary or contact,,,,,,,,,nannofossil ooze,nannofossil ooze,,,,371,U1509,A,7,R,2,A,,,
