Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
320-U1333A-1H-1-A,320,U1333,A,1,1-1,H,1,A,0,150,0,1.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,70,soft,10YR 3/3,,,,,,,0
320-U1333A-1H-1-A,320,U1333,A,1,1-1,H,1,A,0,150,0,1.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/3,,,,,,,1
320-U1333A-1H-2-A,320,U1333,A,1,1-2,H,2,A,0,150,1.5,3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,70,soft,10YR 3/3,,,,,,,2
320-U1333A-1H-2-A,320,U1333,A,1,1-2,H,2,A,0,150,1.5,3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/3,,,,,,,3
320-U1333A-1H-3-A,320,U1333,A,1,1-3,H,3,A,0,135,3,4.35,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,70,soft,10YR 3/3,,,,,,,4
320-U1333A-1H-3-A,320,U1333,A,1,1-3,H,3,A,0,135,3,4.35,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/3,,,,,,,5
320-U1333A-1H-3-A,320,U1333,A,1,1-3,H,3,A,135,150,4.35,4.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,,6
320-U1333A-1H-4-A,320,U1333,A,1,1-4,H,4,A,0,150,4.5,6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,,7
320-U1333A-1H-5-A,320,U1333,A,1,1-5,H,5,A,0,150,6,7.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,,8
320-U1333A-1H-6-A,320,U1333,A,1,1-6,H,6,A,0,150,7.5,9,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,,9
320-U1333A-1H-7-A,320,U1333,A,1,1-7,H,7,A,0,71,9,9.71,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,,10
320-U1333A-1H-CC-A,320,U1333,A,1,1-CC,H,CC,A,0,28,9.71,9.99,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,,11
320-U1333A-2H-1-A,320,U1333,A,2,2-1,H,1,A,0,14,9.5,9.64,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 6/4,,,,,,,12
320-U1333A-2H-1-A,320,U1333,A,2,2-1,H,1,A,14,150,9.64,11,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,,13
320-U1333A-2H-2-A,320,U1333,A,2,2-2,H,2,A,0,75,11,11.75,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/2,,,,,,,14
320-U1333A-2H-2-A,320,U1333,A,2,2-2,H,2,A,75,150,11.75,12.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/4,,,,,,,15
320-U1333A-2H-2-A,320,U1333,A,2,2-2,H,2,A,75,150,11.75,12.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/2,,,,,,,16
320-U1333A-2H-3-A,320,U1333,A,2,2-3,H,3,A,0,150,12.5,14,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/4,,,,,,,17
320-U1333A-2H-3-A,320,U1333,A,2,2-3,H,3,A,0,150,12.5,14,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/2,,,,,,,18
320-U1333A-2H-4-A,320,U1333,A,2,2-4,H,4,A,0,150,14,15.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/4,,,,,,,19
320-U1333A-2H-4-A,320,U1333,A,2,2-4,H,4,A,0,150,14,15.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/2,,,,,,,20
320-U1333A-2H-5-A,320,U1333,A,2,2-5,H,5,A,0,150,15.5,17,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/4,,,,,,,21
320-U1333A-2H-5-A,320,U1333,A,2,2-5,H,5,A,0,150,15.5,17,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/2,,,,,,,22
320-U1333A-2H-6-A,320,U1333,A,2,2-6,H,6,A,0,150,17,18.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/4,,,,,,,23
320-U1333A-2H-6-A,320,U1333,A,2,2-6,H,6,A,0,150,17,18.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/2,,,,,,,24
320-U1333A-2H-7-A,320,U1333,A,2,2-7,H,7,A,0,86,18.5,19.36,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/4,,,,,,,25
320-U1333A-2H-7-A,320,U1333,A,2,2-7,H,7,A,0,86,18.5,19.36,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/2,,,,,,,26
320-U1333A-2H-CC-A,320,U1333,A,2,2-CC,H,CC,A,0,22,19.36,19.58,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 5/4,,,,,,,27
320-U1333A-2H-CC-A,320,U1333,A,2,2-CC,H,CC,A,0,22,19.36,19.58,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/2,,,,,,,28
320-U1333A-3H-1-A,320,U1333,A,3,3-1,H,1,A,0,150,19,20.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 5/4,,,,,,,29
320-U1333A-3H-1-A,320,U1333,A,3,3-1,H,1,A,0,150,19,20.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 7/4,,,,,,,30
320-U1333A-3H-2-A,320,U1333,A,3,3-2,H,2,A,0,150,20.5,22,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 5/4,,,,,,,31
320-U1333A-3H-2-A,320,U1333,A,3,3-2,H,2,A,0,150,20.5,22,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 7/4,,,,,,,32
