Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
341-U1421A-1H-1-A,0,150,0,1.5,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,1,H,1,A,,,,0
341-U1421A-1H-2-A,0,145,1.5,2.95,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,1,H,2,A,,,,1
341-U1421A-1H-2-A,145,150,2.95,3,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,1,H,2,A,,,,2
341-U1421A-1H-3-A,0,25,3,3.25,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,1,H,3,A,,,,3
341-U1421A-1H-3-A,25,150,3.25,4.5,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"below 112 cm, slight black mottling, FeO",,,,,,341,U1421,A,1,H,3,A,,,,4
341-U1421A-1H-4-A,0,21,4.5,4.71,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,1,H,4,A,,,,5
341-U1421A-1H-4-A,21,72,4.71,5.22,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,63-72: black mottling,,biotubated,,,,341,U1421,A,1,H,4,A,,,,6
341-U1421A-1H-4-A,72,87,5.22,5.37,diatom rich,mud [Leg210],with foraminifers [Leg339],diatom rich mud  with foraminifers ,,,,10Y 4/2 (grayish green),slight [DB86],1,,,,,,,,,,,,black mottling,,,,,,341,U1421,A,1,H,4,A,,,,7
341-U1421A-1H-4-A,87,145,5.37,5.95,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,black mottling (thin flecks 110-145cm),,,,,,341,U1421,A,1,H,4,A,,,,8
341-U1421A-1H-4-A,145,150,5.95,6,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,1,H,4,A,,,,9
341-U1421A-1H-5-A,0,7,6,6.07,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1421,A,1,H,5,A,,,,10
341-U1421A-1H-5-A,7,22,6.07,6.22,diatom bearing,mud [Leg210],,diatom bearing mud ,,,parallel lamination,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"parallel lamination by color (yellowish brown, 5Y 5/3?) <1mm thick; with 2mm thick mud",,,,,,341,U1421,A,1,H,5,A,,,,11
341-U1421A-1H-5-A,22,65,6.22,6.65,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],2,,,,,,,,,,,,,,,,341,U1421,A,1,H,5,A,,,,12
341-U1421A-1H-CC-A,0,12,6.65,6.77,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,black mottling,,,,,,341,U1421,A,1,H,CC,A,,,,13
341-U1421A-1H-CC-A,12,17,6.77,6.82,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,1,H,CC,A,,,,14
341-U1421A-2H-1-A,0,150,6.8,8.3,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],1,,,pebble [W22_2],subangular,,,,,,siltstone pebble 1 cm at 141 cm; pods of coarse sand at 102 and 128,,,,,,341,U1421,A,2,H,1,A,,,,15
341-U1421A-2H-2-A,0,145,8.3,9.75,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,shell fragment,,,"mud with diatoms, shell fragment 3 mm at 18 cm; shell (gastropod?) at 50 cm in WH; downward increase in black patches with FeO; siltst 2;
",,,,,,341,U1421,A,2,H,2,A,,,,16
341-U1421A-2H-2-A,145,150,9.75,9.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,2,H,2,A,,,,17
341-U1421A-2H-3-A,0,150,9.8,11.3,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,pebble [W22_2],subrounded,,,,,,"sandst 1, 4 cm at 6 cm, subrounded",,,,,,341,U1421,A,2,H,3,A,,,,18
341-U1421A-2H-4-A,0,145,11.3,12.75,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,pebble [W22_2],subrounded,,,,,,"clasts: siltstones (2mm to 3cm);
15-26cm: patches of silt",,,,,,341,U1421,A,2,H,4,A,,,,19
341-U1421A-2H-4-A,145,150,12.75,12.8,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,2,H,4,A,,,,20
341-U1421A-2H-5-A,0,37,12.8,13.17,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,28-31cm: sand patches,gradational contact,irregular,,,,341,U1421,A,2,H,5,A,,,,21
341-U1421A-2H-5-A,37,150,13.17,14.3,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,shell fragment,,,"clasts: siltstones (up to ~1cm);
shell fragment @ 141cm (drug up from 150cm)",,,,,,341,U1421,A,2,H,5,A,,,,22
341-U1421A-2H-6-A,0,135,14.3,15.65,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subrounded,,,,,,"clasts: siltstone (up to ~3.5cm), sandstone",,,,,,341,U1421,A,2,H,6,A,,,,23
341-U1421A-2H-6-A,135,140,15.65,15.7,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1421,A,2,H,6,A,,,,24
341-U1421A-2H-7-A,0,68,15.7,16.38,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,N 3 (very dark gray),,,present [A79],,,,pebble [W22_2],subrounded,pebble [W22_2],subangular,,,,"clasts: sandstone, argillite(fragment)",,,,,,341,U1421,A,2,H,7,A,,,,25
341-U1421A-2H-CC-A,0,12,16.38,16.5,silty,mud [Leg210],with common clasts,silty mud  with common clasts,,,,N 3 (very dark gray),,,present [A79],,,,,,,,,,,,,,,,,341,U1421,A,2,H,CC,A,,,,26
341-U1421A-2H-CC-A,12,17,16.5,16.55,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1421,A,2,H,CC,A,,,,27
341-U1421A-3H-1-A,0,150,16.3,17.8,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),,,present [A79],,,,pebble [W22_2],angular,,,,,,"mudstone breccia 1, siltst 1; mudstone breccia 5 cm at 7 cm, siltstone 4 cm at 101 cm;",,,,,,341,U1421,A,3,H,1,A,,,,28
