Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria manivitae	Biscutum erismatum	Watznaueria barnesae	Polycostella beckmanni	Cyclagelosphaera margerelii	Cretarhabdus sp.	Biscutum constans	Zygodiscus erectus	Watznaueria communis	Vagalapilla stradneri	Umbria granulosa	Parhabdolithus sp.	Paleopontosphaera sp.	Nannoconus sp.	Hexalithus noelae	Lithastrinus floralis	Zygodiscus elegans	Zygodiscus diplogrammus	Rucinolithus terebrodentarius	Cruciellipsis chiastia	Cretarhabdus surirellus	Assipetra infracretacea	Zygodiscus spiralis	Watznaueria supracretacea	Tranolithus spp.	Tranolithus gabalus	Rucinolithus irregularis	Prediscosphaera sp.	Parhabdolithus embergeri	Parhabdolithus asper	Parhabdolithus angustus	Parhabdolithus achylostaurion	Nannoconus spp.	Manivitella pemmatoidea	Lithraphidites carniolensis	Flabellites oblongus	Eiffellithus turriseiffelii	Eiffellithus (small taxa)	Discorhabdus rotatorius	Cribrosphaerella ehrenbergii	Cretarhabdus striatus	Cretarhabdus spp.	Chiastozygus litterarius	Parhabdolithus swinnertonii	Parhabdolithus pseudoangustus	Cretarhabdus angustiforatus	Prediscosphaera columnata	Zygodiscus (small taxa)	Vekshinella sp.	Tranolithus orionatus	Tegumentum stradneri	Stoverius achylosus	Prediscosphaera cretacea	Cretarhabdus conicus	Watznaueria britannica	Diazomatolithus lehmanii	Markalius circumradiatus	Eiffellithus sp.	Biscutum blackii	Comment



  SR	Albian           	                 	CC8               	              	129	 801	B	  1	R	 1	  30.00	    194.3000	Covington	Nannofossils                                 	RR             	P                 	                     	                  	                    	                      	                           	                	                 	                  	                    	                     	                	                  	                     	              	                 	                     	                  	                       	                             	                      	                       	                       	                   	                         	                	                   	                        	                   	                        	                    	                       	                             	               	R                      	                           	                    	                           	                         	                       	                            	                     	                 	                        	                           	                             	                           	                         	                       	               	                     	                    	                   	                        	                    	                      	                        	                        	                	                	from ODP Leg 129 SR Chapter 8 Table 3 back pocket

  SR	Albian           	                 	CC8               	              	129	 801	B	  1	R	 1	  59.00	    194.5900	Covington	Nannofossils                                 	               	                  	                     	                  	30.0%               	                      	.0%                        	                	14.0%            	12.0%             	                    	.0%                  	                	                  	                     	              	                 	.0%                  	.5%               	2.0%                   	.0%                          	.0%                   	F                      	                       	.0%                	                         	.0%             	                   	.0%                     	.5%                	.0%                     	1.0%                	.0%                    	.5%                          	.0%            	1.0%                   	1.0%                       	.0%                 	.0%                        	.5%                      	7.0%                   	.0%                         	                     	11.0%            	.0%                     	                           	                             	                           	R                        	                       	               	                     	                    	                   	                        	                    	                      	                        	                        	                	                	from ODP Leg 129 SR Chapter 9 Table 2 p 192

  SR	Albian           	                 	CC8               	              	129	 801	B	  3	R	 1	  95.00	    213.8500	Covington	Nannofossils                                 	R              	P                 	                     	                  	F                   	                      	                           	                	                 	                  	                    	                     	                	                  	                     	              	                 	                     	                  	                       	                             	                      	F                      	                       	                   	                         	                	                   	                        	                   	                        	                    	                       	                             	               	                       	                           	                    	                           	                         	                       	                            	                     	                 	                        	                           	                             	                           	                         	                       	               	                     	                    	                   	                        	                    	                      	                        	                        	                	                	from ODP Leg 129 SR Chapter 8 Table 3 back pocket

  SR	Albian           	                 	CC8               	              	129	 801	B	  5	R	 1	  54.00	    232.2400	Covington	Nannofossils                                 	               	                  	                     	                  	30.0%               	                      	.0%                        	                	15.0%            	14.0%             	                    	.0%                  	                	                  	                     	              	                 	.0%                  	1.0%              	4.0%                   	.0%                          	.0%                   	F                      	                       	.0%                	                         	.0%             	F                  	.5%                     	.0%                	.0%                     	1.0%                	.0%                    	1.0%                         	.0%            	1.0%                   	.5%                        	.5%                 	.0%                        	.0%                      	6.0%                   	.0%                         	                     	11.0%            	.0%                     	                           	                             	                           	R                        	                       	               	                     	R                   	                   	R                       	                    	                      	                        	                        	                	                	from ODP Leg 129 SR Chapter 9 Table 2 p 192
