Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus	Minylitha convallis	Discoaster quinqueramus/berggrenii	Amaurolithus spp.	Discoaster pentaradiatus	Discoaster brouweri	Ceratolithus telesmus	Ceratolithus spp.	Ceratolithus acutus	Calcidiscus leptoporus	Calcidiscus macintyrei (>11 um)	Discoaster tamalis	Discoaster surculus	Helicosphaera carteri	Coccolithus pelagicus	Pseudoemiliania lacunosa	Discoaster triradiatus	Gephyrocapsa sp. 3	Gephyrocapsa oceanica s.l.	Gephyrocapsa large	Gephyrocapsa (small)	Emiliania huxleyi	Comment
  IR	                 	                 	CN9b              	              	167	1011	B	 19	X	CC	  17.00	    175.3100	Fornaciari	Nannofossils                                 	F/C            	P/M               	C                               	                   	RR                                	C                	                        	                   	                     	                 	                   	                      	                               	                  	                   	                     	                     	                        	                      	                  	                          	                  	                    	                 	from IR. Ch 5. Table 5.

  IR	                 	                 	CN9b              	              	167	1011	B	 20	X	CC	  18.00	    184.9400	Fornaciari	Nannofossils                                 	A              	M/G               	C                               	                   	R/F                               	R                	                        	                   	                     	                 	                   	                      	                               	                  	                   	                     	                     	                        	                      	                  	                          	                  	                    	                 	from IR. Ch 5. Table 5.

  IR	                 	                 	CN9a              	              	167	1011	B	 22	X	CC	  23.00	    204.3200	Fornaciari	Nannofossils                                 	C              	P                 	R/F                             	                   	R/F                               	                 	                        	                   	                     	                 	                   	                      	                               	                  	                   	                     	                     	                        	                      	                  	                          	                  	                    	                 	questionable zonal assignment. from IR. Ch 5. Table 5.

  IR	                 	                 	CN8               	CN9a          	167	1011	B	 25	X	 1	 118.00	    224.6800	Fornaciari	Nannofossils                                 	R              	P                 	                                	+                  	                                  	                 	                        	                   	                     	                 	                   	                      	                               	                  	                   	                     	                     	                        	                      	                  	                          	                  	                    	                 	from IR. Ch 5. Table 5.

  IR	                 	                 	CN8               	CN9a          	167	1011	B	 25	X	 6	 120.00	    232.2000	Fornaciari	Nannofossils                                 	C              	P                 	C                               	R                  	                                  	                 	                        	                   	                     	                 	                   	                      	                               	                  	                   	                     	                     	                        	                      	                  	                          	                  	                    	                 	from IR. Ch 5. Table 5.

  IR	                 	                 	CN8               	CN9a          	167	1011	B	 25	X	CC	  32.00	    233.3700	Fornaciari	Nannofossils                                 	C              	P                 	C                               	F                  	                                  	                 	                        	                   	                     	                 	                   	                      	                               	                  	                   	                     	                     	                        	                      	                  	                          	                  	                    	                 	from IR. Ch 5. Table 5.

  IR	                 	                 	CN8               	CN9a          	167	1011	B	 26	X	CC	  38.00	    243.0300	Fornaciari	Nannofossils                                 	R/F            	P                 	                                	F/C                	                                  	                 	                        	                   	                     	                 	                   	                      	                               	                  	                   	                     	                     	                        	                      	                  	                          	                  	                    	                 	from IR. Ch 5. Table 5.

  IR	                 	                 	                  	              	167	1011	B	 29	X	 1	  40.00	    262.5000	Fornaciari	Nannofossils                                 	R              	P                 	+                               	                   	                                  	                 	                        	                   	                     	                 	                   	                      	                               	                  	                   	                     	                     	                        	                      	                  	                          	                  	                    	                 	from IR. Ch 5. Table 5.

