Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus carinatus	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus delphix	Sphenolithus capricornutus	Reticulofenestra minutula	Reticulofenestra bisecta	Helicosphaera spp.	Discoaster spp.	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Discoaster variabilis	Helicosphaera granulata	Cyclicargolithus abisectus	Coronocyclus nitescens	Calcidiscus premacintyrei	Sphenolithus conicus	Calcidiscus leptoporus	Discoaster adamanteus	Helicosphaera carteri	Sphenolithus belemnos	Discoaster druggii	Reticulofenestra pseudoumbilicus	Sphenolithus heteromorphus	Reticulofenestra minuta	Helicosphaera ampliaperta	Cyclolithus annulus	Calcidiscus macintyrei	Discoaster signus	Syracosphaera spp.	Rhabdosphaera clavigera	Discoaster intercalaris	Triquetrorhabdulus extensus	Pontosphaera spp.	Helicosphaera euphratis	Scapholithus spp.	Discoaster exilis	Discoaster musicus	Coccolithus streckerii	Tetralithoides symeonidesii	Discolithina multipora	Dictyococcites spp.	Sphenolithus abies	Discoaster petaliformis	Discoaster moorei	Discoaster pseudovariabilis	Discoaster prepentaradiatus	Triquetrorhabdulus rugosus	Umbilicosphaera sibogae	Oolithotus antillarum	Discoaster kugleri	Discoaster pentaradiatus	Discoaster brouweri	Discoaster bollii	Discoaster bellus	Catinaster coalitus	Discoaster quinqueramus	Discoaster icarus	Discoaster hamatus	Catinaster calyculus	Discoaster surculus	Discoaster pansus	Discoaster neohamatus	Discoaster decorus	Discoaster loeblichii	Minylitha convallis	Sphenolithus neoabies	Discoaster neorectus	Discoaster calcaris	Discoaster berggrenii	Scapholithus fossilis	Discoaster challengeri	Gephyrocapsa spp. (small)	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus spp.	Amaurolithus amplificus	Helicosphaera wallichii	Discoaster triradiatus	Pyrocyclus spp.	Discoaster quadramus	Helicosphaera neogranulata	Ceratolithus acutus	Ceratolithus rugosus	Ceratolithus cristatus	Amaurolithus tricorniculatus	Discoaster asymmetricus	Discolithina japonica	Helicosphaera sellii	Discoaster tamalis	Pseudoemiliania lacunosa	Syracosphaera pulchra	Helicosphaera hyalina	Rhabdosphaera longistylis	Reticulofenestra minutula (circ. form)	Reticulofenestra ampla	Rhabdosphaera stylifera	Coccolithus crassipons	Comment



  SR	                 	                 	CN12d             	              	165	 998	A	  5	H	 1	  19.00	     37.4900	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	11                       	                        	                  	               	                     	                           	                     	                        	                     	                       	                          	                      	                         	                    	5                     	                     	5                    	                     	                  	                                	                          	122                    	                         	                   	4                     	                 	8                 	20                     	                       	                           	3                	                       	+                	                 	                  	                      	+                          	                      	11                 	                  	                       	                 	                           	                           	                          	26                     	8                    	                  	                        	+                  	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	1                    	                      	31                       	                   	                      	                 	                       	+                      	1                     	1              	                    	                          	                   	                    	+                     	                            	                       	                     	+                   	                  	39                      	1                    	1                    	+                        	                                      	                      	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12d             	              	165	 998	A	  5	H	 2	  70.00	     39.5000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	25                       	                        	                  	               	                     	                           	1                    	                        	                     	                       	                          	                      	                         	                    	3                     	                     	14                   	                     	                  	                                	                          	102                    	                         	                   	2                     	                 	11                	25                     	                       	                           	1                	                       	+                	                 	                  	                      	3                          	+                     	19                 	                  	                       	                 	                           	                           	                          	18                     	8                    	                  	+                       	7                  	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	2                    	                      	26                       	                   	                      	                 	                       	1                      	+                     	1              	                    	                          	                   	+                   	+                     	                            	                       	1                    	                    	                  	12                      	8                    	1                    	3                        	                                      	                      	1                      	                      	Total count = 300 specimens including 5 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12d             	              	165	 998	A	  5	H	 3	  19.00	     40.4900	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	36                       	                        	1                 	               	                     	                           	+                    	                        	                     	                       	                          	                      	                         	                    	11                    	                     	12                   	                     	                  	                                	                          	64                     	                         	                   	1                     	                 	7                 	20                     	                       	                           	+                	                       	+                	                 	                  	                      	+                          	                      	29                 	+                 	                       	                 	                           	                           	                          	33                     	11                   	                  	                        	4                  	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	1                    	                      	22                       	                   	                      	                 	                       	+                      	1                     	2              	                    	                          	                   	+                   	+                     	                            	                       	+                    	                    	                  	31                      	7                    	1                    	1                        	                                      	                      	                       	                      	Total count = 300 specimens including 5 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12d             	              	165	 998	A	  5	H	 4	  20.00	     42.0000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	21                       	                        	1                 	               	                     	                           	                     	                        	                     	                       	                          	                      	                         	                    	5                     	                     	8                    	                     	                  	                                	                          	30                     	                         	3                  	1                     	                 	5                 	41                     	                       	                           	+                	                       	1                	                 	                  	                      	+                          	                      	12                 	+                 	                       	                 	                           	                           	                          	57                     	8                    	                  	                        	3                  	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	4                    	                      	24                       	                   	                      	                 	                       	2                      	1                     	4              	                    	                          	                   	+                   	+                     	                            	                       	                     	+                   	                  	41                      	22                   	1                    	1                        	                                      	                      	                       	1                     	Total count = 300 specimens including 3 miscellaneous specimens. From 165SR. Chapter 1. Appendix B
