Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cyrtocapsella japonica	Stylatractus sp.	Stichocorys wolffii	Carpocanistrum (unspecified taxon or taxa)	Stichocorys delmontensis	Didymocyrtis laticonus	Lithelius nautiloides	Cornutella profunda	Stylochlamidium asteriscus	Eucyrtidium hexagonatum	Stichocorys peregrina	Druppatractus acquilonius	Dictyocoryne profunda	Spongaster tetras	Spongaster pentas	Lamprocyclas maritalis maritalis	Hymeniastrum euclidis	Heliodiscus asteriscus	Eucyrtidium acuminatum	Didymocyrtis tetrathalamus	Amphirhopalum ypsilon	Tetrapyle octacantha	Pterocanium praetextum	Phormostichoartus doliolum	Dictyophimus hirundo group.	Carpocanopsis (unspecified taxon or taxa)	Botryostrobus auritus/australis	Anthocyrtidium zanguebaricum	Didymocyrtis avita	Spongocore puella	Pterocanium prismatium	Comment



  SR	Late Pliocene    	                 	S. pentas         	              	126	 792	E	  1	R	 1	   2.00	    135.6200	Aitchison	Radiolarians                                 	C              	G                 	                      	                	                   	R                                         	                        	                      	                     	R                  	R                         	R                      	                     	R                        	                     	R                	R                	R                               	R                    	R                     	                      	R                         	R                    	                    	                      	                          	                           	                                         	                               	R                           	                  	R                	R                     	from ODP Leg 126 Table 11 p 329

  SR	Late Pliocene    	                 	S. pentas         	              	126	 792	E	  2	R	 1	   5.00	    145.2500	Aitchison	Radiolarians                                 	R              	P                 	                      	                	                   	                                          	                        	                      	                     	                   	                          	                       	                     	                         	                     	R                	R                	                                	                     	                      	                      	                          	R                    	                    	                      	                          	                           	                                         	                               	                            	R                 	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Late Pliocene    	                 	S. pentas         	              	126	 792	E	  2	R	CC	   0.00	    145.6300	Aitchison	Radiolarians                                 	C              	G                 	                      	R               	                   	R                                         	                        	                      	                     	                   	                          	                       	                     	                         	                     	F                	R                	                                	                     	                      	                      	                          	R                    	R                   	                      	R                         	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Late Pliocene    	                 	S. pentas         	              	126	 792	E	  3	R	 1	   8.00	    154.8800	Aitchison	Radiolarians                                 	C              	G                 	                      	R               	                   	R                                         	                        	                      	                     	R                  	R                         	R                      	R                    	R                        	                     	R                	                 	R                               	R                    	R                     	R                     	R                         	F                    	R                   	R                     	R                         	R                          	R                                        	F                              	R                           	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Late Pliocene    	                 	S. pentas         	              	126	 792	E	  3	R	CC	  11.00	    157.5900	Aitchison	Radiolarians                                 	C              	G                 	                      	                	                   	                                          	                        	                      	                     	                   	                          	                       	                     	R                        	                     	                 	R                	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

