Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rhizophora taxa	Poaceae taxa	Pinus taxa	Gpysophila taxa	Ephedra taxa	Cyperaceae taxa	Chenopodiaceae/Amaranthaceae taxa	Capparidaceae taxa	Calligonum taxa	Balanites taxa	Asteraceae taxa	Artemisia taxa	Comment



  SR	                 	                 	                  	              	108	 658	A	  1	H	 1	  12.00	      0.1200	Dupont   	Pollen/Spores                                	               	                  	13             	218         	13        	22             	13          	93             	570                              	4                 	0              	9             	76             	18            	pollen concentration values are given in number per cm3; total polen counted = 298 per 9 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	A	  1	H	 1	  85.00	      0.8500	Dupont   	Pollen/Spores                                	               	                  	4              	82          	15        	0              	16          	117            	82                               	0                 	0              	0             	22             	9             	pollen concentration values are given in number per cm3; total polen counted = 276 per 18 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	A	  1	H	 2	  12.00	      1.6200	Dupont   	Pollen/Spores                                	               	                  	5              	151         	13        	5              	40          	136            	231                              	0                 	0              	0             	18             	15            	pollen concentration values are given in number per cm3; total polen counted = 283 per 17 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	A	  1	H	 2	  91.00	      2.4100	Dupont   	Pollen/Spores                                	               	                  	0              	166         	51        	16             	142         	185            	347                              	0                 	0              	4             	71             	43            	pollen concentration values are given in number per cm3; total polen counted = 308 per 16 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	A	  1	H	 3	  91.00	      3.9100	Dupont   	Pollen/Spores                                	               	                  	0              	79          	31        	17             	156         	113            	196                              	0                 	3              	0             	43             	77            	pollen concentration values are given in number per cm3; total polen counted = 312 per 19 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	A	  1	H	 4	  12.00	      4.6200	Dupont   	Pollen/Spores                                	               	                  	1              	38          	10        	6              	22          	15             	74                               	0                 	0              	0             	8              	15            	pollen concentration values are given in number per cm3; total polen counted = 316 per 10 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	A	  3	H	 1	  12.00	     15.3200	Dupont   	Pollen/Spores                                	               	                  	3              	93          	24        	3              	90          	48             	384                              	3                 	0              	3             	78             	18            	pollen concentration values are given in number per cm3; total polen counted = 299 per 9 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

  SR	                 	                 	                  	              	108	 658	A	  3	H	 1	  93.00	     16.1300	Dupont   	Pollen/Spores                                	               	                  	0              	139         	10        	0              	30          	457            	621                              	0                 	10             	0             	40             	238           	pollen concentration values are given in number per cm3; total polen counted = 344 per 19 cm3; from ODP Leg 108 SR Chapter 6 Appendix B p 106-111

