Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. (juv.),Neogloboquadrina dutertrei,Neogloboquadrina cf. dutertrei sin.,Neogloboquadrina pachyderma (dextral),Globigerinita glutinata,Neogloboquadrina praehumerosa,Globigerina quinqueloba,Globigerina bulloides,Globoconella scitula,Globigerinella obesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 1, 120.00,      2.5000,Spiegler ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,R                          ,                          ,R                                  ,VR                                   ,                       ,                             ,VR                     ,R                    ,                    ,                    ,from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 2,  54.00,      3.3400,Spiegler ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,A                          ,                          ,R                                  ,VR                                   ,                       ,VR                           ,                       ,VR                   ,                    ,                    ,from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 2, 116.00,      3.9600,Spiegler ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,A                          ,R                         ,C                                  ,VR                                   ,                       ,R                            ,VR                     ,                     ,                    ,VR                  ,from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 3,  54.00,      4.8400,Spiegler ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,                           ,VR                        ,R                                  ,                                     ,                       ,VR                           ,VR                     ,                     ,                    ,VR                  ,Cretaceous ice-rafted fossils; from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 3, 116.00,      5.4600,Spiegler ,Planktonic Foraminifers                      ,VR             ,MP                ,VR                                     ,                           ,                          ,                                   ,                                     ,                       ,                             ,                       ,                     ,                    ,                    ,Cretaceous ice-rafted fossils; from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 4,  54.00,      6.3400,Spiegler ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,C                          ,R                         ,C                                  ,                                     ,VR                     ,R                            ,R                      ,C                    ,                    ,C                   ,from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
