Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus universus	Pterocanium korotnevi	Pseudocubus warreni	Lamprocyrtis heteroporos	Lamprocyrtis daniellae	Eucyrtidium acuminatum	Dictyophimus crisiae	Clathrocyclas bicornis	Botryostrobus praetumidulus	Actinomma popofskii	Lychnocanoma nipponica sakaii	Gondwanaria dogieli	Rhizosphaera antarctica	Cycladophora davisiana davisiana	Sphaeropyle langii	Phormostichoartus multiseriatus	Phormostichoartus crustula	Lipmanella virchowii	Stylodictya validispina	Spongotrochus glacialis	Pterocanium auritum	Lamprocyclas junonis	Eucyrtidium calvertense	Eucyrtidium teuscheri group	Ceratospyris hyperborea	Stylacontarium acquilonium	Lamprocyrtis neoheteroporos	Lamprocyclas hannai	Botryostrobus tumidulus	Eucyrtidium matuyamai	Botryostrobus aquilonaris	Cycladophora bicincta	Pterocorys clausus	Cycladophora craspedota	Amphimelissa setosa	Actinomma delicatulum	Siphostichartus scalaris	Lamprocyrtis nigriniae	Acrosphaera murrayana	Comment



  IR	                 	                 	B. aquilonaris    	              	167	1020	B	  1	H	CC	  28.00	      7.7800	Caulet   	Radiolarians                                 	A              	G                 	                      	C                    	                   	                        	                      	R                     	F                   	                      	                           	A                  	C                            	R                  	R                      	A                               	F                 	                               	                          	T                   	                       	C                      	                   	R                   	                       	T                          	A                      	                          	                           	                   	R                      	                     	A                        	A                    	A                 	A                      	R                  	F                    	R                       	F                     	R                    	from IR. Ch 14. Table 7.

  IR	                 	                 	B. aquilonaris    	              	167	1020	B	  2	H	CC	  11.00	     16.6100	Caulet   	Radiolarians                                 	C              	G                 	                      	C                    	                   	                        	                      	                      	R                   	                      	                           	C                  	F                            	T                  	F                      	A                               	C                 	                               	                          	                    	                       	C                      	                   	                    	                       	                           	A                      	                          	                           	                   	                       	                     	C                        	A                    	A                 	                       	                   	C                    	                        	T                     	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	B. aquilonaris    	              	167	1020	B	  3	H	CC	  39.00	     27.2600	Caulet   	Radiolarians                                 	C              	G                 	                      	C                    	                   	                        	                      	                      	R                   	                      	                           	A                  	T                            	T                  	R                      	A                               	                  	                               	                          	                    	R                      	F                      	R                  	R                   	R                      	T                          	A                      	R                         	                           	                   	                       	                     	A                        	A                    	F                 	R                      	T                  	F                    	T                       	T                     	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	B. aquilonaris    	              	167	1020	B	  4	H	CC	  35.00	     36.8300	Caulet   	Radiolarians                                 	F              	M                 	                      	R                    	                   	                        	                      	                      	R                   	                      	                           	A                  	                             	                   	                       	A                               	                  	                               	                          	                    	R                      	F                      	                   	                    	                       	                           	A                      	F                         	                           	                   	                       	                     	                         	C                    	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

