Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira convexa	Rhizosolenia barboi	Denticulopsis lauta s.l.	Coscinodiscus marginatus	Thalassiothrix longissima	Stephanopyxis turris	Neodenticula seminae	Neodenticula koizumii	Neodenticula kamtschatica	Actinocyclus oculatus	Thalassiothrix spp.	Actinocyclus curvatulus	Thalassionema nitzschioides	Hemidiscus cuneiformis	Thalassiosira oestrupii	Thalassiosira antiqua	Nitzschia reinholdii	Neodenticula seminae (sensu Akiba)	Pseudoeunotia doliolus	Coscinodiscus radiatus	Simonseniella (R.) cf. S. curvirostris	Neodenticula cf. N. koizumii	Nitzschia marina	Simonseniella curvirostris	Actinocyclus cf. oculatus	Diatom fragments	Grammatophora sp.	Diatom fragments (girdle bands)	Biddulphia aurita	Thalassiosira spp. (native type)	Aulacosira granulata	Actinoptychus senarius	Thalassiosira eccentrica	Cocconeis costata	Thalassiosira sp.	Gomphonema sp.	Rhaphoneis sp.	Stephanopyxis sp.	Synedra sp.	Paralia sulcata	Cocconeis sp.	Comment
  IR	Quaternary       	                 	NPD 12            	              	167	1020	B	  5	H	CC	  30.00	     46.4000	Maruyama 	Diatoms                                      	F              	P/M               	                     	                   	                        	                        	                         	F                   	F                   	                     	                         	                     	                   	                       	R                          	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	F                         	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	R             	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Quaternary       	                 	NPD 11            	              	167	1020	B	  6	H	CC	  33.00	     55.9300	Maruyama 	Diatoms                                      	T              	P                 	                     	                   	T                       	                        	T                        	R                   	R                   	                     	                         	                     	                   	                       	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	T                         	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Quaternary       	                 	NPD 11            	              	167	1020	B	  7	H	CC	  36.00	     65.4300	Maruyama 	Diatoms                                      	C              	P/M               	                     	R                  	                        	                        	                         	C                   	T                   	                     	                         	                     	                   	                       	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	T                         	                         	                	R                	                               	                 	                                	                    	                      	F                       	                 	T                	T             	              	                 	           	               	             	rare resting spores. from IR. Ch 14. Table 5.

  IR	Quaternary       	                 	NPD 11            	              	167	1020	B	  8	H	CC	  33.00	     74.8700	Maruyama 	Diatoms                                      	F              	P/M               	                     	                   	                        	                        	                         	C                   	R                   	                     	                         	                     	                   	                       	                           	                      	                       	                     	                    	                                  	                      	R                     	                                      	                            	                	                          	                         	                	                 	                               	                 	R                               	R                   	R                     	R                       	R                	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Quaternary       	                 	NPD 11            	              	167	1020	B	  9	H	CC	  30.00	     84.3600	Maruyama 	Diatoms                                      	F              	P                 	                     	                   	                        	R                       	                         	C                   	R                   	                     	                         	                     	                   	                       	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	                          	                         	                	                 	                               	                 	R                               	R                   	F                     	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Quaternary       	                 	NPD 11            	              	167	1020	B	 10	H	CC	  23.00	     93.7100	Maruyama 	Diatoms                                      	C              	P/M               	                     	                   	                        	                        	F                        	C                   	R                   	                     	                         	                     	                   	R                      	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	R                         	                         	                	                 	                               	R                	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Quaternary       	                 	NPD 11            	              	167	1020	B	 11	H	CC	  31.00	    103.3900	Maruyama 	Diatoms                                      	F              	P                 	                     	                   	                        	                        	                         	F                   	R                   	                     	                         	                     	                   	                       	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	R                         	                         	                	R                	F                              	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

