Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Syracosphaera pulchra,Reticulofenestra minuta,Pseudoemiliania  lacunosa?,Gephyrocapsa spp. (small),Coccolithus pelagicus,Gephyrocapsa oceanica,Pontosphaera spp.,Gephyrocapsa muellerae,Gephyrocapsa caribbeanica,Reticulofenestra minutula,Braarudosphaera bigelowii,Reticulofenestra productella,Syracosphaera spp.(small),Reticulofenestra pseudoumbilica,Calcidiscus leptoporus,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1024,B,  1,H, 1, 120.00,      1.2000,Su       ,Nannofossils                                 ,F              ,G                 ,                     ,                       ,                          ,1.0%                     ,9.0%                 ,                     ,2.0%             ,11.3%                 ,                         ,                         ,                         ,                            ,                         ,                               ,                      ,76.0%            ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1024,B,  1,H, 3, 108.00,      4.0800,Su       ,Nannofossils                                 ,R              ,M-G               ,                     ,                       ,                          ,5.0%                     ,33.0%                ,                     ,2.0%             ,24.5%                 ,                         ,                         ,                         ,                            ,                         ,                               ,                      ,35.0%            ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1024,B,  1,H, 5,  88.00,      6.8800,Su       ,Nannofossils                                 ,R              ,M-G               ,                     ,                       ,                          ,4.0%                     ,17.0%                ,                     ,                 ,49.0%                 ,                         ,                         ,                         ,                            ,                         ,                               ,                      ,30.0%            ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1024,B,  2,H, 1,  30.00,      7.9000,Su       ,Nannofossils                                 ,P              ,G                 ,                     ,                       ,                          ,                         ,D                    ,                     ,                 ,A                     ,                         ,                         ,                         ,                            ,                         ,                               ,                      ,C                ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1024,B,  2,H, 3, 100.00,     11.6000,Su       ,Nannofossils                                 ,P              ,G                 ,                     ,                       ,                          ,                         ,25.0%                ,                     ,                 ,37.5%                 ,                         ,                         ,                         ,                            ,                         ,                               ,                      ,38.0%            ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
