Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia peripheroronda,Globorotalia miotumida,Globorotalia mayeri,Globorotalia conica,Globigerinita glutinata,Globigerina quinqueloba,Globigerina praebulloides,Globigerina decoraperta,Globigerina bulloides,Globigerina apertura,Orbulina universa,Zeaglobigerina woodi,Globorotalia panda,Globigerinoides sacculifer,Neogloboquadrina continuosa,Globoquadrina dehiscens,Globorotalia scitula,Globorotalia crassaformis,Neogloboquadrina humerosa,Globorotalia menardii,Globorotalia inflata,Neogloboquadrina pachyderma (sinistral),Globorotalia truncatulinoides,Globigerinoides ruber,Globigerinella aequilateralis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,177,1088,C,  1,H,CC,  12.00,      5.7600,Andersson,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                      ,                   ,                   ,R                      ,                       ,                         ,                       ,D                    ,                    ,F                ,                    ,                  ,                          ,                           ,                       ,                    ,                         ,R                        ,                     ,A                   ,A                                      ,A                            ,R                    ,R                            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1088,C,  2,H,CC,  19.00,    132.3300,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,A                     ,F                  ,                   ,A                      ,A                      ,A                        ,                       ,D                    ,                    ,                 ,                    ,F                 ,                          ,                           ,A                      ,F                   ,                         ,A                        ,R                    ,F                   ,                                       ,                             ,                     ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,177,1088,C,  3,H,CC,  10.00,    143.3500,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,F                     ,                   ,                   ,R                      ,A                      ,A                        ,                       ,D                    ,R                   ,R                ,                    ,F                 ,R                         ,                           ,                       ,A                   ,                         ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1088,C,  4,H,CC,  12.00,    152.4000,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,D                     ,A                  ,                   ,A                      ,A                      ,                         ,                       ,A                    ,                    ,R                ,                    ,F                 ,                          ,                           ,R                      ,                    ,                         ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,not finished
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
