leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
65,482,D,10,3,65.0,150.50,154.15,  154.22,"FLOWER, M.",GLASSY BASALT,PCE 8 (65-72),GLASSY COOLING MARGIN IN DISSEMINATED SULFIDE,,FRESH,,,,,,,
65,482,D,10,3,73.0,150.50,154.23,  155.00,"FLOWER, M.",APHYRIC TO PLAG-CPX SPARSELY PHYRIC BASALT,"PCES 9 (73-80), 10 (81-86), 11 (87-93), 12 (94-96), 13 (98-105), 14 (106-115), 15 (111-120), 16 (123-127), 17 (130-134), 18 (135-139), 19 (145-148)","PCES 9-12 GLOMEROPHYRICCLOTS OF PLAG-AUGITE, APHYRIC TO SPARSELY PHYRIC, FINE GRAINED BUT INCREASINGLY COARSER, PCE 17 GLASSY RIND",,FRESH,,,PLAG | OL,,,,
65,482,D,11,1,0.0,159.50,159.50,  161.00,"KUDO, A.",APHYRIC BASALTMASSIVE,"PCES 1 (0-7), 2 (10-13), 3 (25-32), 4A (35-45), 4B (38-45), 5 (46-57), 6 (60-68), 7 (71-75), 8A (77-80), 8B (81-84), 9 (86-92), 10 (94-105), 11A (108-111), 11B (111-120), 12 (121-123), 13A (25-135), 13B (134-140), 14 (140-150)","APHYRIC, SEVERAL GLASSY MARGINS AND QUENCH ZONES(SEE PCE 3 1CM THICK AND 7 NICE QUENCH PILLOW??), PCE 1 IS COARSEST-GRAINED","VEINS OF CALCITE AND SMECTITE AND SULFIDE COMMON, MASSIVE",FRESH,"GREY, MAY HAVE TWO UNITS IN THIS SECTION",, comments : MOTTLED WITH GLOMEROCRYSTIC CLOTS OF PLAG AND PYX,,CALCITE | SMECTITE | SULFIDE,,
65,482,D,11,2,0.0,159.50,161.00,  162.50,"MORRISON, M. ANN",APHYRIC BASALT,"PCES 1A (0-6), 1B (5-7), 1C (8-12), 2 (13-20), 3 (22-30), 4 (32-42), 5A (44-54), 5B (50-55), 5C (55-60), 5D (60-68), 5E (69-75), 6A (76-80), 6B (81-85), 7A (87-94), 7B (92-98), 8 (100-108), 9 (110-117), 10 (119-130), 11 (131-141), 12 (142-150)","PCES 1-3 ARE FINE-GRAINED, APHYRIC, PCES 4-12 ARE APHYRIC, PCE 4 HAS A GLASSY RIND AND IS FINE- GRAINED WITH INCREASING GRAIN SIZE IN PCE 5 AND REST ARE FAIRLY UNIFORM","PCES 4-12 HAVE THIN SMEC COATED VEINS & FRACTURES PCES(5D,6A,11) ALSO HAVE CALCITE ALONG VEINS",FRESH,"GREY, SIMILAR TO PREVIOUS UNITS",            0,,,SMECTITE | CALCITE,,
65,482,D,11,3,0.0,159.50,162.50,  163.78,"KUDO, A.",APHYRIC BASALT,"PCES 1 (0-10), 2 (12-16), 3A (18-23), 3B (25-310, 4 (33-55), 5 (57-63), 6 (65-71), 7 (74-84), 8 (85-90), 9 (91-97), 10 (98-105), 11 (106-128)","APHANITIC, PCES(3A-3B) HAVE THICK (0.5-0.8CM) GLASS AT CONTACT",VEINS OF CALCITE AND SMECTITE,FRESH,"SIMILAR TO 11-1, GREY, MAY HAVE TWO COOLING UNITS IN SECTION",,,,SMECTITE | CALCITE,,
65,482,D,12,1,0.0,168.50,168.50,  169.80,"SCHMINCKE, H.",APHYRIC BASALTMASSIVE,"PCES 1 (16), 2A (8-16), 2B (16-22), 3 (24-33), 4 (34-41), 5 (44-50), 6 (51-60), 7 (60-70), 8 (72-80), 9 (80-90), 10 (90-97), 11 (99-104), 12A (110-116), 12B (116-125), 13 (126-130)","FINE TO MEDIUM-GRAINED, APHYRIC, GRAIN SIZE DECREASES IN PCE 12B AND 13","FRACTURES MOSTLY SUBHORIZONTAL SOME INCLINED IN PCES 4 & 10 WIH RARE VEINS AND FILLINGS OF SMECTITE AND CARB & ZEOL(?) & MINOR SILVERY SULFIDE, MASSIVE",FRESH,GREY,"      <1   <1          SMECTITE comments : VERY SPARSELY VESICULAR, GREEN SMECTITE",PLAG       <1          1 comments : VERY RARE MICROPHENOS,,SMECTITE | CARB | ZEOLITE comments :  ID ZEOLITE UNCERTAIN | SULFIDE,,
65,482,D,12,1,130.0,168.50,169.80,  169.95,"SCHMINCKE, H.",PLAG SPARSELY PHYRIC BASALTMASSIVE,"PCES 14A (132-138), 14B (137-145)","PHYRIC, FINE-GRAINED","MOSTLY SUBHORIZONTAL WITH SOME INCLINED FRACTURES, RARE VEINS FILLED WITH SMECTITE AND CARBONATE AND ZEOLITE(?) AND MINOR PALE SILVERY SULFIDE, MASSIVE",FRESH,"DARK, NEW COOLING UNIT AND PETROGRAPHIC TYPE",,PLAG      1       <4,,SMECTITE | CARB | ZEOLITE comments :  ID ZEOLITE UNCERTAIN | SULFIDE,,
65,482,D,12,2,0.0,168.50,170.00,  171.50,"SCHMINCKE, H.",PLAG SPARSELY PHYRIC BASALTMASSIVE,"PCES 1 (1-7), 2 (10-19), 3 (21-30), 4 (32-37), 5 (40-45), 6 (47-66), 7 (68-72), 8 (65-71), 9 (73-78), 10 (80-95), 11 (95-110), 11B (111-121), 12 (123-135), 13 (136-148)","FINE-GRAINED(PCES1-9) TO MEDIUM-GRAINED (PCES10-13), PHYRIC, PCE 8 IS GLASSY RIND OF COOLING UNIT","SOME THIN VEINS FILLED WITH SMECTITE AND CARBONATE AND SULFIDE(PCE 5 MAYBE MARCASITE?), SUBVERTICAL AND MOSTLY SUBHORIZONTAL FRACTURES",FRESH,"GREY, CONTINUATION FROM BASE OF 12-1",      <1   <1          SMECTITE comments : PCE 13 IS EXAMPLE OF IRREGULAR SHAPE FILLED WITH GREEN SMECTITE,PLAG      1-2        <4,,SMECTITE | SULFIDE comments :  SULFIDE MAYBE MARCASITE | CARB,,
65,482,D,12,3,0.0,168.50,171.50,  173.00,"ZOLOTAREV, B.",PLAG SPARSELY PHYRIC BASALTMASSIVE,"PCES 1 (1-10), 2 (13-17), 3 (20-37), 4A (27-32), 4B (34-41), 5 (43-50), 6 (51-56), 7 (58-66), 8 (68-77), 9A (79-90), 9B (90-98), 10 (101-114), 11 (116-125), 12 (127-135), 13 (137-142), 14 (145-147)","PHYRIC, FINE-GRAINED, ALL SAMPLES SIMILAR TEXTURE","MASSIVE, THIN FRACTURES EXCEPT PCES 4A-4B UP TO 3-4MM FILLED WITH WHITE-GREY MATERIAL AND WALLS COVERED WITH DARK-GREY & REDDISH-GREY MATERIAL AND RARE PYRITE IN FRACTURES",MODERATE,GREY,"TO 1-1.5  1-2          SMEC,CARB comments : DARK GREY AND WHITE-BLUE GREY MATERIAL MAY BE CARBONATE AND SMECTITE",PLAG        1     1.5-3 comments : UNEVENLY DISTRIBUTED,,CARB | SMECTITE | PYRITE,,
65,482,D,12,4,0.0,168.50,173.00,  173.87,"ZOLOTAREV, B.",PLAG SPARSELY PHYRIC BASALT,"PCES 1 (1-9), 2 (12-17), 3A (19-26), 3B (26-36), 4A (48-51), 4B (50-57), 5 (60-66), 6 (58-73), 7 (75-78), 8 (80-87)","FINE-GRAINED, PHYRIC",MOD TO STRONGLY FRACTURED FILLED WITH WHITE AND GREY GREENISH MATERIAL PROBABLY SMECTITE AND CARBONATE AND ZEOLITE(?),MODERATE RONG AROUND FRACTURES,"GREY, YELLOW COATING ON PCES 5-8","TO 1-1.5  1-2          SMEC,CARB comments : IRREGULAR DISTRIBUTION, FILLED WITH WHITE AND DARK GREY MATERIAL PROBABLY CARB ND SMECTITE, SULFIDE IN BANDS OF IRREULAR 1-5MM VESICLES ON TOP OF 3B",PLAG        1       TO4,,CARB | SULFIDE | SMECTITE | ZEOLITE comments :  ID ZEOLITE UNCERTAIN,,
65,482,D,13,1,0.0,177.50,177.50,  179.00,"SCHMINCKE, H.",PLAG SPARSELY PHYRIC BASALT,"PCES 1 (1-7), 2 (8-11), 3 (17-24), 4 (25-30), 5 (30-40), 6 (41-45), 7 (47-52), 8 (57-70), 9 (72-75), 10 (76-83), 11 (84-92), 12 (94-98), 13 (100-106), 14 (107-120), 15 (121-135), 16 (136-150)","FINE TO PARTLY MEDIUM-GRAINED, PHYRIC, FOUR MAIN COOLING UNITS PCE 1 AND 2(GLASSY MARGIN) THRU 6 AND 7 IS VERY FINE-GRAINED TOP TO COARSENING DOWNWARDS THRU 15 WITH EXCELLENT DECREASE IN GRAIN SIZE TO VERY FINE-GRAINED BASE","FRACTURES MORE IRREGULAR THAN IN MORE MASSIVE OVERLYING UNITS, FEW 1MM VEINS OF ZEOLITE(?) OR SMECTITE OR RARE CARBONATE OR SULFIDE(PCE11)",FRESH,"SAME PETROGRAPHIC TYPE AS 12-1 TO 12-4, GREY","           <1          SMECTITE comments : MORE IRREGULAR THAN IN MASSIVE BASALTS, FILLED WITH GREEN SMECTITE",PLAG       <1        <4,,CARB comments :  RARE | SMECTITE | ZEOLITE comments :  ID ZEOLITE UNCERTAIN | SULFIDE,,
65,482,D,13,2,0.0,177.50,179.00,  180.50,"ZOLOTAREV, B.",PLAG SPARSELY PHYRIC BASALT,"PCES 1 (1-5), 2 (7-15), 3 (17-26), 4 (29-35), 5 (39-42), 6 (44-50), 7 (54-66), 8 (70-78), 9 (81-87), 10 (90-105), 11 (108-117), 12 (120-128), 13 (130-149)","PHYRIC, MEDIUM-GRAINED EXCEPT PCE 13 IS VERY FINE- GRAINED TO FINE-GRAINED AND PCE 1 IS FINE-GRAINED",STRONGLY FRACTURED AND FILLED WITH CARBONATE AND AND SMECTITE AND PYRITE (RARE),MOD TO STRONG,PCE 13 IS GREY AND FINER-GRAINED-NEW COOLING UNIT,      TO1  <1          SMECTITE comments : RARE AND FILLED WITH GREY MATERIAL(SMECTITE),PLAG      1-2      TO 4,,CARB | PYRITE | SMECTITE,,
65,482,D,13,3,0.0,177.50,180.50,  180.87,"ZOLOTAREV, B.",PLAG SPARSELY PHYRIC BASALT,"PCES 1 (1-10), 2 (12-21), 3 (25-36)","FINE-GRAINED, PHYRIC",FRACTURES THIN AND FILLED WITH SMECTITE,MODERATE,GREY,                       SMECTITE comments : VESICLES VERY RARE AND SMALL AND FILLED WITH SMEC,PLAG        1       1-4,,SMECTITE,,
