Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sin.),Globigerina bulloides,Turborotalita quinqueloba,Globorotalia scitula,Globigerinita glutinata,Globorotalia theyeri,Neogloboquadrina pachyderma (dex.),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globigerinita uvula,Globigerinita minuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,CD1               ,              ,139, 858,A,  1,H, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,+                                 ,+                    ,+                        ,                    ,                       ,                    ,+                                 ,18                                     ,12                                   ,                   ,                    ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 858,A,  1,H, 1,  48.00,      0.4800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                                  ,                     ,                         ,                    ,                       ,                    ,                                  ,26                                     ,4                                    ,                   ,                    ,from Leg 139 SR; Chapter 4; Table 5; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 858,A,  1,H,CC,  15.00,      2.3100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,+                                 ,+                    ,+                        ,                    ,+                      ,                    ,                                  ,31                                     ,0                                    ,+                  ,+                   ,from Leg 139 SR; Chapter 4; Table 5; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 858,A,  2,H,CC,  29.00,     12.2800,Brunner  ,Planktonic Foraminifers                      ,F              ,P                 ,+                                 ,+                    ,                         ,                    ,                       ,                    ,                                  ,                                       ,                                     ,                   ,                    ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 8;Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 858,A,  3,H,CC,  25.00,     21.5700,Brunner  ,Planktonic Foraminifers                      ,A              ,P                 ,A                                 ,A                    ,F                        ,R                   ,F                      ,                    ,R                                 ,                                       ,                                     ,                   ,                    ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 858,A,  4,H,CC,  43.00,     31.3400,Brunner  ,Planktonic Foraminifers                      ,A              ,P                 ,+                                 ,+                    ,+                        ,+                   ,                       ,+                   ,                                  ,                                       ,                                     ,                   ,                    ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
