Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 934,A,  1,H, 1,   0.00,      0.0000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,R                           ,-                ,C                         ,R                   ,-                           ,R                  ,-                            ,-                     ,C                    ,-                   ,R                     ,F                     ,-                              ,-                              ,C                                ,C                                  ,F                            ,R                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 934,A,  1,H,CC,   5.00,      4.1900,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,R                           ,R                ,C                         ,R                   ,R                           ,R                  ,F                            ,-                     ,R                    ,-                   ,-                     ,R                     ,-                              ,-                              ,C                                ,F                                  ,F                            ,R                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 934,A,  2,H,CC,  25.00,     14.3300,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,R                           ,-                ,A                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,A                                ,-                                  ,C                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 934,A,  3,H,CC,  18.00,     23.8800,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
