Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rosita patelliformis	Hedbergella infracretacea	Globotruncana arca	Hedbergella trocoidea	Hedbergella gorbachikae	Globigerinelloides ferreolensis	Radotruncana calcarata	Pseudotextularia nuttalli	Globotruncanita stuartiformis	Globotruncana linneiana	Contusotruncana patelliformis	Heterohelix globulosa	Globigerinelloides prairiehillensis	Contusotruncana fornicata	Globotruncanita stuarti	Globotruncanella havanensis	Globotruncana falsostuarti	Globotruncana dupeublei	Racemiguembelina fructicosa	Globotruncana aegyptiaca	Globigerinelloides subcarinatus	Contusotruncana contusa	Abathomphalus mayaroensis	Rugoglobigerina hexacamerata	Pseudotextularia elegans	Planoglobulina multicamerata	Hedbergella monmouthensis	Parvularugoglobigerina eugubina	Parvularugoglobigerina alabamensis	Subbotina trivialis	Subbotina triloculinoides	Praemurica taurica	Praemurica inconstans	Parasubbotina varianta	Parasubbotina pseudobulloides	Morozovella lensiformis	Globanomalina compressa	Eoglobigerina eobulloides	Eoglobigerina edita	Chiloguembelina midwayensis	Acarinina bullbrooki	Subbotina triangularis	Rectoguembelina cretacea	Morozovella aragonensis	Globigerinatheka mexicana	Subbotina inaequispira	Morozovella caucasica	Globigerintheca subcoinglobata	Truncorotaloides rohri	Guembelitrioides higginsi	Morozovella spinulosa	Morozovella lehneri	Hantkenina dumblei	Pseudohastigerina micra	Globigerinatheka index	Acarinina primitiva	Comment



  IR	                 	Middle Eocene    	                  	P12           	171	1049	C	  1	H	CC	   9.00	      2.0900	Bellier  	Planktonic Foraminifers                      	               	M                 	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	F                   	                      	                        	                       	F                        	F                     	                     	                              	F                     	                         	R                    	R                  	R                 	                       	F                     	R                  	       

  IR	                 	Middle Eocene    	                  	P12           	171	1049	C	  2	H	CC	  20.00	     21.1000	Bellier  	Planktonic Foraminifers                      	               	G                 	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	F                   	                      	                        	                       	R                        	F                     	                     	F                             	F                     	R                        	R                    	R                  	R                 	R                      	                      	                   	       

  IR	                 	Middle Eocene    	                  	P11           	171	1049	C	  3	H	CC	  22.00	     30.9100	Bellier  	Planktonic Foraminifers                      	               	G                 	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	F                   	                      	                        	P                      	                         	F                     	                     	F                             	F                     	P                        	R                    	R                  	R                 	                       	                      	                   	       

  IR	                 	Middle Eocene    	                  	P11           	171	1049	C	  4	H	CC	   5.00	     39.9800	Bellier  	Planktonic Foraminifers                      	               	G                 	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	F                   	                      	                        	R                      	R                        	F                     	                     	                              	F                     	P                        	                     	                   	                  	                       	                      	                   	       
