Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides,Thalassiothrix longissima,Rhizosolenia hebetata,Rhizosolenia bergonii,Ethmodiscus sp. (fragments),Azpeitia nodulifera,Nitzschia marina,Nitzschia interruptestriata,Hemidiscus cuneiformis,Cyclotella litoralis,Chaetoceros messanensis,Azpeitia tabularis,Asteromphalus sacrophagus forma obovatus,Asterolampra marylandica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 871,A,  1,H, 1,  41.00,      0.4100,Fenner   ,Diatoms                                      ,               ,                  ,R                          ,F                        ,                     ,F                    ,R                          ,C                  ,R               ,R                          ,F                     ,R                   ,R                      ,F                 ,R                                       ,R                       ,from Leg 144 SR; Ch 3; Table 2; p 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 871,A,  1,H, 1,  87.00,      0.8700,Fenner   ,Diatoms                                      ,               ,                  ,                           ,R                        ,R                    ,C                    ,R                          ,R                  ,                ,                           ,                      ,                    ,                       ,                  ,                                        ,                        ,from Leg 144 SR; Ch 3; Table 2; p 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 871,A,  1,H, 2,  41.00,      1.9100,Fenner   ,Diatoms                                      ,               ,                  ,R                          ,                         ,                     ,                     ,                           ,                   ,                ,                           ,                      ,                    ,                       ,                  ,                                        ,                        ,from Leg 144 SR; Ch 3; Table 2; p 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
