leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
14,139,,1,1,5.0,7.0,114.00,114.06, 1,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,508,RSPIO0010,Spirocyrtis sp.,PRESENT,  ,1,a6414e67bc6667aa035b53bb13b831f1,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RACTI0031,Actinomma hexaconthium arachinoidale (q),ABUNDANT,  ,1,3ec9ccc26495369ce75b636fc3401738,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RANTY0040,Anthocyrtidium ophirense,RARE,  ,1,2b1e2c76d57634e356dd1023998ed01c,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RANTY0050,Anthocyrtidium ovata,COMMON,  ,1,ce3abc74c0ea04a5ddd90042201dbc10,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RARCP0022,Archipilium macropus (q),PRESENT,  ,1,1f3d9af0a54c6a676af62331827d5d8c,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RAXOP0060,Axoprunum stauraxonium,ABUNDANT,  ,1,4cd4ecd3f02e0cfdf559d48fa88f48a8,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RBATH0010,Bathropyramis sp.,PRESENT,  ,1,513b8df004c84f63dc3072ad45ba7cfd,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RBOTS0020,Botryostrobus auritus,PRESENT,  ,1,c19a8d8ba96e92970f6c77ec72ff0911,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RBOTS0030,Botryostrobus australis,PRESENT,  ,1,f6d092d74eb50e2f3c85fe67e1bce329,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RBOTS0070,Botryostrobus tumidulus,COMMON,  ,1,e935dc2676c68a0c54b730e33021b338,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RCLAL0020,Clathrocyclas bicornis,PRESENT,  ,1,02995ecc630ad3601ee09a222c7c0af0,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RCORU0040,Cornutella profunda,COMMON,  ,2,880b101251586825377ec3b57a3a7c76,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RCROY0020,Cromyechinus langii,RARE,  ,2,dfff06c7c606ecc8d8202debc3b67d33,14-139-1-1
14,139,,1,1,80.0,82.0,114.00,114.81,38,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,508,RDICU0081,Dictyophimus hirundo (q),PRESENT,  ,2,2df49124ffa903008a4a0805c002348d,14-139-1-1
