Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trinacria excavata	Thalassiothrix longissima	Thalassiosira torokina	Thalassiosira symbolophora	Thalassionema nitzschioides	Rouxia heteropolara	Rhizosolenia styliformis	Rhizosolenia barboi	Paralia sulcata	Nitzschia reinholdii	Nitzschia fossilis	Hemidiscus cuneiformis	Eucampia antarctica	Ethmodiscus sp.	Denticulopsis hustedtii	Denticulopsis dimorpha	Thalassiosira praeconvexa	Thalassiosira nativa	Rhizosolenia hebetata	Hemidiscus karstenii	Thalassiosira miocenica	Nitzschia cylindrus	Thalassiosira convexa	Rouxia californica	Stephanopyxis turris	Rocella vigilans	Rhizosolenia miocenica	Thalassiosira oestrupii	Thalassiosira inura	Stephanogonia hanzawae	Nitzschia praeinterfrigidaria	Pyxilla (all generic taxa)	Nitzschia barronii	Nitzschia interfrigidaria	Nitzschia weaveri	Thalassiosira kolbei	Stephanopyxis grunowii	Cosmiodiscus insignis	Coscinodiscus vulnificus	Actinocyclus ingens	Nitzschia kerguelenis	Coscinodiscus elliptopora	Diatoms (unspecified pennate taxa)	Diatoms (unspecified centric taxa)	Chaetoceros spp. (resting spores)	Comment



  SR	                 	                 	                  	              	119	 745	B	  1	H	 2	  87.00	      2.3700	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	1296                              	757                               	7                                	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  1	H	CC	  14.00	      5.0400	Baldauf  	Diatoms                                      	C              	M                 	                  	F                        	                      	R                         	R                          	                   	R                       	                   	R              	                    	                  	                      	R                  	               	R                      	                      	                         	                    	R                    	                    	                       	                   	                     	                  	                    	                	                      	R                      	R                  	                      	                             	                          	R                 	                         	                 	                    	                      	                     	                        	                   	F                    	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	  2	H	CC	  13.00	     14.7400	Stockwell	Diatoms                                      	               	                  	                  	F                        	                      	R                         	R                          	                   	R                       	                   	R              	                    	                  	                      	R                  	               	                       	                      	                         	                    	R                    	                    	                       	                   	                     	                  	R                   	                	                      	R                      	R                  	                      	                             	                          	R                 	                         	                 	                    	                      	                     	                        	rR                 	C                    	                         	7234                              	1641                              	75                               	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  3	H	CC	  10.00	     23.9000	Baldauf  	Diatoms                                      	A              	G                 	                  	C                        	                      	R                         	R                          	                   	                        	                   	R              	                    	                  	                      	R                  	               	                       	                      	                         	                    	R                    	R                   	                       	                   	                     	                  	                    	                	                      	R                      	R                  	                      	                             	                          	F                 	                         	                 	                    	                      	                     	                        	                   	A                    	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.
