Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hormosina ovuloides,Dendrophrya excelsa,Glomospira charoides,Rhabdammina spp.,Saccammina cf. placenta,Recurvoides spp.,Paratrochamminoides spp.,Glomospira gordialis,Ammodiscus cretaceus,Hyperammina subdiscreta,Glomospira irregularis,Karrerulina conformis,Glomospira serpens,Uvigerina spp.,Bolivinid taxa,Spiroplectammina subhaeringensis,Reticulophragmium amplectens,Remesella varians,Osangularia spp.,Nuttallides truempyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,149, 897,D,  2,R, 2,  48.00,    608.7800,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,                   ,                   ,11                  ,21              ,                       ,5               ,                        ,                    ,                    ,2                      ,                      ,                     ,                  ,              ,              ,                                ,58                          ,1                ,5               ,11                  ,Remesella varians questionable identity. 22 indet. aggl. fragments. from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,149, 897,D,  2,R,CC,  14.00,    613.0500,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,                   ,                   ,                    ,                ,                       ,                ,                        ,                    ,                    ,                       ,                      ,                     ,                  ,1             ,79            ,1                               ,                            ,                 ,                ,                    ,from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,149, 897,D,  3,R, 4,  18.00,    621.2300,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,                   ,                   ,                    ,                ,                       ,                ,                        ,                    ,                    ,                       ,                      ,                     ,                  ,3             ,42            ,                                ,                            ,                 ,                ,                    ,from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,149, 897,D,  3,R,CC,  10.00,    622.9900,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,                   ,28                 ,3                   ,1               ,                       ,2               ,                        ,                    ,                    ,                       ,                      ,                     ,                  ,              ,              ,                                ,                            ,                 ,                ,                    ,reworked Cretaceous foraminifers recorded as xx. 171 ichthyoliths. from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,149, 897,D,  4,R, 1,  54.00,    626.7400,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,                   ,                   ,52                  ,7               ,                       ,29              ,                        ,1                   ,                    ,3                      ,                      ,5                    ,1                 ,              ,              ,                                ,                            ,                 ,                ,                    ,2 tubular aggl. fragments. 5 indet. aggl. fragments. 23 ichthyoliths. from 149 SR. Chapter 8. Table 2. page 204.
