Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Systematophora placacantha	Spiniferites spp.	Saturnodinium pansum	Palaeocystodinium golzowense	Lingulodinium multivirgatum	Hystrichokolpoma rigaudiae	Distatodinium biffii	Deflandrea phosphoritica	Dapsilidinium pseudocolligerum	Cordosphaeridium cantharellus	Chiropteridium galea	Caligodinium amiculum	Spiniferites pseudofurcatus	Membranophoridium aspinatum	Homotryblium vallum	Distatodinium paradoxum	Batiacasphaera sphaerica	Tuberculodinium vancampoae	Saturnodinium sp. cf. S. perforatum	Reticulatosphaera actinocoronata	Polysphaeridium zoharyi	Lingulodinium machaerophorum	Hystrichokolpoma truncatum	Apteodinium spiridoides	Hystrichokolpoma cinctum	Sumatradinium soucouyantae	Pyxidinopsis fairhavenensis	Operculodinium sp.	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Hystrichosphaeropsis obscura	Exochosphaeridium insigne	Dinopterygium cladoides	Cousteaudinium aubryae	Cerebrocysta satchelliae	Sumatradinium hamulatum	Melitasphaeridium choanophorum	Cribroperidinium tenuitabulatum	Apteodinium tectatum	Pentadinium laticinctum	Lejeunecysta convexa	Tectatodinium pellitum	Operculodinium longispinigerum	Operculodinium cf. israelianum (small)	Sumatradinium hispidum	Evittosphaerula paratabulata	Sumatradinium druggii	Selenopemphix brevispinosa brevispinosa	Labyrinthodinium truncatum modicum	Cerebrocysta poulsenii	Labyrinthodinium truncatum truncatum	Tectatodinium simplex	Impagidinium paradoxum	Impagidinium arachnion	Xandarodinium xanthum	Unipontidinium aquaeductum	Hystrichosphaeropsis sp. (serrate periblast)	Habibacysta tectata	Cordosphaeridium? minimum	Trinovantedinium? xylochoporum	Selenopemphix nephroides	Lejeunecysta sp.8	Invertocysta lacrymosa	Cristadinium sp.4	Capillicysta fusca	Brigantedinium spp.	Polykrikos kofoidii?	Operculodinium sp.3	Impagidinium patulum	Brigantedinium cariacoense	Algidasphaeridium? sp.11	Trinovantedinium sp.	Trinovantedinium harpagonium	Algidasphaeridium? euaxum	Selenopemphix sp. cf. S. nephroides	Operculodinium crassum	Artemisiocysta sp.1	Selenopemphix dionaeacysta	Lejeunecysta? sp. (lateral horns)	Lejeunecysta sp.3	Lejeunecysta paratenella	Cyclopsiella elliptica/granosa complex	Batiacasphaera sp. cf. B. hirsuta	Ascostomocystis sp.1	Cannosphaeropsis passio	Trinovantedinium sp. cf. T. boreale	Impagidinium? pallidum	Dissodium? sp.	Quadrina? condita	Algidasphaeridium? sp.8	Brigantedinium? sp.5	Selenopemphix brevispinosa conspicua	Cristadinium diminutivum	Cristadinium cristatoserratum	Trinovantedinium ferugnomatum	Geonettia clineae	Algidasphaeridium? sp.5	Brigantedinium? sp.6	Comment



  SR	Late Miocene     	                 	DN8               	              	150	 903	C	  9	R	CC	  11.00	    590.4000	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	                            	                           	                          	                    	                        	+                             	                             	                    	                     	                           	                           	                   	                       	                        	+                         	                                   	+                               	                       	+                           	                          	                       	                        	+                         	                           	                  	                           	                            	                            	                         	                       	                      	                        	                       	                              	                               	                    	                       	+                   	                      	                              	                                      	                      	                            	                     	+                                      	                                  	                      	+                                   	                     	                      	                      	+                    	                          	                                            	+                  	                         	+                             	                        	+                	                      	                 	                  	+                  	+                   	+                  	                    	                          	+                       	                    	+                           	+                        	+                                  	                      	                   	+                         	+                                	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	+                   	                                    	                        	+                            	                             	                 	                       	+                   	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Late Miocene     	                 	DN8               	              	150	 903	C	 10	R	 5	  83.00	    598.9300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	+                           	                           	                          	                    	                        	                              	                             	                    	                     	                           	                           	                   	                       	                        	                          	                                   	+                               	+                      	+                           	                          	                       	                        	                          	                           	                  	+                          	                            	+                           	                         	                       	                      	                        	                       	                              	                               	                    	                       	                    	                      	                              	                                      	                      	                            	+                    	+                                      	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	+                  	+                        	+                             	                        	                 	                      	                 	                  	+                  	+                   	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	+                         	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	+                      	+                   	                                    	                        	                             	+                            	+                	+                      	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Late Miocene     	                 	DN8               	              	150	 903	C	 10	R	CC	  14.00	    600.0400	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	+                           	                           	                          	                    	                        	                              	                             	                    	                     	                           	                           	                   	                       	                        	                          	                                   	+                               	                       	                            	                          	                       	                        	+                         	                           	                  	+                          	+                           	+                           	                         	                       	                      	                        	                       	                              	                               	                    	                       	+                   	+                     	                              	                                      	                      	                            	+                    	                                       	                                  	                      	+                                   	                     	                      	                      	+                    	                          	                                            	+                  	                         	+                             	                        	                 	                      	                 	                  	+                  	+                   	                   	                    	                          	                        	                    	+                           	                         	                                   	                      	+                  	+                         	+                                	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	+                	                       	                    	+                                   	+                       	+                            	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN7               	              	150	 903	C	 11	R	CC	  19.00	    604.8000	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	+                           	                           	                          	                    	                        	+                             	                             	                    	                     	                           	                           	                   	                       	                        	                          	                                   	+                               	                       	+                           	                          	                       	                        	                          	                           	                  	                           	                            	                            	                         	                       	                      	                        	                       	                              	                               	                    	                       	                    	+                     	                              	                                      	                      	                            	+                    	+                                      	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	+                  	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	+                       	                    	                            	+                        	                                   	                      	                   	                          	                                 	                 	                        	                                      	+                                	                    	+                      	                                   	                      	              	+                	                       	+                   	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.
