Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera mirabilis,Syracosphaera pulchra,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Pontosphaera sp. 1,Pontosphaera japonica,Helicosphaera sellii,Helicosphaera hyalina,Helicosphaera carteri,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Ceratolithus cristatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Rhabdosphaera stylifera,Pontosphaera multipora,Coccolithus pelagicus,Helicosphaera neogranulata,Helicosphaera inversa,Syracosphaera histrica,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,125, 785,A,  1,H, 1, 145.00,      1.4500,Ciampo   ,Nannofossils                                 ,               ,M                 ,                         ,R                    ,R                      ,                        ,R                 ,                     ,                    ,                     ,R                    ,F                    ,F                        ,R                     ,                      ,                      ,                       ,                      ,R                    ,R                         ,                     ,                      ,F                ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,125, 785,A,  1,H, 2,   2.00,      1.5200,Ciampo   ,Nannofossils                                 ,               ,M                 ,                         ,R                    ,R                      ,                        ,R                 ,                     ,                    ,                     ,F                    ,F                    ,F                        ,                      ,                      ,F                     ,R                      ,R                     ,F                    ,R                         ,R                    ,R                     ,                 ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,125, 785,A,  1,H, 4, 100.00,      5.5000,Ciampo   ,Nannofossils                                 ,               ,P                 ,                         ,                     ,                       ,                        ,R                 ,                     ,                    ,                     ,R                    ,R                    ,R                        ,                      ,                      ,R                     ,                       ,                      ,R                    ,                          ,                     ,                      ,                 ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,125, 785,A,  1,H, 6,  45.00,      7.9500,Ciampo   ,Nannofossils                                 ,               ,P                 ,                         ,                     ,                       ,R                       ,                  ,                     ,                    ,                     ,                     ,R                    ,R                        ,                      ,                      ,R                     ,                       ,                      ,                     ,                          ,                     ,                      ,                 ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
