Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ticinella roberti	Ticinella raynaudi	Ticinella primula	Hedbergella rischi	Hedbergella planispira	Pseudotextularia nuttalli	Pseudoguembelina costulata	Laeviheterohelix pulchra	Heterohelix globulosa	Heterohelix carinata	Hedbergella holmdelensis	Globotruncanita stuartiformis	Globotruncanita elevata	Globotruncana orientalis	Globotruncana linneiana	Globotruncana arca	Globigerinelloides messinae	Contusotruncana fornicata	Contusotruncana patelliformis	Schackoina multispinata	Schackoina cenomana	Rugoglobigerina rugosa	Globotruncanita subspinosa	Globotruncanita atlantica	Globigerinelloides prairiehillensis	Archaeoglobigerina cretacea	Tenuitella gemma	Globorotaloides suteri	Globigerinita glutinata	Globigerina druryi	Globigerina angustiumbilicata	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis disjuncta	Globoturborotalita woodi	Globoturborotalita druryi	Globigerina praebulloides	Orbulina universa	Orbulina suturalis	Globorotalia miozea	Globorotalia conoidea	Globoquadrina venezuelana	Globoquadrina dehiscens	Paragloborotalia siakensis	Globigerina bulloides	Dentoglobigerina altispira	Globoturborotalita nepenthes	Globoturborotalita decoraperta	Globigerina decoraperta	Globigerinatella insueta	Globorotalia scitula	Neogloboquadrina acostaensis	Sphaeroidinellopsis paenedehiscens	Neogloboquadrina pachyderma (dextral)	Globorotalia plesiotumida	Globorotalia merotumida	Globorotalia menardii	Globorotalia challengeri	Globigerinoides sacculifer	Globigerinoides conglobatus	Sphaeroidinellopsis subdehiscens	Neogloboquadrina dutertrei	Globigerinoides obliquus	Globorotalia tumida	Globorotalia margaritae	Candeina nitida	Globorotalia puncticulata	Globoconella conomiozea	Truncorotalia crassaformis	Globigerinoides extremus	Truncorotalia tosaensis	Sphaeroidinella dehiscens s.l.	Globorotalia crassula	Globigerinoides ruber	Globorotalia inflata	Neogloboquadrina humerosa	Globigerinoides trilobus	Pulleniatina primalis	Globigerinella aequilateralis	Pulleniatina obliquiloculata	Globigerinoides fistulosus	Truncorotalia truncatulinoides	Globorotalia hirsuta	Globigerina angulisuturalis	Comment



  IR	Pleistocene      	Pleistocene      	N22               	N22           	198	1208	A	  1	H	CC	  15.00	      4.7000	planks   	Planktonic Foraminifers                      	R              	G                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	R                	                  	                   	                     	                         	                       	                          	F                    	                          	                            	                              	                       	                        	R                   	                            	                                  	F                                    	                         	                       	                     	                        	                          	                           	                                	F                         	                        	                   	                       	               	                         	                       	                          	                        	R                      	                              	                     	R                    	A                   	                         	                        	                     	R                            	                            	                          	R                             	F                   	                           	abund. rads, few spicules; pumice chunks

  IR	Pleistocene      	Pleistocene      	N22               	N22           	198	1208	A	  2	H	CC	  28.00	     14.2400	planks   	Planktonic Foraminifers                      	F              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	R                	                  	                   	                     	                         	                       	                          	F                    	                          	                            	                              	                       	                        	R                   	                            	                                  	F                                    	                         	                       	R                    	                        	R                         	R                          	                                	F                         	                        	R                  	                       	               	                         	                       	                          	                        	R                      	                              	                     	R                    	A                   	                         	                        	                     	R                            	R                           	                          	R                             	R                   	                           	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	198	1208	A	  3	H	CC	  18.00	     23.8200	planks   	Planktonic Foraminifers                      	R              	G                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	F                	                  	                   	                     	                         	                       	                          	F                    	                          	                            	                              	                       	                        	R                   	                            	                                  	R                                    	                         	                       	R                    	                        	                          	                           	                                	R                         	                        	F                  	                       	               	                         	                       	                          	                        	R                      	                              	                     	R                    	A                   	                         	                        	                     	                             	                            	                          	R                             	R                   	                           	rads C, spicule F

  IR	Pleistocene      	Pleistocene      	N22               	N22           	198	1208	A	  4	H	CC	  20.00	     33.4700	planks   	Planktonic Foraminifers                      	A              	G                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	R                	                  	                   	                     	                         	                       	                          	A                    	                          	                            	                              	                       	                        	                    	                            	                                  	F                                    	                         	                       	R                    	                        	R                         	R                          	                                	F                         	                        	                   	                       	               	                         	                       	F                         	                        	P                      	                              	                     	R                    	A                   	                         	                        	                     	                             	R                           	                          	R                             	                    	                           	Rads A>150 micron
