Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina atlantica (sinistral)	Neogloboquadrina atlantica (dextral)	Globigerina bulloides	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina sp. juv. dextral	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina cf. dutertrei	Comment



  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	C	  1	R	 1	  64.00	      0.6400	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                      	                                    	R                    	C                                      	                                 	R                                    	R                             	From Leg 151SR; Ch 8; Table 2; p. 158

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	C	  1	R	 1	 132.00	      1.3200	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                      	                                    	R                    	C                                      	                                 	R                                    	R                             	From Leg 151SR; Ch 8; Table 2; p. 158

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	C	  2	R	 1	  68.00	      9.1800	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                      	                                    	                     	C                                      	                                 	R                                    	                              	From Leg 151SR; Ch 8; Table 2; p. 158

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	C	  2	R	CC	  24.00	      9.6100	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                      	                                    	                     	R                                      	                                 	                                     	                              	From Leg 151SR; Ch 8; Table 2; p. 158

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	C	  3	R	 1	  80.00	     18.2000	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                      	                                    	                     	R                                      	                                 	                                     	                              	From Leg 151SR; Ch 8; Table 2; p. 158

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	C	  3	R	 2	  79.00	     19.6900	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                      	                                    	                     	R                                      	                                 	                                     	                              	From Leg 151SR; Ch 8; Table 2; p. 158

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	C	  4	R	 1	  39.00	     26.7900	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                      	                                    	                     	R                                      	                                 	                                     	                              	From Leg 151SR; Ch 8; Table 2; p. 158

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	C	  4	R	 2	  39.00	     28.2900	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                      	                                    	                     	R                                      	                                 	                                     	                              	From Leg 151SR; Ch 8; Table 2; p. 158

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	C	  4	R	 3	  39.00	     29.7900	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                      	                                    	                     	R                                      	                                 	                                     	                              	From Leg 151SR; Ch 8; Table 2; p. 158

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	C	  4	R	 4	  39.00	     31.2900	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                      	                                    	                     	R                                      	                                 	                                     	                              	From Leg 151SR; Ch 8; Table 2; p. 158

