Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stainforthia spp.	Nonion spp. (inc. Melonis)	Epistominella vitrea	Cibicides grossus	Cassidulinidae taxa	Cassidulina teretis	Cassidulina reniforme	Buccella arctica	Elphidium spp. (incl. Elphidiella)	Elphidium excavatum f. clavatum	Cibicides spp.	Eponides spp.	Foraminifers (agglutinated taxa)	Elphidium albiumbilicatum	Cibicides lobatulus	Bulimina aculeata	Comment



  SR	                 	                 	E. excav.f. clavat.	              	151	 910	C	  1	R	 1	   1.00	      0.0100	Osterman 	Benthic Foraminifers                         	               	                  	2.0%             	6.0%                      	3.0%                	                 	                   	19.0%              	22.0%                	2.0%            	                                  	5.0%                           	              	2.0%         	36.0%                           	1.0%                     	1.0%               	                 	Other taxa = 3%; From Leg 151; Ch 10; Table 1 & Fig. 2; pp. 189-190

  SR	                 	                 	E. excav.f. clavat.	              	151	 910	C	  1	R	 1	   3.00	      0.0300	Osterman 	Benthic Foraminifers                         	               	                  	4.0%             	8.0%                      	                    	                 	4.0%               	6.0%               	2.0%                 	                	                                  	                               	              	6.0%         	58.0%                           	                         	2.0%               	                 	Other taxa = 10%; From Leg 151; Ch 10; Table 1 & Fig. 2; pp. 189-190

  SR	                 	                 	E. excav.f. clavat.	              	151	 910	C	  1	R	 1	  83.00	      0.8300	Osterman 	Benthic Foraminifers                         	               	                  	11.0%            	3.0%                      	3.0%                	                 	                   	27.0%              	36.0%                	1.0%            	                                  	6.0%                           	              	7.0%         	1.0%                            	                         	4.0%               	                 	Other taxa = 1%; From Leg 151; Ch 10; Table 1 & Fig. 2; pp. 189-190

  SR	                 	                 	E. excav.f. clavat.	              	151	 910	C	  1	R	CC	   7.00	      1.5700	Osterman 	Benthic Foraminifers                         	               	                  	15.0%            	5.0%                      	10.0%               	                 	                   	12.0%              	34.0%                	1.0%            	                                  	11.0%                          	              	7.0%         	                                	1.0%                     	                   	3.0%             	Other taxa = 1%; From Leg 151; Ch 10; Table 1 & Fig. 2; pp. 189-190

  SR	                 	                 	E. excav.f. clavat.	              	151	 910	C	  2	R	 1	  76.00	      9.2600	Osterman 	Benthic Foraminifers                         	               	                  	9.0%             	8.0%                      	33.0%               	                 	                   	12.0%              	18.0%                	                	1.0%                              	10.0%                          	              	1.0%         	                                	                         	                   	2.0%             	Other taxa = 6%; From Leg 151; Ch 10; Table 1 & Fig. 2; pp. 189-190

  SR	                 	                 	E. excav.f. clavat.	              	151	 910	C	  2	R	CC	  24.00	      9.6100	Osterman 	Benthic Foraminifers                         	               	                  	1.0%             	10.0%                     	17.0%               	                 	                   	22.0%              	12.0%                	                	                                  	22.0%                          	              	7.0%         	                                	1.0%                     	2.0%               	                 	Other taxa = 6%; From Leg 151; Ch 10; Table 1 & Fig. 2; pp. 189-190

