Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Isabelidinium glabrum,Oligosphaeridium complex,Odontochitina costata,Cassiculosphaeridia reticulata,Spiniferites ramosus reticulatus,Spiniferites ramosus ramosus,Samlandia carnarvonensis,Manumiella sp. 1,Manumiella druggii,Impagidinium sp. cf. I. patulum,Impagidinium cristatum,Achomosphaera ramulifera,Pterodinium cingulatum ovale,Palaeocystodinium sp.,Manumiella seelandica,Elytrocysta sp.,Alisocysta margarita,Alisocysta circumtabulata,Pterodinium cingulatum cingulatum,Alisocysta reticulata,Cladopyxidium foveolatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,119, 738,C, 21,R, 1,  56.00,    380.4600,Tocher   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                        ,                     ,                              ,                                ,+                           ,+                       ,                ,                  ,                               ,                      ,                        ,+                           ,                     ,                     ,+              ,+                   ,                         ,                                 ,+                    ,+                       ,from 119 SR Chapter 32 Figure 2 page 633.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,119, 738,C, 22,R, 1,  45.00,    390.0500,Tocher   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                        ,                     ,                              ,                                ,                            ,                        ,                ,                  ,                               ,                      ,                        ,                            ,                     ,                     ,               ,+                   ,                         ,                                 ,                     ,                        ,from 119 SR Chapter 32 Figure 2 page 633.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,119, 738,C, 22,R, 2,  45.00,    391.5500,Tocher   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                        ,                     ,+                             ,                                ,                            ,+                       ,                ,                  ,+                              ,                      ,                        ,                            ,                     ,                     ,               ,                    ,                         ,                                 ,+                    ,                        ,from 119 SR Chapter 32 Figure 2 page 633.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,119, 738,C, 22,R, 4,  69.00,    394.7900,Tocher   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                        ,                     ,+                             ,                                ,                            ,                        ,                ,                  ,                               ,                      ,                        ,                            ,                     ,                     ,               ,+                   ,                         ,+                                ,+                    ,                        ,from 119 SR Chapter 32 Figure 2 page 633.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,119, 738,C, 22,R, 6,  20.00,    397.3000,Tocher   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                        ,                     ,+                             ,                                ,+                           ,+                       ,                ,+                 ,+                              ,                      ,                        ,+                           ,+                    ,+                    ,+              ,+                   ,+                        ,                                 ,                     ,                        ,from 119 SR Chapter 32 Figure 2 page 633.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,119, 738,C, 23,R, 1,  54.00,    399.7400,Tocher   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,                        ,                     ,                              ,+                               ,+                           ,+                       ,+               ,+                 ,+                              ,+                     ,+                       ,                            ,                     ,                     ,               ,                    ,                         ,                                 ,                     ,                        ,from 119 SR Chapter 32 Figure 2 page 633.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,                  ,              ,119, 738,C, 26,R, 2, 125.00,    430.9500,Tocher   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                     ,+                       ,+                    ,+                             ,                                ,                            ,                        ,                ,                  ,                               ,                      ,                        ,                            ,                     ,                     ,               ,                    ,                         ,                                 ,                     ,                        ,questionable age assignment. from 119 SR Chapter 32 Figure 2 page 633.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,Coniacian        ,                  ,              ,119, 738,C, 31,R, 2,  10.00,    477.9000,Tocher   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                    ,                        ,                     ,                              ,                                ,                            ,                        ,                ,                  ,                               ,                      ,                        ,                            ,                     ,                     ,               ,                    ,                         ,                                 ,                     ,                        ,from 119 SR Chapter 32 Figure 2 page 633.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
