Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	placolith (<2.0 microns)	Umbilicosphaera sp. A	Umbilicosphaera sibogae var. sibogae	Umbilicosphaera cricota	Umbilicosphaera aequiscutum	Sphenolithus neoabies	Sphenolithus abies	Reticulofenestra pseudoumbilica	Reticulofenestra producta	Reticulofenestra perplexa	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra haqii	Reticulofenestra gelida	Pontosphaera spp.	Pontosphaera multipora	Pontosphaera japonica	Neosphaera coccolithomorpha	Helicosphaera spp. (small)	Helicosphaera euphratis	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster brouweri	Discoaster blackstockae	Discoaster berggrenii	Cyclicargolithus floridanus	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Syracosphaera spp.	Schyphosphaera spp.	Rhabdosphaera clavigera	Triquetrorhabdulus rugosus	Helicosphaera inversa	Discoaster challengeri	Calciosolenia murrayi	Braarudosphaera bigelowii	Coccolithus streckerii	Pontosphaera discopora	Amaurolithus tricorniculatus	Schyphosphaera sp.	Reticulofenestra bisecta	Aspidolithus parcus	Sphenolithus compactus	Helicosphaera intermedia	Chiasmolithus solitus	Ceratolithus acutus	Tetralithoides quadrilaminata	Ceratolithus spp.	Ceratolithus armatus	Ceratolithus atlanticus	Discoaster asymmetricus	Discoaster triradiatus	Umbilicosphaera hulburtiana	Ericsonia formosa	Reticulofenestra umbilica	Umbilicosphaera sibogae var. foliosa	Ceratolithus separatus	Ceratolithus rugosus	Ceratolithus cristatus	Pseudoemiliania lacunosa	Sphenolithus grandis	Pseudoemiliania cf. P. lacunosa	Micula decussata	Helicosphaera sellii	Gephyrocapsa spp. (small)	Lithostromation perdurum	Discoaster tamalis	Cretarhabdus conicus	Discoaster hamatus	Placozygus sigmoides	Helicosphaera neogranulata	Umbellosphaera tenuis	Oolithotus fragilis	Helicosphaera pavimentum	Gephyrocapsa oceanica (medium)	Gephyrocapsa caribbeanica	Gephyrocapsa spp. medium	Watznaueria barnesae	Gephyrocapsa spp. (large)	Prediscosphaera cretacea	Ceratolithus simplex	Reticulofenestra asanoi	Gephyrocapsa oceanica ss	Gephyrocapsa margerelii/muellerae	Umbellosphaera irregularis	Emiliania huxleyi	Comment



  IR	Pleistocene      	                 	CN15              	              	164	 994	C	  1	H	 1	   0.00	      0.0000	Okada    	Nannofossils                                 	A              	G                 	F                       	                     	F                                   	                       	                           	                     	                  	                               	                         	                         	                         	8                      	                      	                       	                 	                      	F                    	R                          	                          	                       	1                    	223                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	1                    	                      	1                     	                   	                      	                       	6                 	                   	1                      	                          	                     	                      	C                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	R                            	                 	                    	                       	                       	                      	F                          	                 	                         	F                                   	                      	                    	R                     	                        	                    	                               	                	                    	1                        	                        	                  	                    	                  	                    	                          	F                    	1                  	R                       	4                             	                         	                        	                    	3                        	                        	                    	                       	A                       	                                 	R                         	67               	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN15              	              	164	 994	C	  1	H	 1	 105.00	      1.0500	Okada    	Nannofossils                                 	A              	M                 	F                       	                     	4                                   	                       	                           	                     	                  	                               	F                        	                         	                         	4                      	                      	                       	                 	                      	                     	                           	                          	                       	1                    	195                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	F                    	                      	1                     	                   	                      	                       	1                 	                   	1                      	                          	                     	                      	2                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	F                          	                 	                         	F                                   	                      	                    	F                     	                        	                    	                               	                	                    	4                        	                        	                  	                    	                  	                    	                          	2                    	F                  	                        	7                             	1                        	                        	                    	9                        	                        	                    	                       	                        	                                 	                          	60               	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN15              	              	164	 994	C	  1	H	 2	  55.00	      2.0500	Okada    	Nannofossils                                 	A              	M                 	3                       	                     	2                                   	                       	                           	                     	                  	                               	                         	                         	                         	2                      	                      	                       	                 	                      	                     	                           	                          	                       	2                    	185                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	F                    	                      	1                     	                   	                      	                       	1                 	                   	1                      	                          	                     	                      	1                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	F                          	                 	                         	F                                   	                      	                    	                      	                        	                    	                               	                	                    	5                        	                        	                  	                    	                  	                    	                          	1                    	1                  	                        	5                             	F                        	                        	                    	9                        	                        	                    	                       	                        	                                 	                          	65               	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN15              	              	164	 994	C	  1	H	 3	   4.00	      3.0400	Okada    	Nannofossils                                 	A              	M                 	1                       	                     	2                                   	                       	                           	                     	                  	                               	                         	                         	                         	2                      	                      	                       	                 	                      	                     	                           	                          	                       	2                    	192                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	1                    	                      	2                     	                   	                      	                       	1                 	                   	1                      	                          	                     	                      	1                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	1                          	                 	                         	F                                   	                      	                    	                      	                        	                    	                               	                	                    	2                        	                        	                  	                    	                  	                    	                          	                     	1                  	                        	12                            	                         	                        	                    	11                       	                        	                    	                       	                        	                                 	                          	61               	from 164 SR Ch 33 Table 2
