Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceratium pileus,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassionema nitzschioides,Rhizosolenia praebergonii var. robusta,Pulleniatina obliquiloculata,Pseudoeunotia doliolus,Nitzschia marina,Nitzschia fossilis,Neogloboquadrina dutertrei,Hemidiscus cuneiformis,Globorotalia ungulata,Globorotalia scitula,Globorotalia menardii,Globigerinoides sacculifer,Globigerinoides ruber,Globigerina umbilicata,Coscinodiscus marginatus,Azpeitia nodulifera,Asteromphalus elegans,Asterolampra acutiloba,Actinoptychus senarius,Orbulina universa,Globorotalia tumida,Globigerinella aequilateralis,Actinoptychus minutus,Globorotaloides hexagona,Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,170,1039,A,  1,H,CC,   0.00,      8.7500,White    ,Diatoms                                      ,A              ,G                 ,rR                ,C                        ,C                      ,C                          ,rR                                    ,                            ,C                     ,F               ,                  ,R                         ,F                     ,R                    ,                    ,R                    ,                          ,R                    ,                      ,                        ,F                  ,                     ,                      ,R                     ,                 ,                   ,R                            ,F                    ,R                       ,R                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,170,1039,A,  2,H, 7,  50.00,     18.5000,White    ,Diatoms                                      ,A              ,G                 ,rR                ,                         ,C                      ,                           ,rR                                    ,                            ,C                     ,F               ,                  ,                          ,R                     ,                     ,                    ,                     ,                          ,                     ,                      ,F                       ,C                  ,R                    ,R                     ,R                     ,                 ,                   ,                             ,                     ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,170,1039,A,  2,H,CC,  24.00,     18.9000,White    ,Diatoms                                      ,A              ,G                 ,                  ,C                        ,C                      ,C                          ,rR                                    ,R                           ,C                     ,F               ,                  ,R                         ,                      ,R                    ,                    ,R                    ,R                         ,R                    ,                      ,                        ,F                  ,F                    ,                      ,R                     ,R                ,R                  ,R                            ,R                    ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,170,1039,A,  3,H,CC,  18.00,     28.4400,White    ,Diatoms                                      ,A              ,G                 ,rR                ,C                        ,C                      ,C                          ,rR                                    ,R                           ,C                     ,R               ,rR                ,R                         ,R                     ,R                    ,R                   ,R                    ,R                         ,R                    ,R                     ,F                       ,C                  ,R                    ,R                     ,R                     ,                 ,                   ,                             ,                     ,                        ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
