Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiniferites spp.,Spiniferites ramosus,Spiniferites mirabilis,Selenopemphix quanta,Peridinium faeroense,Operculodinium centrocarpum,Melitasphaeridium choanophorum,Impagidinium aculeatum,Brigantedinium spp.,Spiniferites hyperacanthus,Scrippsiella spp.,Nematosphaeropsis labyrinthea,Spiny forms,Selenopemphix nephroides,Quinquecuspis concreta,Protoperidinium americanum,Polykrikos schwartzii,Lingulodinium machaerophorum,Votadinium calvum,Dubridinium caperatum,Trinovantedinium capitatum,Spiniferites membranaceus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 684,B,  1,H, 1,  13.00,      0.1300,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,F                   ,R                     ,F                   ,F                   ,C                          ,                              ,                      ,C                  ,                          ,F                ,R                            ,R          ,                        ,R                     ,                          ,                     ,                            ,R                ,R                    ,R                         ,                         ,from ODP Leg 112 SR Chapter 17 Table 9 p 314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 684,B,  1,H, 1,  63.00,      0.6300,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,F                ,F                   ,R                     ,F                   ,F                   ,C                          ,                              ,R                     ,C                  ,R                         ,R                ,                             ,R          ,R                       ,F                     ,                          ,                     ,                            ,R                ,                     ,R                         ,R                        ,from ODP Leg 112 SR Chapter 17 Table 9 p 314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 684,B,  1,H, 3,  81.00,      3.8100,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,F                   ,F                     ,F                   ,R                   ,R                          ,                              ,                      ,A                  ,R                         ,R                ,                             ,R          ,R                       ,R                     ,R                         ,                     ,                            ,R                ,F                    ,                          ,                         ,from ODP Leg 112 SR Chapter 17 Table 9 p 314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,112, 684,B,  1,H, 5,  82.00,      6.8200,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,F                   ,                      ,F                   ,                    ,R                          ,R                             ,F                     ,A                  ,                          ,R                ,                             ,R          ,R                       ,R                     ,R                         ,R                    ,R                           ,                 ,                     ,                          ,                         ,from ODP Leg 112 SR Chapter 17 Table 9 p 314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,112, 684,B,  4,H, 1, 117.00,     27.6700,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                ,A                   ,F                     ,F                   ,F                   ,A                          ,                              ,F                     ,F                  ,R                         ,R                ,R                            ,           ,                        ,                      ,                          ,                     ,                            ,                 ,                     ,                          ,                         ,from ODP Leg 112 SR Chapter 17 Table 9 p 314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,112, 684,B,  4,H, 7,  11.00,     35.6100,Powell   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,C                ,F                   ,A                     ,R                   ,R                   ,C                          ,R                             ,F                     ,R                  ,                          ,                 ,                             ,           ,                        ,                      ,                          ,                     ,                            ,                 ,                     ,                          ,                         ,from ODP Leg 112 SR Chapter 17 Table 9 p 314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
