Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Coccolithus pelagicus,Calcidiscus leptoporus,Reticulofenestra asanoi,Helicosphaera kamptneri,Rhabdosphaera clavigera,Gephyrocapsa parallela,Reticulofenestra minuta,Ceratolithus telesmus,Emiliania huxleyi,Ceratolithus simplex,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CN15          ,186,1151,D,  1,H,CC,  25.00,      7.5100,Li       ,Nannofossils                                 ,R              ,M                 ,                        ,F                    ,F                        ,F                    ,F                     ,                       ,                       ,                       ,                      ,                       ,                     ,F                ,R                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CN15          ,186,1151,D,  2,H,CC,  23.00,     17.4400,Li       ,Nannofossils                                 ,C              ,G                 ,C                       ,A                    ,A                        ,C                    ,C                     ,                       ,C                      ,F                      ,                      ,                       ,                     ,C                ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CN14b         ,186,1151,D,  3,H,CC,  25.00,     26.8800,Li       ,Nannofossils                                 ,C              ,G                 ,                        ,C                    ,A                        ,C                    ,F                     ,                       ,                       ,                       ,                      ,A                      ,R                    ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CN14a         ,186,1151,D,  4,H,CC,  24.00,     36.4200,Li       ,Nannofossils                                 ,C              ,G                 ,A                       ,C                    ,C                        ,C                    ,F                     ,                       ,C                      ,F                      ,A                     ,                       ,                     ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CN14a         ,186,1151,D,  5,H,CC,  23.00,     45.7100,Li       ,Nannofossils                                 ,T              ,P                 ,F                       ,                     ,                         ,                     ,                      ,                       ,                       ,                       ,                      ,                       ,                     ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CN14a         ,186,1151,D,  6,H,CC,  23.00,     55.3700,Li       ,Nannofossils                                 ,R              ,P                 ,R                       ,                     ,R                        ,R                    ,R                     ,                       ,                       ,                       ,                      ,                       ,                     ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CN14a         ,186,1151,D,  7,H,CC,   7.00,     64.5600,Li       ,Nannofossils                                 ,C              ,M                 ,A                       ,C                    ,C                        ,C                    ,C                     ,                       ,                       ,F                      ,F                     ,                       ,                     ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CN13b         ,186,1151,D,  8,H,CC,  24.00,     74.6300,Li       ,Nannofossils                                 ,R              ,M                 ,C                       ,                     ,                         ,F                    ,F                     ,F                      ,F                      ,                       ,                      ,                       ,                     ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CN13b         ,186,1151,D, 10,H,CC,  16.00,     93.2700,Li       ,Nannofossils                                 ,R              ,P                 ,F                       ,F                    ,F                        ,R                    ,F                     ,                       ,                       ,                       ,                      ,                       ,                     ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
