Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Rucinolithus terebrodentarius,Rucinolithus irregularis,Cretarhabdus surirellus,Zygodiscus spiralis,Zygodiscus erectus,Zygodiscus elegans,Zygodiscus diplogrammus,Vagalapilla stradneri,Tranolithus spp.,Prediscosphaera sp.,Parhabdolithus embergeri,Parhabdolithus asper,Parhabdolithus angustus,Parhabdolithus achylostaurion,Nannoconus spp.,Manivitella pemmatoidea,Lithraphidites carniolensis,Lithastrinus floralis,Flabellites oblongus,Eiffellithus turriseiffelii,Eiffellithus (small taxa),Discorhabdus rotatorius,Cyclagelosphaera margerelii,Cruciellipsis chiastia,Cribrosphaerella ehrenbergii,Cretarhabdus spp.,Cretarhabdus sp.,Chiastozygus litterarius,Biscutum constans,Cretarhabdus conicus,Tranolithus orionatus,Lithraphidites acutus,Braarudosphaera regularis,Ahmuellerella octoradiata,Reinhardtites fenestratus,Corollithion achylosum,Markalius circumradiatus,Prediscosphaera cretacea,Nannoconus sp.,Marthasterites furcatus,Cretarhabdus angustiforatus,Quadrum gartneri,Micula sp.,Eiffellithus eximius,Micula decussata,Rucinolithus hayi,Reinhardtites anthophorus,Prediscosphaera columnata,Lithastrinus grillii,Microrhabdulus decoratus,Cylindralithus sp.,Placozygus fibuliformis,Micula concava,Prediscosphaera spinosa,Tegumentum stradneri,Broinsonia lata,Cretarhabdus striatus,Quadrum sissinghii,Quadrum gothicum,Micula praemurus,Cylindralithus serratus,Ceratolithoides verbeekii,Ceratolithoides aculeus (<90 degrees),Calculites obscurus,Ceratolithoides aculeus (>90 degrees),Bukryaster hayi,Rucinolithus sp.,Kamptnerius magnificus,Eiffellithus gorkae,Aspidolithus parcus constrictus,Arkhangelskiella cymbiformis,Prediscosphaera grandis,Corollithion exiguum,Aspidolithus parcus,Quadrum trifidum,Sphenolithus primus,Sphenolithus anarrhopus,Fasciculithus tympaniformis,Coccolithus pelagicus,Sphenolithus sp.,Toweius eminens,Fasciculithus bobii,Discoaster multiradiatus,Cruciplacolithus tenuis,Coccolithus formosus,Chiasmolithus sp.,Chiasmolithus californicus,Biantholithus sparsus,Sphenolithus moriformis,Fasciculithus pileatus,Fasciculithus lillianae,Ellipsolithus macellus,Cruciplacolithus primus,Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus edwardsii,Sphenolithus radians,Sphenolithus pseudoradians,Markalius inversus,Reticulofenestra hillae,Heliolithus kleinpellii,Discoaster sp.,Discoaster barbadiensis,Cyclicargolithus floridanus,Reticulofenestra umbilica,Reticulofenestra samodurovii,Reticulofenestra reticulata,Dictyococcites bisectus,Cyclicargolithus abisectus,Triquetrorhabdulus carinatus,Pseudotriquetrorhabdulus inversus,Discoaster woodringii,Discoaster bifax,Chiasmolithus grandis,Sphenolithus editus,Discoaster saipanensis,Fasciculithus involutus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus spiniger,Sphenolithus celsus,Bramletteius serraculoides,Sphenolithus umbrellus,Sphenolithus ciperoensis,Helicosphaera euphratis,Discoaster deflandrei,Sphenolithus conicus,Sphenolithus delphix,Discoaster variabilis,Sphenolithus obtusus,Sphenolithus belemnos,Pontosphaera sp.,Helicosphaera sp.,Sphenolithus heteromorphus,Reticulofenestra pseudoumbilica,Coccolithus sp.,Discoaster exilis,Reticulofenestra sp.,Discoaster brouweri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A,  3,R,CC,  13.00,     15.9900,Mao      ,Nannofossils                                 ,R              ,P                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,R                    ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,R                  ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 10,R, 3,   6.00,     83.4600,Mao      ,Nannofossils                                 ,R              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,R                    ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,R                      ,                       ,R             ,                       ,R                          ,                         ,                            ,                           ,                       ,R                         ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,R                    ,                    ,                    ,R                    ,                    ,                     ,                ,R                ,                          ,R                              ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 10,R,CC,   0.00,     83.8100,Mao      ,Nannofossils                                 ,R              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,R                      ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 11,R, 1,  55.00,     90.1500,Mao      ,Nannofossils                                 ,F              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,R                    ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,R                 ,                       ,                       ,R             ,                       ,R                          ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,F                    ,                    ,                    ,R                    ,                    ,                     ,                ,R                ,F                         ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
