Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies/neoabies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Helicosphaera kamptneri,Discoaster variabilis,Discoaster surculus,Discoaster pentaradiatus,Discoaster neohamatus,Crenalithus doronicoides,Ceratolithus acutus,Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus delicatus,Amaurolithus amplificus,Discoaster quinqueramus,Discoaster brouweri,Discoaster triradiatus,Ceratolithus rugosus,Discoaster asymmetricus,Amaurolithus tricorniculatus,Discoaster tamalis,Coccolithus pelagicus,Amaurolithus primus,Pseudoemiliania lacunosa,Helicosphaera sellii,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Syracosphaera pulchra,Scyphosphaera pulcherrima,Discolithina japonica,Gephyrocapsa spp.,Pontosphaera syracusana,Oolithotus antillarum,Scyphosphaera apsteinii,Gephyrocapsa caribbeanica,Umbilicosphaera mirabilis,Umbilicosphaera sibogae,Gephyrocapsa oceanica,Ceratolithus cristatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,108, 665,A,  1,H,CC,  12.00,      2.8500,Manivit  ,Nannofossils                                 ,A              ,G                 ,                           ,                           ,                               ,F                      ,                     ,                   ,                        ,                     ,                        ,                   ,                      ,F                     ,                      ,                       ,                       ,                   ,                      ,                    ,                       ,                            ,                  ,                     ,                   ,                        ,                    ,                       ,                       ,                     ,                         ,                     ,A                ,                       ,                     ,                       ,A                        ,R                        ,R                      ,A                    ,R                     ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,108, 665,A,  2,H, 3, 134.00,      7.2400,Manivit  ,Nannofossils                                 ,A              ,G                 ,                           ,                           ,                               ,F                      ,                     ,                   ,                        ,                     ,                        ,                   ,                      ,C                     ,                      ,                       ,                       ,                   ,                      ,                    ,                       ,                            ,                  ,                     ,                   ,                        ,                    ,R                      ,R                      ,F                    ,R                        ,R                    ,A                ,R                      ,                     ,F                      ,A                        ,                         ,F                      ,A                    ,R                     ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,CN14b         ,108, 665,A,  2,H, 5,  60.00,      9.5000,Manivit  ,Nannofossils                                 ,A              ,G                 ,                           ,                           ,                               ,C                      ,                     ,                   ,                        ,                     ,C                       ,                   ,                      ,C                     ,                      ,                       ,                       ,                   ,                      ,                    ,                       ,                            ,                  ,                     ,                   ,R                       ,                    ,                       ,R                      ,F                    ,                         ,F                    ,A                ,                       ,F                    ,F                      ,A                        ,F                        ,                       ,C                    ,R                     ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,108, 665,A,  3,H,CC,  13.00,     22.1400,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                           ,                               ,C                      ,                     ,                   ,                        ,                     ,C                       ,                   ,                      ,C                     ,                      ,                       ,                       ,                   ,                      ,                    ,                       ,                            ,                  ,                     ,                   ,F                       ,                    ,R                      ,F                      ,R                    ,R                        ,F                    ,A                ,F                      ,                     ,R                      ,A                        ,                         ,R                      ,C                    ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
