Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Theocorythium trachelium,Theocalyptra davisiana,Stylatractus universus,Stichocorys peregrina,Stichocorys johnsoni,Stichocorys delmontensis,Spongodiscus ambus,Spongaster tetras,Spongaster pentas,Spirocyrtis scalaris,Spirocyrtis gyroscalaris,Solenosphaera omnitubus,Siphostichartus corona,Pterocorys minythorax,Pterocorys hertwigii,Pterocanium prismatium,Pterocanium audax,Phormostichoartus doliolum,Nephrospyris renilla renilla,Lithopera bacca,Lamprocyrtis nigriniae,Lamprocyrtis neoheteroporos,Didymocyrtis penultima,Didymocyrtis avita,Didymocyrtis antepenultima,Dictyocoryne ontongensis,Collosphaera tuberosa,Collosphaera orthoconus,Collosphaera invaginata,Centrobotrys thermophila,Botryostrobus miralestensis,Botryostrobus euporus,Anthocyrtidium angulare,Androspyris huxleyi,Androspyris fenestrata,Androspyris anthropiscus,Amphirhopalum ypsilon,Acrobotrys tritubus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  1,H, 1,  23.00,      0.2300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,-                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,+                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,+                    ,-                      ,2                      ,-                       ,-                          ,1                    ,-                      ,Fg1                ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  1,H,CC,   8.00,      6.2100,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,-                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,1                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,1                    ,-                      ,-                      ,-                       ,-                          ,1                    ,-                      ,2                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  2,H, 2,   7.00,      7.7700,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,1                       ,+                     ,-                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,1                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,+                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  2,H, 6, 125.00,     14.9500,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,-                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
