Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum f. octonarius	Distephanus speculum	Dictyocha messanensis stapedia	Dictyocha messanensis messanensis	Dictyocha messanensis (total)	Ammodochium serotinum	Actiniscus pentasterias	Distephanus speculum f. speculum	Distephanus speculum f. septenarius	Ammodochium sp. (small triodes)	Distephanus aculeata	Ebria tripartita	Dictyocha fibula	Ebria sp. (large triodes)	Dictyocha varia	Distephanus speculum  pentagonus	Dictyocha messanensis aculeata	Distephanus bioctonarius	Dictyocha perlaevis	Comment



  SR	Quaternary       	                 	D. mess. aculeata 	              	141	 861	C	  1	H	 1	  10.00	      0.1000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	T                                 	R                   	                              	F                                	F                            	                     	R                      	R                               	                                   	                               	                    	                	                	T                        	               	                                	R                             	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	D. mess. aculeata 	              	141	 861	C	  1	H	 2	  40.00	      1.9000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	F                   	                              	F                                	F                            	                     	R                      	F                               	                                   	                               	                    	T               	                	T                        	               	                                	R                             	                        	R                  	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	D. mess. aculeata 	              	141	 861	C	  2	H	 5	  80.00	      9.8300	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	F                   	                              	F                                	F                            	                     	R                      	R                               	                                   	                               	                    	                	                	                         	               	R                               	R                             	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  3	H	 3	  99.00	     16.4900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	F                   	                              	R                                	R                            	                     	R                      	R                               	                                   	                               	                    	R               	                	R                        	               	R                               	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  4	H	 1	 110.00	     23.1000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	                    	                              	                                 	                             	                     	R                      	                                	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	silicoflagellate fragments noted. from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  4	H	 3	  33.00	     25.3300	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	                    	                              	R                                	R                            	                     	R                      	                                	                                   	                               	                    	                	                	R                        	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  4	H	 4	  86.00	     27.3600	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	R                      	R                               	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

