Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylosphaera angelina	Lithocampe subligata	Cyrtocapsella tetrapera	Cyrtocapsella cornuta	Cenosphaera coronataformis	Cenosphaera coronata	Stylatractus universus	Sphaeropyle robusta	Cenosphaera sp.	Amphymenium amphistylium	Stichocorys diploconus	Lithocarpium polyacantha	Gen. et sp. indet	Cyrtocapsella japonica	Stichocorys wolffii	Lithocarpium titan	Acrospyris lingi	Eucyrtidium inflatum	Eucyrtidium cienkowskii	Eucyrtidium calvertense	Eucyrtidium asanoi	Lipmanella redondoensis	Amphymenium amphistylium group	Theocorys redondoensis	Stichocorys delmontensis	Lychnocanoma nipponica nipponica	Lithopera renzae	Lychnocanoma nipponica magnacornuta	Dictyophimus splendens	Cycladophora cosma cosma	Sphaeropyle langii	Lychnocanium nipponicum magnacornutum	Lychnocanium nipponicum	Stichocorys sp. P	Botryostrobus bramlettei	Diplocyclas cornutoides	Cornutella profunda	Clathrocyclas bicornis group	Axoprunum bispiculum	Axoprunum acquilonius	Stylacontarium acquilonium	Phormostichoartus fistula	Actinomma popofskii	Androcyclas heteroporos	Botryostrobus aquilonaris	Diplocyclas davisiana	Comment



  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 887	C	 10	H	CC	  24.00	     84.2700	Shilov   	Radiolarians                                 	F              	P-M               	R                    	                    	                       	                     	                          	                    	                      	                   	               	                        	                      	                        	                 	                      	                   	                  	                	                    	                       	R                      	                  	                       	                              	                      	                        	                                	                	                                   	                      	                        	R                 	                                     	                       	                 	                        	F                      	R                  	                            	                    	A                    	                          	                         	                   	                       	                         	C                    	D. davisiana is reported as F-C;  from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Late Pliocene    	                 	A. acquilonius    	              	145	 887	C	 11	H	CC	  29.00	     93.7900	Shilov   	Radiolarians                                 	R              	M                 	R                    	                    	                       	                     	                          	                    	                      	R                  	               	                        	                      	                        	                 	                      	                   	                  	                	                    	                       	                       	                  	                       	                              	                      	                        	                                	                	                                   	                      	                        	                  	                                     	                       	                 	                        	                       	R                  	                            	                    	C                    	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Late Pliocene    	                 	A. acquilonius    	              	145	 887	C	 12	H	CC	  22.00	    103.1400	Shilov   	Radiolarians                                 	R              	M                 	F                    	                    	                       	                     	                          	                    	                      	R                  	               	                        	                      	                        	                 	                      	                   	                  	                	                    	                       	                       	                  	                       	                              	                      	                        	                                	                	                                   	                      	                        	R                 	                                     	                       	                 	R                       	F                      	R                  	R                           	                    	C                    	                          	                         	                   	                       	R                        	                     	A. acquilonius is reported as F-C;  from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Early Pliocene   	Late Pliocene    	A. acquilonius    	              	145	 887	C	 13	H	CC	  27.00	    112.7900	Shilov   	Radiolarians                                 	R              	P-M               	R                    	                    	rR                     	rR                   	                          	                    	                      	F                  	               	                        	                      	                        	                 	                      	                   	                  	                	                    	                       	                       	                  	rR                     	                              	                      	                        	                                	                	                                   	                      	                        	R                 	rR                                   	                       	R                	                        	                       	                   	                            	                    	C                    	                          	                         	                   	R                      	                         	                     	S. delmontensis is reported as questionable;  from Leg 145 SR; Ch 5; Table 8; p 107
