Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tritaxa spp.	Pyramidina szajnochae	Osangularia plummerae	Oridorsalis umbonatus	Nuttallides truempyi	Nodosaria spp.	Lenticulina spp.	Gaudryina spp.	Gaudryina pyramidata	Aragonia velascoensis	Spiroplectammina jarvisi	Marssonella trochoides	Gyroidinoides spp.	Dentalina spp.	Stilostomella subspinosa	Stensioina beccariiformis	Sliterella lobulata	Linaresia grimsdalei	Conorbinoides sp.	Conorbinoides hillebrandti	Astacolus spp.	Aragonia ouezzanensis	Anomalinoides spp.	Stilostomella spp.	Quadrimorphina spp.	Quadrimorphina allomorphinoides	Pullenia jarvisi	Pseudoclavulina rugolosa	Pseudoclavulina globulifera	Neoflabellina semireticulata	Buliminella grata	Alabamina creta	Plectofrondicularia spp.	Nuttallinella michelinianus	Bulimina trinitatensis	Quadratobuliminella pyramidalis	Nonion havanensis	Bolivina huneri	Oridorsalis tenera	Neoflabellina jarvisi	Bulimina velascoensis	Bathysiphon spp.	Tappanina selmensis	Bulimina semicostata	Bulimina glomarchallengeri	Stilostomella gracillima	Clinapertina complanata	Chrysalogonium breviloculum	Bulimina jarvisi	Cibicidoides praemundulus	Stilostomella abyssorum	Chrysalogonium tenuicostatum	Bulimina impendens	Vulvulina spinosa	Uvigerina spp.	Pleurostomella spp.	Nonion spp.	Gyroidinoides neosoldanii	Chrysalogonium longicostatum	Uvigerina hispida	Pyrgo murrhina	Pullenia bulloides	Parafissurina spp.	Oolina spp.	Martinottiella sp.	Gyroidinoides quadratus	Gyroidinoides girardanus	Eggerella bradyi	Anomalinoides semicribratus	Comment



  IR	                 	                 	                  	              	198	1209	C	  1	H	CC	  21.00	    108.0200	benthics 	Benthic Foraminifers                         	F              	G                 	            	                     	                     	R                    	                    	              	                	              	                    	                     	                        	                      	                  	T             	                        	                         	                   	                    	                 	                          	              	                     	                  	                  	                   	                               	                	                        	                           	                            	                 	               	                        	                           	                      	                               	                 	               	C                 	                     	                     	                	                   	                    	                          	                        	                       	                           	                	                         	                       	T                           	                  	R                	T             	                   	R          	T                        	T                           	T                	T             	R                 	T                 	R          	R                 	+                      	R                       	R               	R                          	       

  IR	                 	                 	                  	              	198	1209	C	  3	H	CC	   7.00	    126.0100	benthics 	Benthic Foraminifers                         	C              	M                 	            	                     	F                    	F                    	                    	              	                	              	                    	                     	                        	                      	                  	T             	C                       	                         	                   	                    	                 	                          	              	                     	                  	T                 	                   	                               	                	                        	                           	                            	T                	               	                        	                           	                      	                               	                 	               	R                 	                     	                     	                	                   	                    	                          	R                       	                       	                           	R               	T                        	T                      	R                           	C                 	T                	T             	T                  	R          	R                        	T                           	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

  IR	                 	                 	                  	              	198	1209	C	  5	H	CC	   0.00	    145.5300	benthics 	Benthic Foraminifers                         	R              	M                 	            	                     	                     	                     	T                   	              	                	              	                    	                     	                        	                      	                  	T             	F                       	                         	                   	                    	                 	                          	              	                     	                  	R                 	                   	                               	                	                        	                           	                            	                 	               	                        	                           	                      	                               	                 	               	                  	                     	                     	R               	                   	F                   	                          	R                       	                       	                           	F               	                         	T                      	T                           	R                 	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

  IR	                 	                 	                  	              	198	1209	C	  7	H	CC	  17.00	    164.6600	benthics 	Benthic Foraminifers                         	R              	G                 	            	                     	                     	C                    	                    	              	R               	              	                    	                     	                        	                      	                  	R             	                        	                         	                   	                    	                 	                          	              	                     	R                 	R                 	                   	                               	                	                        	                           	                            	                 	               	                        	                           	                      	                               	                 	               	R                 	                     	                     	T               	                   	F                   	T                         	                        	                       	+                          	C               	T                        	                       	                            	                  	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       
