Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tosaia hanzawai,Quinqueloculina stalkeri,Quinqueloculina seminulum,Pyrgo williamsoni,Pullenia subcarinata,Oridorsalis umbonatus,Nuttallides umbonifera,Nonion barleeanum,Lagena spp.,Gyroidina soldanii,Fursenkoina fusiformis,Fissurina spp.,Eponides weddellensis,Eponides tumidulus,Epistominella exigua,Dentalina spp.,Cibicides wuellerstorfi,Cassidulina subglobosa,Cassidulina laevigata,Brizalina spathulata,Trifarina fluens,Stetsonia arctica,Siphotextularia rolshauseni,Pullenia bulloides,Lenticulina spp.,Oolina spp.,Nonionella turgida,Miliolid taxa,Elphidium excavatum,Eggerella bradyi,Brizalina pseudopunctata,Uvigerina peregrina,Nonion auriculata,Bolivina decussata,Astrononion gallowayi,Anomalina globulosa,Valvulineria laevigata,Robertinoides spp.,Reusella spp.,Nonionella atlantica,Karreriella bradyi,Glabratella wrightii,Bulimina striata,Bulimina marginata,Bolivina pygmaea,Cibicidoides robertsonianus,Stilostomella antillea,Planulina ariminensis,Epistominella takayanagii,Elphidium crispum,Brizalina subaenariensis,Spiroloculina spp.,Elphidium spp.,Globobulimina auriculata,Gavelinopsis translucens,Cassidulina spp.,Bulimina exilis,Sphaeroidina bulloides,Psammosphaera spp.,Patellina corrugata,Brizalina spp.,Reophax nodulosa,Haplophragmoides spp.,Ammobaculites agglutinans,Adercotryma glomerata,Stilostomella bradyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 1,   0.00,      0.0000,Collins  ,Benthic Foraminifers                         ,               ,                  ,               ,                        ,                         ,                 ,.3%                 ,1.4%                 ,4.5%                  ,.7%              ,           ,                  ,.7%                   ,              ,2.8%                 ,.7%               ,.3%                 ,2.1%          ,12.5%                  ,13.1%                 ,18.3%                ,13.1%               ,1.7%            ,                 ,                           ,                  ,                ,           ,                  ,             ,4.2%               ,                ,                        ,                   ,                 ,5.5%              ,3.1%                 ,2.4%               ,                      ,                  ,             ,                    ,                  ,                    ,.3%             ,3.5%              ,                ,                           ,.3%                   ,                     ,                         ,                 ,4.8%                    ,                  ,              ,                        ,                        ,                ,               ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,.3%                 ,9248 Total individuals/10 cm3. 3.1% Reworked Tertiary. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 1,  24.00,      0.2400,Collins  ,Benthic Foraminifers                         ,               ,                  ,1.0%           ,1.7%                    ,2.4%                     ,.3%              ,3.4%                ,3.7%                 ,7.1%                  ,.3%              ,           ,1.0%              ,2.0%                  ,1.0%          ,20.9%                ,3.4%              ,24.0%               ,.7%           ,2.7%                   ,10.5%                 ,1.4%                 ,2.0%                ,.7%             ,.7%              ,                           ,                  ,                ,.3%        ,                  ,             ,                   ,                ,1.0%                    ,                   ,                 ,3.0%              ,.7%                  ,                   ,                      ,                  ,             ,                    ,.3%               ,                    ,                ,.3%               ,                ,                           ,.3%                   ,.3%                  ,                         ,                 ,                        ,                  ,              ,                        ,                        ,                ,               ,                      ,                  ,                   ,              ,.3%             ,1.0%                 ,.7%                      ,.7%                  ,                    ,3157 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 1,  45.00,      0.4500,Collins  ,Benthic Foraminifers                         ,               ,                  ,.7%            ,                        ,                         ,.7%              ,5.4%                ,3.3%                 ,1.3%                  ,                 ,3.0%       ,2.7%              ,7.4%                  ,1.3%          ,7.4%                 ,7.7%              ,4.7%                ,1.0%          ,2.7%                   ,8.7%                  ,4.7%                 ,6.0%                ,                ,5.4%             ,1.0%                       ,2.3%              ,                ,           ,.7%               ,1.7%         ,                   ,                ,.3%                     ,1.7%               ,                 ,                  ,1.3%                 ,                   ,                      ,                  ,             ,                    ,                  ,                    ,                ,                  ,                ,                           ,                      ,                     ,1.3%                     ,                 ,                        ,                  ,              ,                        ,                        ,                ,1.3%           ,.7%                   ,12.0%             ,.3%                ,1.3%          ,                ,                     ,                         ,                     ,                    ,544 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 1,  72.00,      0.7200,Collins  ,Benthic Foraminifers                         ,               ,                  ,               ,.3%                     ,.3%                      ,1.0%             ,2.8%                ,1.4%                 ,                      ,                 ,.7%        ,.3%               ,20.7%                 ,.3%           ,11.4%                ,4.1%              ,                    ,              ,2.8%                   ,5.2%                  ,3.4%                 ,5.5%                ,                ,30.3%            ,1.4%                       ,                  ,.3%             ,           ,1.7%              ,             ,.3%                ,                ,1.0%                    ,1.7%               ,                 ,.7%               ,1.4%                 ,                   ,                      ,                  ,             ,                    ,                  ,                    ,.3%             ,                  ,                ,                           ,                      ,                     ,                         ,                 ,                        ,                  ,              ,                        ,                        ,                ,.3%            ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,                    ,1547 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 2. page 230.
