Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data,Zone name,Zone name (short)
323-U1341B-1H-CC-PAL-FORAM73   ,323,U1341,B,1,1-CC,H,CC,PAL,FORAM73   ,0,0.00,8.62,8.62,"dominant diatoms, abundant IRD, few sponge spicules",G,A,,,,,,R,,,,,,,,,,,A,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R,,,,
323-U1341B-2H-CC-PAL-FORAM6    ,323,U1341,B,2,2-CC,H,CC,PAL,FORAM6    ,0,0.00,18.48,18.48,"dominant diatoms, abundant IRD, few sponge spicules",G,F,,,,,,P,,,,,,,,,,,F,,,,,,,,,,,
323-U1341B-3H-CC-PAL-FORAM11   ,323,U1341,B,3,3-CC,H,CC,PAL,FORAM11   ,0,0.00,28.08,28.08,"dominant IRD, few diatoms, few sponge spicules",G,D,,,,,,P,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F,,,,
323-U1341B-4H-CC-PAL-FORAM22   ,323,U1341,B,4,4-CC,H,CC,PAL,FORAM22   ,0,0.00,37.6,37.6,"dominant IRD, ABUNDANT diatoms, few sponge spicules",G,A,,,,,,,,,,,,,,,,,A,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P,,,,
323-U1341B-5H-CC-PAL-FORAM16   ,323,U1341,B,5,5-CC,H,CC,PAL,FORAM16   ,0,0.00,47.04,47.04,"dominant IRD, abundant diatoms, few sponge spicules",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-6H-CC-PAL-FORAM17   ,323,U1341,B,6,6-CC,H,CC,PAL,FORAM17   ,0,0.00,56.58,56.58,"dominant diatoms, abundant IRD, few sponge spicules",M,A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R,,,,
323-U1341B-7H-CC-PAL-FORAM74   ,323,U1341,B,7,7-CC,H,CC,PAL,FORAM74   ,0,2.00,66.08,66.1,"dominant diatoms, abundant IRD, few sponge spicules, fragments of wood",G,D,,,,,,,,,,,,,,,,,D,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F,,,,
323-U1341B-8H-CC-PAL-FORAM22   ,323,U1341,B,8,8-CC,H,CC,PAL,FORAM22   ,0,0.00,75.65,75.65,"dominant diatoms, abundant IRD, few sponge spicules",G,A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R,,,,
323-U1341B-9H-CC-PAL-FORAM27   ,323,U1341,B,9,9-CC,H,CC,PAL,FORAM27   ,0,0.00,85.14,85.14,"dominant IRD, abundant diatoms, few sponge spicules",G,A,,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P,,,,
323-U1341B-10H-CC-PAL-FORAM32   ,323,U1341,B,10,10-CC,H,CC,PAL,FORAM32   ,0,0.00,94.1,94.1,"dominant IRD, abundant diatoms, few sponge spicules",G,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,
323-U1341B-11H-CC-PAL-FORAM37   ,323,U1341,B,11,11-CC,H,CC,PAL,FORAM37   ,0,0.00,104.15,104.15,"few diatoms, few IRD, few sponge spicules",G,R,,,,,,,,,,,,,,,,,R,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R,,,,
323-U1341B-12H-CC-PAL-FORAM79   ,323,U1341,B,12,12-CC,H,CC,PAL,FORAM79   ,0,2.00,113.49,113.51,"dominant IRD, abundant diatoms, few sponge spicules",G,A,,,,,,,,,,,,,,,,,A,,,,,,,,,,,
323-U1341B-13H-CC-PAL-FORAM84   ,323,U1341,B,13,13-CC,H,CC,PAL,FORAM84   ,0,2.00,123.14,123.16,"dominant IRD, abundant diatoms, few sponge spicules",G,P,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,
323-U1341B-14H-CC-PAL-FORAM89   ,323,U1341,B,14,14-CC,H,CC,PAL,FORAM89   ,0,2.00,132.74,132.76,"dominant IRD, abundant diatoms, few sponge spicules",G,R,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,
323-U1341B-15H-CC-PAL-FORAM55   ,323,U1341,B,15,15-CC,H,CC,PAL,FORAM55   ,0,0.00,142.26,142.26,"dominant IRD, abundant diatoms, few sponge spicules",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
