Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,PF Group Abundance,Beella digitata,Beella praedigitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis ,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Clavatorella nicobarensis,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globosa,Dentoglobigerina praedehiscens,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella kugleri,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina falconensis,Globigerina glutinata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina rubescens,Globigerina umbilicata,Globigerinatella insueta,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella pseudobesa,Globigerinita iota,Globigerinoides altiaperturus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides elongatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer ,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconella conoidea,Globoconella conomiozea,Globoconella incognita,Globoconella inflata,Globoconella miozea,Globoconella nana,Globoconella panda,Globoconella praescitula,Globoconella puncticulata,Globoconella sphericomiozea,Globoconella zealandica,Globoquadrina dehiscens,Globoquadrina venezuelana ,Globorotalia bermudezi,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia menardii,Globorotalia merotumida,Globorotalia paralenguaensis ,Globorotalia plesiotumida,Globorotalia scitula,Globorotalia theyeri,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagonus,Globorotaloides suteri,Globorotaloides variabilis,Hastigerina pelagica,Hastigerinopsis riedeli,Hirsutella challengeri,Hirsutella cibaoensis,Hirsutella hirsuta,Hirsutella juanai,Hirsutella margaritae,"Hirsutella scitula (Brady, 1882)",Jenkinsella acrostoma,Jenkinsella bella,Jenkinsella mayeri,Jenkinsella semivera,Jenkinsella siakensis,Menardella archeomenardii,Menardella exilis,Menardella limbata,Menardella menardii,Menardella miocenica,Menardella multicamerata,Menardella pertenuis,Menardella praemenardii,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina universa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina transitoria,Protentella prolixa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis (dex.),Pulleniatina primalis (sin.),Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Streptochilus globigerum,Tenuitella anfracta,Tenuitella clemenciae,Tenuitella munda,Truncorotalia cavernula,Truncorotalia crassaformis,Truncorotalia crassula,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Turborotalita cristata ,Turborotalita humilis,Zeaglobigerina apertura,Zeaglobigerina brazieri,Zeaglobigerina connecta,Zeaglobigerina decoraperta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina woodi,PF Comment,File Data,Zone name,Zone name (short)
340-U1394A-1H-CC-PAL-FORAMP,340,U1394,A,1,1-CC,H,CC,PAL,FORAMP,0,0,4.8,4.8,G [P20],D [A49],,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,R,,,,F,,,,,,,,,R,A,A,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
340-U1394A-2H-CC-PAL-FORAMP,340,U1394,A,2,2-CC,H,CC,PAL,FORAMP,0,0,14.55,14.55,G [P20],F [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,R,,,,,,,,R,,R,,,,,,,,,,,F,A,F,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,R,,,R,,,,,,,,,,,,,,,R,,R,P,,,,,,,,,,,,,,
340-U1394A-3H-CC-PAL-FORAMP,340,U1394,A,3,3-CC,H,CC,PAL,FORAMP,0,0,23.67,23.67,G [P20],R [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,R,,R,,,,,,,,,P,,R,A,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,
340-U1394A-4H-CC-PAL-FORAMP,340,U1394,A,4,4-CC,H,CC,PAL,FORAMP,0,0,23.85,23.85,M [P20],P [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,
340-U1394A-7X-CC-PAL-FORAMP,340,U1394,A,7,7-CC,X,CC,PAL,FORAMP,0,0,43.47,43.47,G [P20],D [A49],,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,A,,,R,,,,,,,,,F,,A,,,,,,,,,,,F,A,A,,,,,,,,,,,,,,,,,,,,P,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
340-U1394A-9X-CC-PAL-FORAMP,340,U1394,A,9,9-CC,X,CC,PAL,FORAMP,0,0,63.14,63.14,G [P20],D [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,F,,,A,,,R,,,,,,,,,R,,F,,,,,,,,,,,A,D,A,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,P,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,P,,,,,P,,,,,,,,,P,R,,,R,,,,,,,,,,,,,,
340-U1394A-10X-CC-PAL-FORAMP,340,U1394,A,10,10-CC,X,CC,PAL,FORAMP,0,0,72.41,72.41,M [P20],F [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,P,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,
340-U1394A-13X-CC-PAL-FORAMP,340,U1394,A,13,13-CC,X,CC,PAL,FORAMP,0,0,100.96,100.96,M [P20],P [A49],,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,R,F,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,
340-U1394A-14X-CC-PAL-FORAMP,340,U1394,A,14,14-CC,X,CC,PAL,FORAMP,0,0,112.83,112.83,P [P20],P [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
340-U1394A-15X-CC-PAL-FORAMP,340,U1394,A,15,15-CC,X,CC,PAL,FORAMP,0,0,120.78,120.78,P [P20],R [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,
